ward,precinct,total,Aicha Marie MacCarthy,Aicha Marie MacCarthy Percent,precinct_id
11,6,404,404,100.0,11006
11,7,147,147,100.0,11007
22,19,0,0,0.0,22019
22,21,408,408,100.0,22021
24,1,292,292,100.0,24001
24,2,340,340,100.0,24002
24,3,338,338,100.0,24003
24,4,273,273,100.0,24004
24,5,178,178,100.0,24005
24,6,345,345,100.0,24006
24,8,157,157,100.0,24008
24,9,298,298,100.0,24009
24,10,162,162,100.0,24010
24,11,333,333,100.0,24011
24,12,222,222,100.0,24012
24,13,181,181,100.0,24013
24,14,272,272,100.0,24014
24,15,193,193,100.0,24015
24,17,259,259,100.0,24017
24,18,364,364,100.0,24018
24,19,349,349,100.0,24019
24,20,226,226,100.0,24020
24,21,182,182,100.0,24021
24,22,405,405,100.0,24022
24,23,307,307,100.0,24023
24,24,383,383,100.0,24024
24,25,280,280,100.0,24025
24,26,390,390,100.0,24026
24,27,296,296,100.0,24027
24,28,235,235,100.0,24028
24,29,233,233,100.0,24029
24,30,209,209,100.0,24030
24,31,335,335,100.0,24031
24,32,212,212,100.0,24032
24,33,231,231,100.0,24033
24,34,250,250,100.0,24034
24,35,349,349,100.0,24035
24,36,381,381,100.0,24036
24,37,194,194,100.0,24037
24,38,244,244,100.0,24038
24,40,300,300,100.0,24040
24,41,244,244,100.0,24041
25,3,372,372,100.0,25003
25,4,269,269,100.0,25004
25,10,316,316,100.0,25010
25,16,333,333,100.0,25016
25,20,274,274,100.0,25020
25,27,200,200,100.0,25027
25,29,235,235,100.0,25029
25,31,319,319,100.0,25031
26,2,108,108,100.0,26002
26,10,172,172,100.0,26010
26,17,230,230,100.0,26017
26,31,0,0,0.0,26031
26,33,5,5,100.0,26033
26,36,6,6,100.0,26036
27,2,289,289,100.0,27002
27,3,184,184,100.0,27003
27,4,286,286,100.0,27004
27,5,222,222,100.0,27005
27,8,269,269,100.0,27008
27,10,268,268,100.0,27010
27,14,298,298,100.0,27014
27,15,311,311,100.0,27015
27,16,233,233,100.0,27016
27,17,318,318,100.0,27017
27,18,243,243,100.0,27018
27,19,245,245,100.0,27019
27,22,196,196,100.0,27022
27,23,317,317,100.0,27023
27,24,200,200,100.0,27024
27,25,311,311,100.0,27025
27,26,239,239,100.0,27026
27,27,298,298,100.0,27027
27,29,278,278,100.0,27029
27,30,328,328,100.0,27030
27,31,256,256,100.0,27031
27,32,218,218,100.0,27032
27,33,233,233,100.0,27033
27,34,297,297,100.0,27034
27,36,268,268,100.0,27036
27,39,342,342,100.0,27039
27,41,313,313,100.0,27041
27,43,274,274,100.0,27043
27,44,299,299,100.0,27044
27,45,239,239,100.0,27045
28,1,265,265,100.0,28001
28,2,255,255,100.0,28002
28,3,221,221,100.0,28003
28,4,214,214,100.0,28004
28,5,165,165,100.0,28005
28,6,125,125,100.0,28006
28,7,388,388,100.0,28007
28,8,222,222,100.0,28008
28,9,346,346,100.0,28009
28,10,303,303,100.0,28010
28,11,523,523,100.0,28011
28,12,324,324,100.0,28012
28,13,270,270,100.0,28013
28,14,278,278,100.0,28014
28,15,88,88,100.0,28015
28,16,204,204,100.0,28016
28,17,292,292,100.0,28017
28,18,256,256,100.0,28018
28,19,218,218,100.0,28019
28,20,302,302,100.0,28020
28,21,285,285,100.0,28021
28,22,243,243,100.0,28022
28,23,354,354,100.0,28023
28,24,309,309,100.0,28024
28,25,433,433,100.0,28025
28,26,361,361,100.0,28026
28,27,227,227,100.0,28027
28,28,243,243,100.0,28028
28,29,128,128,100.0,28029
28,30,53,53,100.0,28030
28,31,363,363,100.0,28031
28,32,303,303,100.0,28032
28,33,311,311,100.0,28033
28,34,435,435,100.0,28034
28,35,381,381,100.0,28035
28,36,156,156,100.0,28036
28,37,419,419,100.0,28037
28,38,168,168,100.0,28038
28,39,272,272,100.0,28039
28,40,424,424,100.0,28040
28,41,290,290,100.0,28041
28,42,358,358,100.0,28042
28,43,383,383,100.0,28043
28,44,249,249,100.0,28044
28,45,247,247,100.0,28045
28,46,437,437,100.0,28046
29,2,355,355,100.0,29002
29,3,291,291,100.0,29003
29,4,332,332,100.0,29004
29,5,395,395,100.0,29005
29,6,336,336,100.0,29006
29,8,452,452,100.0,29008
29,11,413,413,100.0,29011
29,13,347,347,100.0,29013
29,14,442,442,100.0,29014
29,16,396,396,100.0,29016
29,18,455,455,100.0,29018
29,19,445,445,100.0,29019
29,20,343,343,100.0,29020
29,21,390,390,100.0,29021
29,22,403,403,100.0,29022
29,24,103,103,100.0,29024
29,25,390,390,100.0,29025
29,26,397,397,100.0,29026
29,27,324,324,100.0,29027
29,28,368,368,100.0,29028
29,33,341,341,100.0,29033
29,34,297,297,100.0,29034
29,35,431,431,100.0,29035
29,37,400,400,100.0,29037
29,40,428,428,100.0,29040
29,41,348,348,100.0,29041
29,42,321,321,100.0,29042
29,44,383,383,100.0,29044
37,1,272,272,100.0,37001
37,3,281,281,100.0,37003
37,4,279,279,100.0,37004
37,5,406,406,100.0,37005
37,6,352,352,100.0,37006
37,7,199,199,100.0,37007
37,8,216,216,100.0,37008
37,9,388,388,100.0,37009
37,11,255,255,100.0,37011
37,13,241,241,100.0,37013
37,14,338,338,100.0,37014
37,15,335,335,100.0,37015
37,17,336,336,100.0,37017
37,18,326,326,100.0,37018
37,19,260,260,100.0,37019
37,20,315,315,100.0,37020
37,21,255,255,100.0,37021
37,22,79,79,100.0,37022
37,23,353,353,100.0,37023
37,24,79,79,100.0,37024
37,25,342,342,100.0,37025
37,27,351,351,100.0,37027
37,28,229,229,100.0,37028
37,29,340,340,100.0,37029
37,30,364,364,100.0,37030
37,31,370,370,100.0,37031
37,32,344,344,100.0,37032
37,33,305,305,100.0,37033
37,34,286,286,100.0,37034
37,35,341,341,100.0,37035
37,36,329,329,100.0,37036
37,37,350,350,100.0,37037
37,38,316,316,100.0,37038
37,39,341,341,100.0,37039
37,40,364,364,100.0,37040
37,41,224,224,100.0,37041
42,3,327,327,100.0,42003
42,12,48,48,100.0,42012
42,16,308,308,100.0,42016
42,18,344,344,100.0,42018
42,21,246,246,100.0,42021
42,36,432,432,100.0,42036
42,41,386,386,100.0,42041
