ward,precinct,total,Kimberly D. Lewis,Kimberly D. Lewis Percent,precinct_id
11,6,395,395,100.0,11006
11,7,146,146,100.0,11007
22,19,0,0,0.0,22019
22,21,422,422,100.0,22021
24,1,301,301,100.0,24001
24,2,360,360,100.0,24002
24,3,355,355,100.0,24003
24,4,280,280,100.0,24004
24,5,186,186,100.0,24005
24,6,353,353,100.0,24006
24,8,169,169,100.0,24008
24,9,314,314,100.0,24009
24,10,164,164,100.0,24010
24,11,350,350,100.0,24011
24,12,223,223,100.0,24012
24,13,194,194,100.0,24013
24,14,290,290,100.0,24014
24,15,201,201,100.0,24015
24,17,267,267,100.0,24017
24,18,384,384,100.0,24018
24,19,373,373,100.0,24019
24,20,233,233,100.0,24020
24,21,185,185,100.0,24021
24,22,416,416,100.0,24022
24,23,305,305,100.0,24023
24,24,401,401,100.0,24024
24,25,282,282,100.0,24025
24,26,397,397,100.0,24026
24,27,306,306,100.0,24027
24,28,254,254,100.0,24028
24,29,238,238,100.0,24029
24,30,220,220,100.0,24030
24,31,345,345,100.0,24031
24,32,224,224,100.0,24032
24,33,234,234,100.0,24033
24,34,265,265,100.0,24034
24,35,361,361,100.0,24035
24,36,408,408,100.0,24036
24,37,200,200,100.0,24037
24,38,255,255,100.0,24038
24,40,322,322,100.0,24040
24,41,262,262,100.0,24041
25,3,365,365,100.0,25003
25,4,278,278,100.0,25004
25,10,308,308,100.0,25010
25,16,330,330,100.0,25016
25,20,296,296,100.0,25020
25,27,198,198,100.0,25027
25,29,246,246,100.0,25029
25,31,317,317,100.0,25031
26,2,109,109,100.0,26002
26,10,175,175,100.0,26010
26,17,225,225,100.0,26017
26,31,0,0,0.0,26031
26,33,6,6,100.0,26033
26,36,6,6,100.0,26036
27,2,299,299,100.0,27002
27,3,201,201,100.0,27003
27,4,298,298,100.0,27004
27,5,224,224,100.0,27005
27,8,276,276,100.0,27008
27,10,281,281,100.0,27010
27,14,325,325,100.0,27014
27,15,326,326,100.0,27015
27,16,235,235,100.0,27016
27,17,337,337,100.0,27017
27,18,247,247,100.0,27018
27,19,262,262,100.0,27019
27,22,206,206,100.0,27022
27,23,326,326,100.0,27023
27,24,212,212,100.0,27024
27,25,318,318,100.0,27025
27,26,245,245,100.0,27026
27,27,315,315,100.0,27027
27,29,285,285,100.0,27029
27,30,341,341,100.0,27030
27,31,278,278,100.0,27031
27,32,230,230,100.0,27032
27,33,240,240,100.0,27033
27,34,306,306,100.0,27034
27,36,275,275,100.0,27036
27,39,357,357,100.0,27039
27,41,314,314,100.0,27041
27,43,289,289,100.0,27043
27,44,312,312,100.0,27044
27,45,239,239,100.0,27045
28,1,279,279,100.0,28001
28,2,271,271,100.0,28002
28,3,230,230,100.0,28003
28,4,211,211,100.0,28004
28,5,169,169,100.0,28005
28,6,129,129,100.0,28006
28,7,407,407,100.0,28007
28,8,218,218,100.0,28008
28,9,357,357,100.0,28009
28,10,311,311,100.0,28010
28,11,533,533,100.0,28011
28,12,333,333,100.0,28012
28,13,285,285,100.0,28013
28,14,293,293,100.0,28014
28,15,90,90,100.0,28015
28,16,218,218,100.0,28016
28,17,316,316,100.0,28017
28,18,273,273,100.0,28018
28,19,220,220,100.0,28019
28,20,320,320,100.0,28020
28,21,306,306,100.0,28021
28,22,260,260,100.0,28022
28,23,364,364,100.0,28023
28,24,321,321,100.0,28024
28,25,459,459,100.0,28025
28,26,386,386,100.0,28026
28,27,222,222,100.0,28027
28,28,244,244,100.0,28028
28,29,137,137,100.0,28029
28,30,56,56,100.0,28030
28,31,399,399,100.0,28031
28,32,321,321,100.0,28032
28,33,325,325,100.0,28033
28,34,450,450,100.0,28034
28,35,398,398,100.0,28035
28,36,167,167,100.0,28036
28,37,459,459,100.0,28037
28,38,174,174,100.0,28038
28,39,286,286,100.0,28039
28,40,445,445,100.0,28040
28,41,301,301,100.0,28041
28,42,385,385,100.0,28042
28,43,397,397,100.0,28043
28,44,256,256,100.0,28044
28,45,244,244,100.0,28045
28,46,432,432,100.0,28046
29,2,394,394,100.0,29002
29,3,309,309,100.0,29003
29,4,353,353,100.0,29004
29,5,404,404,100.0,29005
29,6,357,357,100.0,29006
29,8,474,474,100.0,29008
29,11,430,430,100.0,29011
29,13,372,372,100.0,29013
29,14,462,462,100.0,29014
29,16,418,418,100.0,29016
29,18,483,483,100.0,29018
29,19,469,469,100.0,29019
29,20,355,355,100.0,29020
29,21,414,414,100.0,29021
29,22,426,426,100.0,29022
29,24,109,109,100.0,29024
29,25,414,414,100.0,29025
29,26,410,410,100.0,29026
29,27,329,329,100.0,29027
29,28,386,386,100.0,29028
29,33,356,356,100.0,29033
29,34,316,316,100.0,29034
29,35,450,450,100.0,29035
29,37,415,415,100.0,29037
29,40,447,447,100.0,29040
29,41,367,367,100.0,29041
29,42,339,339,100.0,29042
29,44,407,407,100.0,29044
37,1,279,279,100.0,37001
37,3,297,297,100.0,37003
37,4,307,307,100.0,37004
37,5,431,431,100.0,37005
37,6,374,374,100.0,37006
37,7,209,209,100.0,37007
37,8,234,234,100.0,37008
37,9,404,404,100.0,37009
37,11,272,272,100.0,37011
37,13,262,262,100.0,37013
37,14,363,363,100.0,37014
37,15,362,362,100.0,37015
37,17,332,332,100.0,37017
37,18,356,356,100.0,37018
37,19,266,266,100.0,37019
37,20,332,332,100.0,37020
37,21,279,279,100.0,37021
37,22,79,79,100.0,37022
37,23,370,370,100.0,37023
37,24,89,89,100.0,37024
37,25,367,367,100.0,37025
37,27,371,371,100.0,37027
37,28,247,247,100.0,37028
37,29,358,358,100.0,37029
37,30,379,379,100.0,37030
37,31,400,400,100.0,37031
37,32,371,371,100.0,37032
37,33,318,318,100.0,37033
37,34,303,303,100.0,37034
37,35,351,351,100.0,37035
37,36,339,339,100.0,37036
37,37,363,363,100.0,37037
37,38,334,334,100.0,37038
37,39,371,371,100.0,37039
37,40,396,396,100.0,37040
37,41,237,237,100.0,37041
42,3,326,326,100.0,42003
42,12,49,49,100.0,42012
42,16,307,307,100.0,42016
42,18,342,342,100.0,42018
42,21,244,244,100.0,42021
42,36,429,429,100.0,42036
42,41,382,382,100.0,42041
