ward,precinct,total,Celia Louise Gamrath,Celia Louise Gamrath Percent,precinct_id
44,33,385,385,100.0,44033
44,34,428,428,100.0,44034
44,35,395,395,100.0,44035
44,36,399,399,100.0,44036
44,37,445,445,100.0,44037
44,38,356,356,100.0,44038
44,39,330,330,100.0,44039
44,40,309,309,100.0,44040
44,41,426,426,100.0,44041
46,1,261,261,100.0,46001
46,2,317,317,100.0,46002
46,3,403,403,100.0,46003
46,4,334,334,100.0,46004
46,5,386,386,100.0,46005
46,6,263,263,100.0,46006
46,7,378,378,100.0,46007
46,8,235,235,100.0,46008
46,9,380,380,100.0,46009
46,10,441,441,100.0,46010
46,11,297,297,100.0,46011
46,12,360,360,100.0,46012
46,13,366,366,100.0,46013
46,14,356,356,100.0,46014
46,15,377,377,100.0,46015
46,16,384,384,100.0,46016
46,17,431,431,100.0,46017
46,18,374,374,100.0,46018
46,19,242,242,100.0,46019
46,20,317,317,100.0,46020
46,21,249,249,100.0,46021
46,22,231,231,100.0,46022
46,23,312,312,100.0,46023
46,24,390,390,100.0,46024
46,25,327,327,100.0,46025
46,26,357,357,100.0,46026
46,27,394,394,100.0,46027
46,28,339,339,100.0,46028
46,29,281,281,100.0,46029
46,30,360,360,100.0,46030
46,31,415,415,100.0,46031
46,32,316,316,100.0,46032
46,33,446,446,100.0,46033
46,34,404,404,100.0,46034
46,35,451,451,100.0,46035
46,36,302,302,100.0,46036
46,37,269,269,100.0,46037
46,38,363,363,100.0,46038
46,39,311,311,100.0,46039
46,40,296,296,100.0,46040
47,9,93,93,100.0,47009
47,11,331,331,100.0,47011
47,15,442,442,100.0,47015
47,18,322,322,100.0,47018
47,19,429,429,100.0,47019
47,23,392,392,100.0,47023
47,24,350,350,100.0,47024
47,33,104,104,100.0,47033
47,41,382,382,100.0,47041
47,44,305,305,100.0,47044
48,1,329,329,100.0,48001
48,2,153,153,100.0,48002
48,3,411,411,100.0,48003
48,4,297,297,100.0,48004
48,5,202,202,100.0,48005
48,6,415,415,100.0,48006
48,7,379,379,100.0,48007
48,8,172,172,100.0,48008
48,9,242,242,100.0,48009
48,10,464,464,100.0,48010
48,11,296,296,100.0,48011
48,12,425,425,100.0,48012
48,14,194,194,100.0,48014
48,16,360,360,100.0,48016
48,17,308,308,100.0,48017
48,18,288,288,100.0,48018
48,19,224,224,100.0,48019
48,20,394,394,100.0,48020
48,21,426,426,100.0,48021
48,23,270,270,100.0,48023
48,24,347,347,100.0,48024
48,25,317,317,100.0,48025
48,26,192,192,100.0,48026
48,27,98,98,100.0,48027
48,28,447,447,100.0,48028
48,29,159,159,100.0,48029
48,30,325,325,100.0,48030
48,31,264,264,100.0,48031
48,32,123,123,100.0,48032
48,34,314,314,100.0,48034
48,35,276,276,100.0,48035
48,36,207,207,100.0,48036
48,37,342,342,100.0,48037
48,38,355,355,100.0,48038
48,39,258,258,100.0,48039
48,40,305,305,100.0,48040
48,41,417,417,100.0,48041
48,42,406,406,100.0,48042
48,43,400,400,100.0,48043
48,44,440,440,100.0,48044
48,45,279,279,100.0,48045
49,2,247,247,100.0,49002
49,17,310,310,100.0,49017
