ward,precinct,total,Maria Antonia Berrios,Maria Antonia Berrios Percent,precinct_id
1,2,129,129,100.0,01002
1,7,361,361,100.0,01007
1,9,407,407,100.0,01009
1,13,205,205,100.0,01013
1,16,490,490,100.0,01016
1,17,69,69,100.0,01017
1,19,461,461,100.0,01019
1,23,534,534,100.0,01023
1,28,142,142,100.0,01028
1,34,352,352,100.0,01034
26,7,257,257,100.0,26007
26,34,293,293,100.0,26034
30,1,373,373,100.0,30001
30,4,312,312,100.0,30004
30,7,320,320,100.0,30007
30,9,186,186,100.0,30009
30,17,310,310,100.0,30017
30,18,143,143,100.0,30018
30,19,74,74,100.0,30019
30,20,313,313,100.0,30020
30,23,267,267,100.0,30023
30,24,91,91,100.0,30024
30,25,198,198,100.0,30025
30,26,225,225,100.0,30026
30,27,214,214,100.0,30027
30,31,206,206,100.0,30031
31,1,230,230,100.0,31001
31,2,206,206,100.0,31002
31,5,231,231,100.0,31005
31,6,213,213,100.0,31006
31,7,275,275,100.0,31007
31,8,160,160,100.0,31008
31,9,263,263,100.0,31009
31,10,230,230,100.0,31010
31,11,202,202,100.0,31011
31,12,208,208,100.0,31012
31,13,243,243,100.0,31013
31,14,170,170,100.0,31014
31,17,244,244,100.0,31017
31,18,234,234,100.0,31018
31,20,213,213,100.0,31020
31,21,181,181,100.0,31021
31,23,217,217,100.0,31023
31,24,257,257,100.0,31024
31,26,238,238,100.0,31026
31,27,257,257,100.0,31027
31,28,203,203,100.0,31028
31,29,242,242,100.0,31029
31,30,160,160,100.0,31030
31,32,202,202,100.0,31032
31,33,186,186,100.0,31033
31,34,190,190,100.0,31034
31,35,275,275,100.0,31035
31,36,230,230,100.0,31036
31,37,198,198,100.0,31037
31,38,261,261,100.0,31038
31,40,224,224,100.0,31040
31,41,210,210,100.0,31041
32,3,190,190,100.0,32003
32,11,406,406,100.0,32011
32,12,327,327,100.0,32012
32,14,392,392,100.0,32014
32,20,436,436,100.0,32020
32,22,500,500,100.0,32022
32,26,298,298,100.0,32026
32,28,241,241,100.0,32028
32,43,4,4,100.0,32043
35,2,40,40,100.0,35002
35,10,443,443,100.0,35010
35,11,317,317,100.0,35011
35,15,364,364,100.0,35015
35,17,340,340,100.0,35017
35,25,424,424,100.0,35025
35,28,352,352,100.0,35028
36,9,18,18,100.0,36009
36,14,311,311,100.0,36014
36,16,317,317,100.0,36016
36,17,353,353,100.0,36017
36,18,229,229,100.0,36018
36,20,310,310,100.0,36020
38,23,337,337,100.0,38023
38,34,278,278,100.0,38034
38,35,312,312,100.0,38035
38,39,57,57,100.0,38039
45,8,335,335,100.0,45008
45,9,365,365,100.0,45009
45,10,335,335,100.0,45010
45,11,254,254,100.0,45011
