ward,precinct,total,Kenneth ''Ken'' Dunkin,Kenneth ''Ken'' Dunkin Percent,precinct_id
2,27,89,89,100.0,02027
2,29,168,168,100.0,02029
2,32,333,333,100.0,02032
2,36,304,304,100.0,02036
2,38,231,231,100.0,02038
2,39,257,257,100.0,02039
2,40,500,500,100.0,02040
2,41,236,236,100.0,02041
2,42,285,285,100.0,02042
2,43,440,440,100.0,02043
2,45,460,460,100.0,02045
3,1,490,490,100.0,03001
3,2,513,513,100.0,03002
3,6,480,480,100.0,03006
3,7,458,458,100.0,03007
3,8,422,422,100.0,03008
3,9,519,519,100.0,03009
3,11,285,285,100.0,03011
3,12,315,315,100.0,03012
3,14,451,451,100.0,03014
3,15,509,509,100.0,03015
3,16,504,504,100.0,03016
3,17,428,428,100.0,03017
3,18,294,294,100.0,03018
3,20,455,455,100.0,03020
3,21,309,309,100.0,03021
3,22,493,493,100.0,03022
3,23,494,494,100.0,03023
3,24,541,541,100.0,03024
3,25,519,519,100.0,03025
3,27,205,205,100.0,03027
3,28,365,365,100.0,03028
3,29,442,442,100.0,03029
3,31,226,226,100.0,03031
3,32,470,470,100.0,03032
3,33,517,517,100.0,03033
3,34,502,502,100.0,03034
3,35,280,280,100.0,03035
3,36,104,104,100.0,03036
3,37,521,521,100.0,03037
3,38,454,454,100.0,03038
3,39,451,451,100.0,03039
3,40,537,537,100.0,03040
3,41,161,161,100.0,03041
4,2,506,506,100.0,04002
4,6,390,390,100.0,04006
4,11,115,115,100.0,04011
4,14,541,541,100.0,04014
4,16,377,377,100.0,04016
4,21,61,61,100.0,04021
4,25,458,458,100.0,04025
4,36,247,247,100.0,04036
4,38,127,127,100.0,04038
5,2,469,469,100.0,05002
5,12,418,418,100.0,05012
5,13,4,4,100.0,05013
5,30,239,239,100.0,05030
6,7,39,39,100.0,06007
7,1,44,44,100.0,07001
7,3,11,11,100.0,07003
8,1,290,290,100.0,08001
8,2,157,157,100.0,08002
8,9,309,309,100.0,08009
8,13,551,551,100.0,08013
8,16,184,184,100.0,08016
8,20,487,487,100.0,08020
8,21,596,596,100.0,08021
8,26,246,246,100.0,08026
8,28,481,481,100.0,08028
8,43,84,84,100.0,08043
8,54,255,255,100.0,08054
8,55,278,278,100.0,08055
20,1,431,431,100.0,20001
20,3,392,392,100.0,20003
20,7,415,415,100.0,20007
20,8,378,378,100.0,20008
20,10,413,413,100.0,20010
20,11,592,592,100.0,20011
20,12,348,348,100.0,20012
20,14,366,366,100.0,20014
20,18,367,367,100.0,20018
20,19,415,415,100.0,20019
20,23,561,561,100.0,20023
20,27,192,192,100.0,20027
20,30,234,234,100.0,20030
20,31,536,536,100.0,20031
20,33,298,298,100.0,20033
20,35,501,501,100.0,20035
20,36,21,21,100.0,20036
20,37,198,198,100.0,20037
27,28,0,0,0.0,27028
27,38,166,166,100.0,27038
42,10,276,276,100.0,42010
42,14,322,322,100.0,42014
42,15,110,110,100.0,42015
42,19,243,243,100.0,42019
42,20,423,423,100.0,42020
42,22,204,204,100.0,42022
42,23,388,388,100.0,42023
42,25,393,393,100.0,42025
42,27,343,343,100.0,42027
42,32,331,331,100.0,42032
42,33,391,391,100.0,42033
42,39,403,403,100.0,42039
42,40,126,126,100.0,42040
42,42,452,452,100.0,42042
