ward,precinct,total,Kwame Raoul,Kwame Raoul Percent,precinct_id
2,2,312,312,100.0,02002
2,10,329,329,100.0,02010
2,11,318,318,100.0,02011
2,13,393,393,100.0,02013
2,18,336,336,100.0,02018
2,19,293,293,100.0,02019
2,23,270,270,100.0,02023
2,27,265,265,100.0,02027
2,29,275,275,100.0,02029
2,34,287,287,100.0,02034
2,42,203,203,100.0,02042
3,2,34,34,100.0,03002
3,4,563,563,100.0,03004
3,11,266,266,100.0,03011
3,12,209,209,100.0,03012
3,19,406,406,100.0,03019
3,21,175,175,100.0,03021
3,27,192,192,100.0,03027
3,30,509,509,100.0,03030
3,31,352,352,100.0,03031
4,1,659,659,100.0,04001
4,3,481,481,100.0,04003
4,4,571,571,100.0,04004
4,5,525,525,100.0,04005
4,6,199,199,100.0,04006
4,7,556,556,100.0,04007
4,8,607,607,100.0,04008
4,9,625,625,100.0,04009
4,10,636,636,100.0,04010
4,11,467,467,100.0,04011
4,12,606,606,100.0,04012
4,15,591,591,100.0,04015
4,18,496,496,100.0,04018
4,19,586,586,100.0,04019
4,22,553,553,100.0,04022
4,23,695,695,100.0,04023
4,24,528,528,100.0,04024
4,26,515,515,100.0,04026
4,27,570,570,100.0,04027
4,28,651,651,100.0,04028
4,29,494,494,100.0,04029
4,30,670,670,100.0,04030
4,31,531,531,100.0,04031
4,32,572,572,100.0,04032
4,33,601,601,100.0,04033
4,34,556,556,100.0,04034
4,35,735,735,100.0,04035
4,36,369,369,100.0,04036
4,38,492,492,100.0,04038
5,1,473,473,100.0,05001
5,3,474,474,100.0,05003
5,4,580,580,100.0,05004
5,5,550,550,100.0,05005
5,6,398,398,100.0,05006
5,7,501,501,100.0,05007
5,8,442,442,100.0,05008
5,9,559,559,100.0,05009
5,10,513,513,100.0,05010
5,11,481,481,100.0,05011
5,13,511,511,100.0,05013
5,14,410,410,100.0,05014
5,15,469,469,100.0,05015
5,16,486,486,100.0,05016
5,17,497,497,100.0,05017
5,18,413,413,100.0,05018
5,19,449,449,100.0,05019
5,20,563,563,100.0,05020
5,21,458,458,100.0,05021
5,22,512,512,100.0,05022
5,23,630,630,100.0,05023
5,24,493,493,100.0,05024
5,25,468,468,100.0,05025
5,26,533,533,100.0,05026
5,27,430,430,100.0,05027
5,28,536,536,100.0,05028
5,29,620,620,100.0,05029
5,30,261,261,100.0,05030
5,31,478,478,100.0,05031
5,32,560,560,100.0,05032
5,33,517,517,100.0,05033
5,34,516,516,100.0,05034
5,35,496,496,100.0,05035
5,36,459,459,100.0,05036
5,37,745,745,100.0,05037
5,38,535,535,100.0,05038
5,39,403,403,100.0,05039
5,40,504,504,100.0,05040
7,1,351,351,100.0,07001
7,2,455,455,100.0,07002
7,3,442,442,100.0,07003
7,4,493,493,100.0,07004
7,5,414,414,100.0,07005
7,6,599,599,100.0,07006
7,7,460,460,100.0,07007
7,8,367,367,100.0,07008
7,9,722,722,100.0,07009
7,10,443,443,100.0,07010
7,11,493,493,100.0,07011
7,12,510,510,100.0,07012
7,13,325,325,100.0,07013
7,14,467,467,100.0,07014
7,15,450,450,100.0,07015
7,16,513,513,100.0,07016
7,17,439,439,100.0,07017
7,18,447,447,100.0,07018
7,19,421,421,100.0,07019
7,20,385,385,100.0,07020
7,21,456,456,100.0,07021
7,22,368,368,100.0,07022
7,23,428,428,100.0,07023
7,24,443,443,100.0,07024
7,25,376,376,100.0,07025
7,28,45,45,100.0,07028
7,30,64,64,100.0,07030
7,31,443,443,100.0,07031
7,32,307,307,100.0,07032
7,33,514,514,100.0,07033
7,34,494,494,100.0,07034
7,35,448,448,100.0,07035
7,37,467,467,100.0,07037
8,1,126,126,100.0,08001
8,2,370,370,100.0,08002
8,21,4,4,100.0,08021
8,42,594,594,100.0,08042
10,1,303,303,100.0,10001
10,4,338,338,100.0,10004
10,6,256,256,100.0,10006
10,7,266,266,100.0,10007
10,8,363,363,100.0,10008
10,10,277,277,100.0,10010
10,11,387,387,100.0,10011
10,12,160,160,100.0,10012
10,14,379,379,100.0,10014
10,18,263,263,100.0,10018
10,19,279,279,100.0,10019
10,20,318,318,100.0,10020
10,21,271,271,100.0,10021
10,22,213,213,100.0,10022
10,23,246,246,100.0,10023
10,25,116,116,100.0,10025
10,26,265,265,100.0,10026
10,27,442,442,100.0,10027
10,28,304,304,100.0,10028
10,29,263,263,100.0,10029
10,30,300,300,100.0,10030
10,31,289,289,100.0,10031
10,32,246,246,100.0,10032
10,33,207,207,100.0,10033
10,34,291,291,100.0,10034
10,35,283,283,100.0,10035
10,36,94,94,100.0,10036
20,3,12,12,100.0,20003
20,5,440,440,100.0,20005
20,9,479,479,100.0,20009
20,16,430,430,100.0,20016
20,22,534,534,100.0,20022
20,24,468,468,100.0,20024
20,26,410,410,100.0,20026
20,34,466,466,100.0,20034
42,1,362,362,100.0,42001
42,2,525,525,100.0,42002
42,4,527,527,100.0,42004
42,6,419,419,100.0,42006
42,7,495,495,100.0,42007
42,8,378,378,100.0,42008
42,11,272,272,100.0,42011
42,13,354,354,100.0,42013
42,19,164,164,100.0,42019
42,24,388,388,100.0,42024
42,25,1,1,100.0,42025
42,26,431,431,100.0,42026
42,28,467,467,100.0,42028
42,29,402,402,100.0,42029
42,30,293,293,100.0,42030
42,31,358,358,100.0,42031
42,34,364,364,100.0,42034
42,35,524,524,100.0,42035
42,40,280,280,100.0,42040
43,35,443,443,100.0,43035
