ward,precinct,total,Beatriz Santiago,Beatriz Santiago Percent,precinct_id
1,1,295,295,100.0,01001
1,2,286,286,100.0,01002
1,3,394,394,100.0,01003
1,4,339,339,100.0,01004
1,5,331,331,100.0,01005
1,6,286,286,100.0,01006
1,7,293,293,100.0,01007
1,8,253,253,100.0,01008
1,9,307,307,100.0,01009
1,10,350,350,100.0,01010
1,11,358,358,100.0,01011
1,12,322,322,100.0,01012
1,13,308,308,100.0,01013
1,14,340,340,100.0,01014
1,15,293,293,100.0,01015
1,16,395,395,100.0,01016
1,17,273,273,100.0,01017
1,18,314,314,100.0,01018
1,19,375,375,100.0,01019
1,20,268,268,100.0,01020
1,21,371,371,100.0,01021
1,22,179,179,100.0,01022
1,23,421,421,100.0,01023
1,24,267,267,100.0,01024
1,25,288,288,100.0,01025
1,26,197,197,100.0,01026
1,27,328,328,100.0,01027
1,28,260,260,100.0,01028
1,29,301,301,100.0,01029
1,30,283,283,100.0,01030
1,31,301,301,100.0,01031
1,32,288,288,100.0,01032
1,33,299,299,100.0,01033
1,34,349,349,100.0,01034
1,35,351,351,100.0,01035
1,36,373,373,100.0,01036
1,37,294,294,100.0,01037
1,38,294,294,100.0,01038
1,39,273,273,100.0,01039
1,40,284,284,100.0,01040
2,1,332,332,100.0,02001
2,3,358,358,100.0,02003
2,4,322,322,100.0,02004
2,5,382,382,100.0,02005
2,6,317,317,100.0,02006
2,7,310,310,100.0,02007
2,8,351,351,100.0,02008
2,14,321,321,100.0,02014
2,15,317,317,100.0,02015
2,16,283,283,100.0,02016
2,17,380,380,100.0,02017
2,20,3,3,100.0,02020
2,21,333,333,100.0,02021
2,25,346,346,100.0,02025
26,1,293,293,100.0,26001
26,2,164,164,100.0,26002
26,3,287,287,100.0,26003
26,4,251,251,100.0,26004
26,5,293,293,100.0,26005
26,6,201,201,100.0,26006
26,7,260,260,100.0,26007
26,8,220,220,100.0,26008
26,9,243,243,100.0,26009
26,10,146,146,100.0,26010
26,11,233,233,100.0,26011
26,12,320,320,100.0,26012
26,13,224,224,100.0,26013
26,14,208,208,100.0,26014
26,15,198,198,100.0,26015
26,16,205,205,100.0,26016
26,18,279,279,100.0,26018
26,19,194,194,100.0,26019
26,20,286,286,100.0,26020
26,21,372,372,100.0,26021
26,22,181,181,100.0,26022
26,23,187,187,100.0,26023
26,24,210,210,100.0,26024
26,25,221,221,100.0,26025
26,26,174,174,100.0,26026
26,27,243,243,100.0,26027
26,28,262,262,100.0,26028
26,29,261,261,100.0,26029
26,30,304,304,100.0,26030
26,31,208,208,100.0,26031
26,32,240,240,100.0,26032
26,33,303,303,100.0,26033
