ward,precinct,total,Bruce Randazzo,Bruce Randazzo Percent,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
38,2,480,134,27.92,346,72.08,38002
38,7,146,80,54.79,66,45.21,38007
38,12,434,175,40.32,259,59.68,38012
38,17,109,58,53.21,51,46.79,38017
38,20,453,210,46.36,243,53.64,38020
38,24,3,0,0.0,3,100.0,38024
38,28,542,244,45.02,298,54.98,38028
41,1,475,168,35.37,307,64.63,41001
41,2,483,133,27.54,350,72.46,41002
41,3,208,87,41.83,121,58.17,41003
41,4,495,150,30.3,345,69.7,41004
41,5,455,175,38.46,280,61.54,41005
41,7,512,140,27.34,372,72.66,41007
41,8,518,103,19.88,415,80.12,41008
41,10,533,150,28.14,383,71.86,41010
41,11,506,178,35.18,328,64.82,41011
41,13,461,137,29.72,324,70.28,41013
41,15,493,151,30.63,342,69.37,41015
41,16,515,208,40.39,307,59.61,41016
41,17,518,200,38.61,318,61.39,41017
41,18,461,159,34.49,302,65.51,41018
41,20,388,156,40.21,232,59.79,41020
41,21,477,187,39.2,290,60.8,41021
41,22,522,167,31.99,355,68.01,41022
41,23,254,101,39.76,153,60.24,41023
41,25,352,210,59.66,142,40.34,41025
41,26,470,176,37.45,294,62.55,41026
41,27,378,173,45.77,205,54.23,41027
41,29,399,137,34.34,262,65.66,41029
41,31,508,147,28.94,361,71.06,41031
41,32,209,79,37.8,130,62.2,41032
41,33,465,136,29.25,329,70.75,41033
41,34,441,135,30.61,306,69.39,41034
41,35,437,138,31.58,299,68.42,41035
41,36,478,161,33.68,317,66.32,41036
41,37,542,161,29.7,381,70.3,41037
41,40,570,131,22.98,439,77.02,41040
41,41,483,158,32.71,325,67.29,41041
41,42,503,144,28.63,359,71.37,41042
41,43,457,151,33.04,306,66.96,41043
41,44,523,138,26.39,385,73.61,41044
41,45,426,208,48.83,218,51.17,41045
41,46,495,165,33.33,330,66.67,41046
