ward,precinct,total,Camille Y. Lilly,Camille Y. Lilly Percent,precinct_id
29,1,463,463,100.0,29001
29,4,444,444,100.0,29004
29,5,497,497,100.0,29005
29,7,476,476,100.0,29007
29,9,417,417,100.0,29009
29,10,475,475,100.0,29010
29,12,534,534,100.0,29012
29,13,517,517,100.0,29013
29,15,501,501,100.0,29015
29,17,498,498,100.0,29017
29,23,354,354,100.0,29023
29,24,455,455,100.0,29024
29,25,518,518,100.0,29025
29,26,406,406,100.0,29026
29,27,417,417,100.0,29027
29,30,183,183,100.0,29030
29,33,404,404,100.0,29033
29,35,543,543,100.0,29035
29,36,163,163,100.0,29036
29,37,531,531,100.0,29037
29,40,540,540,100.0,29040
29,41,464,464,100.0,29041
29,43,494,494,100.0,29043
29,44,488,488,100.0,29044
37,18,428,428,100.0,37018
37,29,277,277,100.0,37029
37,35,437,437,100.0,37035
37,37,459,459,100.0,37037
