ward,precinct,total,Derrick Smith,Derrick Smith Percent,Lance Tyson,Lance Tyson Percent,precinct_id
1,8,329,202,61.4,127,38.6,01008
1,11,32,23,71.88,9,28.13,01011
1,12,490,268,54.69,222,45.31,01012
1,21,42,26,61.9,16,38.1,01021
1,32,111,66,59.46,45,40.54,01032
1,33,49,35,71.43,14,28.57,01033
1,37,115,59,51.3,56,48.7,01037
2,1,320,200,62.5,120,37.5,02001
2,6,470,255,54.26,215,45.74,02006
2,7,451,276,61.2,175,38.8,02007
2,8,509,289,56.78,220,43.22,02008
2,15,383,237,61.88,146,38.12,02015
2,17,455,275,60.44,180,39.56,02017
2,20,359,258,71.87,101,28.13,02020
2,25,490,279,56.94,211,43.06,02025
24,17,102,68,66.67,34,33.33,24017
24,19,538,338,62.83,200,37.17,24019
24,20,325,205,63.08,120,36.92,24020
24,32,294,178,60.54,116,39.46,24032
24,41,355,245,69.01,110,30.99,24041
26,4,127,98,77.17,29,22.83,26004
26,17,359,191,53.2,168,46.8,26017
26,19,138,103,74.64,35,25.36,26019
26,28,351,209,59.54,142,40.46,26028
26,33,11,6,54.55,5,45.45,26033
26,36,8,5,62.5,3,37.5,26036
27,1,456,281,61.62,175,38.38,27001
27,3,347,211,60.81,136,39.19,27003
27,4,449,300,66.82,149,33.18,27004
27,5,339,216,63.72,123,36.28,27005
27,8,400,270,67.5,130,32.5,27008
27,10,91,64,70.33,27,29.67,27010
27,11,277,189,68.23,88,31.77,27011
27,13,452,291,64.38,161,35.62,27013
27,14,373,258,69.17,115,30.83,27014
27,15,498,321,64.46,177,35.54,27015
27,16,93,60,64.52,33,35.48,27016
27,17,518,272,52.51,246,47.49,27017
27,19,373,233,62.47,140,37.53,27019
27,22,340,195,57.35,145,42.65,27022
27,23,424,317,74.76,107,25.24,27023
27,24,326,196,60.12,130,39.88,27024
27,25,301,184,61.13,117,38.87,27025
27,26,378,250,66.14,128,33.86,27026
27,27,476,299,62.82,177,37.18,27027
27,29,413,257,62.23,156,37.77,27029
27,30,517,327,63.25,190,36.75,27030
27,31,395,248,62.78,147,37.22,27031
27,32,356,206,57.87,150,42.13,27032
27,33,306,195,63.73,111,36.27,27033
27,34,466,265,56.87,201,43.13,27034
27,35,437,212,48.51,225,51.49,27035
27,36,395,211,53.42,184,46.58,27036
27,37,5,4,80.0,1,20.0,27037
27,39,501,303,60.48,198,39.52,27039
27,40,441,235,53.29,206,46.71,27040
27,43,425,250,58.82,175,41.18,27043
27,44,448,298,66.52,150,33.48,27044
27,45,91,67,73.63,24,26.37,27045
28,1,30,23,76.67,7,23.33,28001
28,2,419,291,69.45,128,30.55,28002
28,3,420,280,66.67,140,33.33,28003
28,7,561,425,75.76,136,24.24,28007
28,9,547,418,76.42,129,23.58,28009
28,13,410,289,70.49,121,29.51,28013
28,15,137,95,69.34,42,30.66,28015
28,16,343,236,68.8,107,31.2,28016
28,17,433,296,68.36,137,31.64,28017
28,20,436,304,69.72,132,30.28,28020
28,21,413,296,71.67,117,28.33,28021
28,22,386,260,67.36,126,32.64,28022
28,23,576,390,67.71,186,32.29,28023
28,24,479,322,67.22,157,32.78,28024
28,25,640,421,65.78,219,34.22,28025
28,26,553,326,58.95,227,41.05,28026
28,30,66,55,83.33,11,16.67,28030
28,32,480,347,72.29,133,27.71,28032
28,33,509,303,59.53,206,40.47,28033
28,36,256,160,62.5,96,37.5,28036
28,37,679,399,58.76,280,41.24,28037
28,38,249,184,73.9,65,26.1,28038
28,40,609,408,67.0,201,33.0,28040
28,42,314,225,71.66,89,28.34,28042
28,44,373,237,63.54,136,36.46,28044
29,6,16,14,87.5,2,12.5,29006
32,2,487,278,57.08,209,42.92,32002
32,4,423,216,51.06,207,48.94,32004
32,5,449,281,62.58,168,37.42,32005
32,6,445,272,61.12,173,38.88,32006
32,29,357,208,58.26,149,41.74,32029
32,31,441,217,49.21,224,50.79,32031
32,32,465,260,55.91,205,44.09,32032
32,33,254,156,61.42,98,38.58,32033
32,34,411,243,59.12,168,40.88,32034
32,35,476,258,54.2,218,45.8,32035
32,36,460,258,56.09,202,43.91,32036
32,37,179,105,58.66,74,41.34,32037
37,2,363,265,73.0,98,27.0,37002
37,3,426,313,73.47,113,26.53,37003
37,4,431,260,60.32,171,39.68,37004
37,7,356,203,57.02,153,42.98,37007
37,8,395,239,60.51,156,39.49,37008
37,12,294,215,73.13,79,26.87,37012
37,13,386,272,70.47,114,29.53,37013
37,14,22,12,54.55,10,45.45,37014
37,19,406,304,74.88,102,25.12,37019
37,20,37,22,59.46,15,40.54,37020
37,21,398,290,72.86,108,27.14,37021
37,22,105,85,80.95,20,19.05,37022
37,27,65,41,63.08,24,36.92,37027
37,28,372,238,63.98,134,36.02,37028
37,30,57,44,77.19,13,22.81,37030
43,5,539,263,48.79,276,51.21,43005
43,7,324,193,59.57,131,40.43,43007
43,10,549,291,53.01,258,46.99,43010
43,11,398,232,58.29,166,41.71,43011
