ward,precinct,total,"Elgie R. Sims, Jr.","Elgie R. Sims, Jr. Percent",precinct_id
6,1,513,513,100.0,06001
6,2,462,462,100.0,06002
6,3,478,478,100.0,06003
6,8,484,484,100.0,06008
6,13,356,356,100.0,06013
6,14,474,474,100.0,06014
6,16,441,441,100.0,06016
6,19,68,68,100.0,06019
6,29,502,502,100.0,06029
6,31,447,447,100.0,06031
6,34,466,466,100.0,06034
6,35,417,417,100.0,06035
6,36,469,469,100.0,06036
6,37,466,466,100.0,06037
6,38,468,468,100.0,06038
6,39,469,469,100.0,06039
6,41,506,506,100.0,06041
6,42,500,500,100.0,06042
6,43,444,444,100.0,06043
6,44,422,422,100.0,06044
6,45,490,490,100.0,06045
6,46,438,438,100.0,06046
8,15,327,327,100.0,08015
8,22,442,442,100.0,08022
8,26,178,178,100.0,08026
8,31,370,370,100.0,08031
8,32,390,390,100.0,08032
8,34,413,413,100.0,08034
8,39,440,440,100.0,08039
8,43,181,181,100.0,08043
8,45,201,201,100.0,08045
8,47,388,388,100.0,08047
8,54,21,21,100.0,08054
9,1,218,218,100.0,09001
9,7,4,4,100.0,09007
9,8,533,533,100.0,09008
9,9,434,434,100.0,09009
9,12,514,514,100.0,09012
9,13,356,356,100.0,09013
9,23,470,470,100.0,09023
9,24,478,478,100.0,09024
9,25,454,454,100.0,09025
9,28,93,93,100.0,09028
9,31,40,40,100.0,09031
9,36,409,409,100.0,09036
9,37,437,437,100.0,09037
9,38,331,331,100.0,09038
9,42,478,478,100.0,09042
9,43,187,187,100.0,09043
9,46,498,498,100.0,09046
9,47,451,451,100.0,09047
9,48,458,458,100.0,09048
9,49,440,440,100.0,09049
9,50,565,565,100.0,09050
9,51,438,438,100.0,09051
10,13,1,1,100.0,10013
10,16,2,2,100.0,10016
17,21,510,510,100.0,17021
21,31,311,311,100.0,21031
21,53,110,110,100.0,21053
