ward,precinct,total,Tommy Brewer,Tommy Brewer Percent,precinct_id
11,6,410,410,100.0,11006
11,7,145,145,100.0,11007
22,19,0,0,0.0,22019
22,21,414,414,100.0,22021
24,1,296,296,100.0,24001
24,2,347,347,100.0,24002
24,3,343,343,100.0,24003
24,4,282,282,100.0,24004
24,5,189,189,100.0,24005
24,6,346,346,100.0,24006
24,8,163,163,100.0,24008
24,9,303,303,100.0,24009
24,10,160,160,100.0,24010
24,11,338,338,100.0,24011
24,12,220,220,100.0,24012
24,13,187,187,100.0,24013
24,14,286,286,100.0,24014
24,15,194,194,100.0,24015
24,17,269,269,100.0,24017
24,18,378,378,100.0,24018
24,19,361,361,100.0,24019
24,20,235,235,100.0,24020
24,21,184,184,100.0,24021
24,22,407,407,100.0,24022
24,23,307,307,100.0,24023
24,24,398,398,100.0,24024
24,25,277,277,100.0,24025
24,26,384,384,100.0,24026
24,27,304,304,100.0,24027
24,28,251,251,100.0,24028
24,29,233,233,100.0,24029
24,30,209,209,100.0,24030
24,31,339,339,100.0,24031
24,32,218,218,100.0,24032
24,33,236,236,100.0,24033
24,34,256,256,100.0,24034
24,35,355,355,100.0,24035
24,36,398,398,100.0,24036
24,37,195,195,100.0,24037
24,38,247,247,100.0,24038
24,40,309,309,100.0,24040
24,41,253,253,100.0,24041
25,3,385,385,100.0,25003
25,4,266,266,100.0,25004
25,10,327,327,100.0,25010
25,16,350,350,100.0,25016
25,20,279,279,100.0,25020
25,27,205,205,100.0,25027
25,29,240,240,100.0,25029
25,31,327,327,100.0,25031
26,2,109,109,100.0,26002
26,10,175,175,100.0,26010
26,17,233,233,100.0,26017
26,31,0,0,0.0,26031
26,33,6,6,100.0,26033
26,36,7,7,100.0,26036
27,2,303,303,100.0,27002
27,3,192,192,100.0,27003
27,4,308,308,100.0,27004
27,5,221,221,100.0,27005
27,8,275,275,100.0,27008
27,10,275,275,100.0,27010
27,14,312,312,100.0,27014
27,15,318,318,100.0,27015
27,16,242,242,100.0,27016
27,17,332,332,100.0,27017
27,18,242,242,100.0,27018
27,19,256,256,100.0,27019
27,22,208,208,100.0,27022
27,23,316,316,100.0,27023
27,24,207,207,100.0,27024
27,25,324,324,100.0,27025
27,26,243,243,100.0,27026
27,27,304,304,100.0,27027
27,29,280,280,100.0,27029
27,30,339,339,100.0,27030
27,31,259,259,100.0,27031
27,32,230,230,100.0,27032
27,33,240,240,100.0,27033
27,34,308,308,100.0,27034
27,36,269,269,100.0,27036
27,39,353,353,100.0,27039
27,41,316,316,100.0,27041
27,43,283,283,100.0,27043
27,44,305,305,100.0,27044
27,45,239,239,100.0,27045
28,1,273,273,100.0,28001
28,2,268,268,100.0,28002
28,3,225,225,100.0,28003
28,4,216,216,100.0,28004
28,5,168,168,100.0,28005
28,6,133,133,100.0,28006
28,7,403,403,100.0,28007
28,8,228,228,100.0,28008
28,9,351,351,100.0,28009
28,10,312,312,100.0,28010
28,11,545,545,100.0,28011
28,12,328,328,100.0,28012
28,13,291,291,100.0,28013
28,14,290,290,100.0,28014
28,15,87,87,100.0,28015
28,16,219,219,100.0,28016
28,17,296,296,100.0,28017
28,18,262,262,100.0,28018
28,19,225,225,100.0,28019
28,20,315,315,100.0,28020
28,21,299,299,100.0,28021
28,22,259,259,100.0,28022
28,23,379,379,100.0,28023
28,24,313,313,100.0,28024
28,25,455,455,100.0,28025
28,26,380,380,100.0,28026
28,27,234,234,100.0,28027
28,28,252,252,100.0,28028
28,29,128,128,100.0,28029
28,30,54,54,100.0,28030
28,31,389,389,100.0,28031
28,32,313,313,100.0,28032
28,33,324,324,100.0,28033
28,34,448,448,100.0,28034
28,35,397,397,100.0,28035
28,36,160,160,100.0,28036
28,37,442,442,100.0,28037
28,38,169,169,100.0,28038
28,39,282,282,100.0,28039
28,40,449,449,100.0,28040
28,41,294,294,100.0,28041
28,42,364,364,100.0,28042
28,43,387,387,100.0,28043
28,44,257,257,100.0,28044
