ward,precinct,total,Kelly M. Burke,Kelly M. Burke Percent,Bob Shelstrom,Bob Shelstrom Percent,precinct_id
17,18,20,20,100.0,0,0.0,17018
18,9,257,248,96.5,9,3.5,18009
18,19,19,18,94.74,1,5.26,18019
18,26,133,131,98.5,2,1.5,18026
18,32,459,452,98.47,7,1.53,18032
18,34,491,467,95.11,24,4.89,18034
19,3,379,245,64.64,134,35.36,19003
19,5,334,283,84.73,51,15.27,19005
19,9,293,192,65.53,101,34.47,19009
19,12,403,274,67.99,129,32.01,19012
19,16,82,57,69.51,25,30.49,19016
19,18,233,190,81.55,43,18.45,19018
19,24,331,213,64.35,118,35.65,19024
19,30,65,43,66.15,22,33.85,19030
19,33,144,99,68.75,45,31.25,19033
19,56,378,297,78.57,81,21.43,19056
19,58,436,290,66.51,146,33.49,19058
21,7,481,475,98.75,6,1.25,21007
21,9,503,495,98.41,8,1.59,21009
21,13,456,450,98.68,6,1.32,21013
21,15,170,166,97.65,4,2.35,21015
21,26,18,18,100.0,0,0.0,21026
21,29,186,181,97.31,5,2.69,21029
