ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,Timothy C Wolfe,Timothy C Wolfe Percent,precinct_id
40,4,273,228,83.52,45,16.48,40004
40,9,423,358,84.63,65,15.37,40009
40,10,357,295,82.63,62,17.37,40010
40,18,440,383,87.05,57,12.95,40018
40,22,478,408,85.36,70,14.64,40022
40,25,88,77,87.5,11,12.5,40025
40,26,518,444,85.71,74,14.29,40026
40,27,631,542,85.9,89,14.1,40027
40,28,529,485,91.68,44,8.32,40028
40,31,472,409,86.65,63,13.35,40031
40,33,514,457,88.91,57,11.09,40033
40,35,383,310,80.94,73,19.06,40035
40,36,445,385,86.52,60,13.48,40036
40,37,498,433,86.95,65,13.05,40037
40,39,134,109,81.34,25,18.66,40039
41,1,468,272,58.12,196,41.88,41001
41,2,486,272,55.97,214,44.03,41002
41,4,505,291,57.62,214,42.38,41004
41,5,465,284,61.08,181,38.92,41005
41,7,512,285,55.66,227,44.34,41007
41,8,502,273,54.38,229,45.62,41008
41,10,537,306,56.98,231,43.02,41010
41,11,510,293,57.45,217,42.55,41011
41,13,461,251,54.45,210,45.55,41013
41,15,500,262,52.4,238,47.6,41015
41,16,19,12,63.16,7,36.84,41016
41,17,85,52,61.18,33,38.82,41017
41,18,460,265,57.61,195,42.39,41018
41,20,389,227,58.35,162,41.65,41020
41,23,246,175,71.14,71,28.86,41023
41,25,375,271,72.27,104,27.73,41025
41,28,573,426,74.35,147,25.65,41028
41,29,527,290,55.03,237,44.97,41029
41,31,511,296,57.93,215,42.07,41031
41,33,75,43,57.33,32,42.67,41033
41,34,438,250,57.08,188,42.92,41034
41,36,479,281,58.66,198,41.34,41036
41,37,532,308,57.89,224,42.11,41037
41,40,567,292,51.5,275,48.5,41040
41,41,481,280,58.21,201,41.79,41041
41,42,518,294,56.76,224,43.24,41042
41,43,452,257,56.86,195,43.14,41043
41,44,515,262,50.87,253,49.13,41044
41,45,253,167,66.01,86,33.99,41045
44,3,607,461,75.95,146,24.05,44003
44,4,550,428,77.82,122,22.18,44004
44,7,450,307,68.22,143,31.78,44007
44,24,468,364,77.78,104,22.22,44024
44,35,681,507,74.45,174,25.55,44035
46,1,420,346,82.38,74,17.62,46001
46,2,510,441,86.47,69,13.53,46002
46,4,481,396,82.33,85,17.67,46004
46,5,5,3,60.0,2,40.0,46005
46,6,413,378,91.53,35,8.47,46006
46,7,629,518,82.35,111,17.65,46007
46,8,416,362,87.02,54,12.98,46008
46,9,549,467,85.06,82,14.94,46009
46,11,513,366,71.35,147,28.65,46011
46,12,441,388,87.98,53,12.02,46012
46,13,581,488,83.99,93,16.01,46013
46,14,588,526,89.46,62,10.54,46014
46,15,633,497,78.52,136,21.48,46015
46,16,317,272,85.8,45,14.2,46016
46,17,649,527,81.2,122,18.8,46017
46,18,608,450,74.01,158,25.99,46018
46,20,476,422,88.66,54,11.34,46020
46,21,418,345,82.54,73,17.46,46021
46,22,411,352,85.64,59,14.36,46022
46,23,472,423,89.62,49,10.38,46023
46,24,447,338,75.62,109,24.38,46024
46,25,534,460,86.14,74,13.86,46025
46,26,508,449,88.39,59,11.61,46026
46,27,620,491,79.19,129,20.81,46027
46,29,466,389,83.48,77,16.52,46029
46,32,540,471,87.22,69,12.78,46032
46,34,610,492,80.66,118,19.34,46034
46,35,687,591,86.03,96,13.97,46035
46,37,418,383,91.63,35,8.37,46037
46,38,37,31,83.78,6,16.22,46038
46,40,485,409,84.33,76,15.67,46040
47,15,627,559,89.15,68,10.85,47015
47,19,592,531,89.7,61,10.3,47019
47,23,583,523,89.71,60,10.29,47023
47,30,246,216,87.8,30,12.2,47030
48,1,479,411,85.8,68,14.2,48001
48,2,248,204,82.26,44,17.74,48002
48,3,605,534,88.26,71,11.74,48003
48,4,446,395,88.57,51,11.43,48004
48,5,327,259,79.2,68,20.8,48005
48,6,602,523,86.88,79,13.12,48006
48,7,535,489,91.4,46,8.6,48007
48,8,300,230,76.67,70,23.33,48008
48,9,393,311,79.13,82,20.87,48009
48,10,657,597,90.87,60,9.13,48010
48,11,448,401,89.51,47,10.49,48011
48,12,624,546,87.5,78,12.5,48012
48,13,689,552,80.12,137,19.88,48013
48,14,322,260,80.75,62,19.25,48014
48,15,349,290,83.09,59,16.91,48015
48,16,548,477,87.04,71,12.96,48016
48,17,491,421,85.74,70,14.26,48017
48,18,439,394,89.75,45,10.25,48018
48,19,356,312,87.64,44,12.36,48019
48,20,561,505,90.02,56,9.98,48020
48,21,635,558,87.87,77,12.13,48021
48,22,453,370,81.68,83,18.32,48022
48,23,444,376,84.68,68,15.32,48023
48,24,549,427,77.78,122,22.22,48024
48,25,487,424,87.06,63,12.94,48025
48,26,296,257,86.82,39,13.18,48026
48,27,433,362,83.6,71,16.4,48027
48,28,727,567,77.99,160,22.01,48028
48,29,267,237,88.76,30,11.24,48029
48,30,470,416,88.51,54,11.49,48030
