ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",Brian Woodworth,Brian Woodworth Percent,Marcus Lewis,Marcus Lewis Percent,precinct_id
5,1,539,450,83.49,7,1.3,82,15.21,05001
5,6,384,326,84.9,11,2.86,47,12.24,05006
5,10,174,148,85.06,4,2.3,22,12.64,05010
5,11,234,156,66.67,24,10.26,54,23.08,05011
5,14,455,356,78.24,12,2.64,87,19.12,05014
5,18,185,129,69.73,13,7.03,43,23.24,05018
5,23,685,444,64.82,84,12.26,157,22.92,05023
5,25,363,310,85.4,9,2.48,44,12.12,05025
5,26,574,470,81.88,7,1.22,97,16.9,05026
5,28,581,468,80.55,12,2.07,101,17.38,05028
5,29,687,544,79.18,24,3.49,119,17.32,05029
5,31,536,461,86.01,8,1.49,67,12.5,05031
5,32,596,473,79.36,21,3.52,102,17.11,05032
5,35,72,53,73.61,1,1.39,18,25.0,05035
5,36,409,350,85.57,10,2.44,49,11.98,05036
5,37,782,533,68.16,68,8.7,181,23.15,05037
5,38,621,529,85.19,9,1.45,83,13.37,05038
5,40,553,474,85.71,10,1.81,69,12.48,05040
7,1,273,239,87.55,7,2.56,27,9.89,07001
7,2,530,454,85.66,9,1.7,67,12.64,07002
7,3,499,417,83.57,12,2.4,70,14.03,07003
7,4,551,454,82.4,13,2.36,84,15.25,07004
7,5,480,394,82.08,14,2.92,72,15.0,07005
7,6,684,529,77.34,28,4.09,127,18.57,07006
7,7,559,482,86.23,7,1.25,70,12.52,07007
7,8,450,376,83.56,12,2.67,62,13.78,07008
7,9,813,646,79.46,20,2.46,147,18.08,07009
7,10,485,416,85.77,7,1.44,62,12.78,07010
7,11,571,494,86.51,6,1.05,71,12.43,07011
7,12,596,493,82.72,11,1.85,92,15.44,07012
7,13,394,348,88.32,4,1.02,42,10.66,07013
7,14,542,453,83.58,10,1.85,79,14.58,07014
7,15,518,434,83.78,5,0.97,79,15.25,07015
7,16,595,530,89.08,4,0.67,61,10.25,07016
7,17,523,438,83.75,11,2.1,74,14.15,07017
7,18,517,428,82.79,11,2.13,78,15.09,07018
7,19,500,412,82.4,12,2.4,76,15.2,07019
7,20,467,374,80.09,11,2.36,82,17.56,07020
