ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",Brian Woodworth,Brian Woodworth Percent,Marcus Lewis,Marcus Lewis Percent,precinct_id
7,21,519,421,81.12,15,2.89,83,15.99,07021
7,22,416,321,77.16,19,4.57,76,18.27,07022
7,23,497,408,82.09,5,1.01,84,16.9,07023
7,24,514,430,83.66,8,1.56,76,14.79,07024
7,25,428,357,83.41,19,4.44,52,12.15,07025
7,26,406,344,84.73,11,2.71,51,12.56,07026
7,27,441,356,80.73,8,1.81,77,17.46,07027
7,28,393,339,86.26,8,2.04,46,11.7,07028
7,29,435,378,86.9,8,1.84,49,11.26,07029
7,30,400,319,79.75,17,4.25,64,16.0,07030
7,31,526,435,82.7,15,2.85,76,14.45,07031
7,32,596,494,82.89,12,2.01,90,15.1,07032
7,33,580,485,83.62,8,1.38,87,15.0,07033
7,34,549,470,85.61,8,1.46,71,12.93,07034
7,35,502,404,80.48,14,2.79,84,16.73,07035
7,36,545,447,82.02,7,1.28,91,16.7,07036
7,37,548,453,82.66,14,2.55,81,14.78,07037
7,38,447,375,83.89,9,2.01,63,14.09,07038
7,39,464,402,86.64,5,1.08,57,12.28,07039
7,40,469,394,84.01,8,1.71,67,14.29,07040
7,41,505,440,87.13,12,2.38,53,10.5,07041
7,42,475,404,85.05,10,2.11,61,12.84,07042
7,43,489,445,91.0,3,0.61,41,8.38,07043
7,44,474,401,84.6,8,1.69,65,13.71,07044
7,45,529,455,86.01,12,2.27,62,11.72,07045
8,4,318,277,87.11,1,0.31,40,12.58,08004
8,5,25,21,84.0,0,0.0,4,16.0,08005
8,7,585,478,81.71,11,1.88,96,16.41,08007
8,9,344,303,88.08,4,1.16,37,10.76,08009
8,17,392,336,85.71,2,0.51,54,13.78,08017
8,27,436,337,77.29,11,2.52,88,20.18,08027
8,28,558,471,84.41,8,1.43,79,14.16,08028
8,32,428,377,88.08,5,1.17,46,10.75,08032
8,36,538,459,85.32,3,0.56,76,14.13,08036
8,39,477,422,88.47,5,1.05,50,10.48,08039
8,42,673,579,86.03,4,0.59,90,13.37,08042
8,46,419,364,86.87,0,0.0,55,13.13,08046
8,49,27,17,62.96,0,0.0,10,37.04,08049
8,50,200,165,82.5,5,2.5,30,15.0,08050
8,53,335,286,85.37,4,1.19,45,13.43,08053
9,1,533,458,85.93,5,0.94,70,13.13,09001
9,2,472,429,90.89,6,1.27,37,7.84,09002
9,3,568,521,91.73,6,1.06,41,7.22,09003
9,4,411,365,88.81,3,0.73,43,10.46,09004
9,5,483,417,86.34,2,0.41,64,13.25,09005
9,6,472,411,87.08,6,1.27,55,11.65,09006
9,7,478,426,89.12,13,2.72,39,8.16,09007
9,8,592,528,89.19,9,1.52,55,9.29,09008
9,9,580,492,84.83,10,1.72,78,13.45,09009
9,10,481,434,90.23,7,1.46,40,8.32,09010
9,11,418,375,89.71,11,2.63,32,7.66,09011
9,13,529,453,85.63,10,1.89,66,12.48,09013
9,14,569,487,85.59,12,2.11,70,12.3,09014
9,15,625,576,92.16,6,0.96,43,6.88,09015
9,16,456,386,84.65,7,1.54,63,13.82,09016
9,17,506,451,89.13,6,1.19,49,9.68,09017
9,18,430,365,84.88,7,1.63,58,13.49,09018
9,19,492,446,90.65,8,1.63,38,7.72,09019
9,20,527,468,88.8,2,0.38,57,10.82,09020
9,21,502,438,87.25,12,2.39,52,10.36,09021
9,22,497,424,85.31,6,1.21,67,13.48,09022
9,26,620,556,89.68,12,1.94,52,8.39,09026
9,27,485,428,88.25,7,1.44,50,10.31,09027
9,28,299,252,84.28,6,2.01,41,13.71,09028
9,29,513,458,89.28,7,1.36,48,9.36,09029
9,30,446,388,87.0,12,2.69,46,10.31,09030
9,31,427,375,87.82,8,1.87,44,10.3,09031
9,32,485,416,85.77,12,2.47,57,11.75,09032
9,33,502,456,90.84,6,1.2,40,7.97,09033
9,34,444,402,90.54,11,2.48,31,6.98,09034
9,35,496,415,83.67,9,1.81,72,14.52,09035
9,37,523,299,57.17,95,18.16,129,24.67,09037
9,38,505,441,87.33,4,0.79,60,11.88,09038
9,39,490,419,85.51,5,1.02,66,13.47,09039
9,40,535,471,88.04,6,1.12,58,10.84,09040
9,41,437,381,87.19,8,1.83,48,10.98,09041
9,43,476,421,88.45,5,1.05,50,10.5,09043
9,44,391,338,86.45,9,2.3,44,11.25,09044
9,45,437,373,85.35,12,2.75,52,11.9,09045
9,46,559,460,82.29,28,5.01,71,12.7,09046
10,1,392,314,80.1,24,6.12,54,13.78,10001
10,2,425,146,34.35,198,46.59,81,19.06,10002
10,3,351,123,35.04,141,40.17,87,24.79,10003
10,4,407,323,79.36,24,5.9,60,14.74,10004
10,5,336,119,35.42,145,43.15,72,21.43,10005
10,6,322,175,54.35,73,22.67,74,22.98,10006
10,7,313,194,61.98,50,15.97,69,22.04,10007
10,8,446,395,88.57,10,2.24,41,9.19,10008
10,9,414,137,33.09,186,44.93,91,21.98,10009
10,10,400,165,41.25,134,33.5,101,25.25,10010
10,11,470,271,57.66,114,24.26,85,18.09,10011
10,12,205,87,42.44,77,37.56,41,20.0,10012
10,13,397,287,72.29,61,15.37,49,12.34,10013
10,14,494,238,48.18,155,31.38,101,20.45,10014
10,15,879,768,87.37,14,1.59,97,11.04,10015
10,16,324,159,49.07,89,27.47,76,23.46,10016
10,17,514,169,32.88,226,43.97,119,23.15,10017
10,18,317,260,82.02,18,5.68,39,12.3,10018
10,19,377,153,40.58,152,40.32,72,19.1,10019
10,20,402,175,43.53,124,30.85,103,25.62,10020
10,21,381,183,48.03,115,30.18,83,21.78,10021
10,22,252,164,65.08,42,16.67,46,18.25,10022
10,23,392,223,56.89,73,18.62,96,24.49,10023
10,24,414,119,28.74,213,51.45,82,19.81,10024
10,25,135,103,76.3,12,8.89,20,14.81,10025
10,26,310,212,68.39,35,11.29,63,20.32,10026
10,27,557,468,84.02,18,3.23,71,12.75,10027
10,28,377,192,50.93,94,24.93,91,24.14,10028
10,29,340,180,52.94,92,27.06,68,20.0,10029
10,30,361,214,59.28,71,19.67,76,21.05,10030
10,31,336,234,69.64,41,12.2,61,18.15,10031
10,32,342,152,44.44,113,33.04,77,22.51,10032
10,33,266,155,58.27,54,20.3,57,21.43,10033
10,34,335,265,79.1,28,8.36,42,12.54,10034
10,35,448,145,32.37,213,47.54,90,20.09,10035
10,36,113,84,74.34,13,11.5,16,14.16,10036
18,15,0,0,0.0,0,0.0,0,0.0,18015
34,2,76,68,89.47,0,0.0,8,10.53,34002
34,4,502,454,90.44,5,1.0,43,8.57,34004
34,18,569,508,89.28,9,1.58,52,9.14,34018
34,22,394,351,89.09,4,1.02,39,9.9,34022
34,23,464,400,86.21,6,1.29,58,12.5,34023
34,24,536,467,87.13,10,1.87,59,11.01,34024
34,27,562,491,87.37,11,1.96,60,10.68,34027
34,28,458,422,92.14,8,1.75,28,6.11,34028
34,30,299,253,84.62,6,2.01,40,13.38,34030
34,36,451,382,84.7,4,0.89,65,14.41,34036
34,37,404,365,90.35,6,1.49,33,8.17,34037
34,38,381,347,91.08,5,1.31,29,7.61,34038
34,39,465,405,87.1,6,1.29,54,11.61,34039
34,41,383,328,85.64,3,0.78,52,13.58,34041
34,53,448,401,89.51,3,0.67,44,9.82,34053
