ward,precinct,total,John H. Ehrlich,John H. Ehrlich Percent,precinct_id
2,2,255,255,100.0,02002
2,9,295,295,100.0,02009
2,10,274,274,100.0,02010
2,11,260,260,100.0,02011
2,12,316,316,100.0,02012
2,13,308,308,100.0,02013
2,18,273,273,100.0,02018
2,19,232,232,100.0,02019
2,20,328,328,100.0,02020
2,22,312,312,100.0,02022
2,23,213,213,100.0,02023
2,24,291,291,100.0,02024
2,26,280,280,100.0,02026
2,27,291,291,100.0,02027
2,28,360,360,100.0,02028
2,29,325,325,100.0,02029
2,30,293,293,100.0,02030
2,31,406,406,100.0,02031
2,32,282,282,100.0,02032
2,33,476,476,100.0,02033
2,34,254,254,100.0,02034
2,35,340,340,100.0,02035
2,36,241,241,100.0,02036
2,37,312,312,100.0,02037
2,38,280,280,100.0,02038
2,39,195,195,100.0,02039
2,40,416,416,100.0,02040
2,41,291,291,100.0,02041
2,42,360,360,100.0,02042
2,43,382,382,100.0,02043
2,44,199,199,100.0,02044
2,45,371,371,100.0,02045
2,46,196,196,100.0,02046
3,3,387,387,100.0,03003
3,6,397,397,100.0,03006
3,13,413,413,100.0,03013
3,14,362,362,100.0,03014
3,17,346,346,100.0,03017
3,18,58,58,100.0,03018
3,19,343,343,100.0,03019
3,21,388,388,100.0,03021
3,22,403,403,100.0,03022
3,25,424,424,100.0,03025
3,26,385,385,100.0,03026
3,27,324,324,100.0,03027
3,32,385,385,100.0,03032
3,33,431,431,100.0,03033
3,34,421,421,100.0,03034
3,39,375,375,100.0,03039
3,40,381,381,100.0,03040
4,2,425,425,100.0,04002
4,6,128,128,100.0,04006
4,13,326,326,100.0,04013
4,16,422,422,100.0,04016
4,17,424,424,100.0,04017
4,20,360,360,100.0,04020
4,21,476,476,100.0,04021
4,25,365,365,100.0,04025
4,37,384,384,100.0,04037
11,10,69,69,100.0,11010
11,14,131,131,100.0,11014
11,30,131,131,100.0,11030
21,27,0,0,0.0,21027
25,6,87,87,100.0,25006
25,14,129,129,100.0,25014
25,18,148,148,100.0,25018
25,21,525,525,100.0,25021
25,27,102,102,100.0,25027
27,6,370,370,100.0,27006
27,9,322,322,100.0,27009
27,11,84,84,100.0,27011
27,12,282,282,100.0,27012
27,20,414,414,100.0,27020
27,21,372,372,100.0,27021
27,28,287,287,100.0,27028
27,35,239,239,100.0,27035
27,37,286,286,100.0,27037
27,38,278,278,100.0,27038
27,42,290,290,100.0,27042
32,7,366,366,100.0,32007
32,8,372,372,100.0,32008
32,10,331,331,100.0,32010
32,13,58,58,100.0,32013
32,18,330,330,100.0,32018
32,23,306,306,100.0,32023
32,27,34,34,100.0,32027
32,39,351,351,100.0,32039
40,13,235,235,100.0,40013
40,21,123,123,100.0,40021
40,22,331,331,100.0,40022
40,23,380,380,100.0,40023
40,26,329,329,100.0,40026
40,28,81,81,100.0,40028
40,31,376,376,100.0,40031
40,32,384,384,100.0,40032
40,33,362,362,100.0,40033
40,36,302,302,100.0,40036
42,1,309,309,100.0,42001
42,2,466,466,100.0,42002
42,4,440,440,100.0,42004
42,5,271,271,100.0,42005
42,6,333,333,100.0,42006
42,7,407,407,100.0,42007
42,8,278,278,100.0,42008
42,9,400,400,100.0,42009
42,10,313,313,100.0,42010
42,11,208,208,100.0,42011
42,12,233,233,100.0,42012
42,13,294,294,100.0,42013
42,14,373,373,100.0,42014
42,15,283,283,100.0,42015
42,17,270,270,100.0,42017
42,19,332,332,100.0,42019
42,20,334,334,100.0,42020
42,22,154,154,100.0,42022
42,23,314,314,100.0,42023
42,24,315,315,100.0,42024
42,25,324,324,100.0,42025
42,26,349,349,100.0,42026
42,27,264,264,100.0,42027
42,28,390,390,100.0,42028
42,29,325,325,100.0,42029
42,30,240,240,100.0,42030
42,31,299,299,100.0,42031
