ward,precinct,total,Mathias William Delort,Mathias William Delort Percent,precinct_id
1,1,354,354,100.0,01001
1,2,326,326,100.0,01002
1,3,466,466,100.0,01003
1,4,397,397,100.0,01004
1,5,411,411,100.0,01005
1,6,350,350,100.0,01006
1,7,351,351,100.0,01007
1,8,322,322,100.0,01008
1,9,352,352,100.0,01009
1,10,400,400,100.0,01010
1,11,440,440,100.0,01011
1,12,392,392,100.0,01012
1,13,368,368,100.0,01013
1,14,404,404,100.0,01014
1,15,330,330,100.0,01015
1,16,451,451,100.0,01016
1,17,323,323,100.0,01017
1,18,364,364,100.0,01018
1,19,429,429,100.0,01019
1,20,306,306,100.0,01020
1,21,441,441,100.0,01021
1,22,211,211,100.0,01022
1,23,495,495,100.0,01023
1,24,316,316,100.0,01024
1,25,343,343,100.0,01025
1,26,228,228,100.0,01026
1,27,366,366,100.0,01027
1,28,345,345,100.0,01028
1,29,356,356,100.0,01029
1,30,340,340,100.0,01030
1,31,349,349,100.0,01031
1,32,345,345,100.0,01032
1,33,352,352,100.0,01033
1,34,409,409,100.0,01034
1,35,388,388,100.0,01035
1,36,425,425,100.0,01036
1,37,365,365,100.0,01037
1,38,348,348,100.0,01038
1,39,311,311,100.0,01039
1,40,343,343,100.0,01040
2,1,392,392,100.0,02001
2,2,296,296,100.0,02002
2,3,416,416,100.0,02003
2,4,380,380,100.0,02004
2,5,447,447,100.0,02005
2,6,380,380,100.0,02006
2,7,374,374,100.0,02007
2,8,426,426,100.0,02008
2,9,348,348,100.0,02009
2,10,320,320,100.0,02010
2,11,298,298,100.0,02011
2,12,388,388,100.0,02012
2,13,370,370,100.0,02013
2,14,409,409,100.0,02014
2,15,374,374,100.0,02015
2,16,351,351,100.0,02016
2,17,447,447,100.0,02017
2,18,313,313,100.0,02018
2,19,271,271,100.0,02019
2,20,384,384,100.0,02020
2,21,399,399,100.0,02021
2,22,366,366,100.0,02022
2,23,251,251,100.0,02023
2,24,334,334,100.0,02024
2,25,406,406,100.0,02025
2,26,350,350,100.0,02026
2,27,351,351,100.0,02027
2,28,443,443,100.0,02028
2,29,408,408,100.0,02029
2,30,335,335,100.0,02030
2,31,477,477,100.0,02031
2,32,324,324,100.0,02032
2,33,554,554,100.0,02033
2,34,280,280,100.0,02034
2,35,409,409,100.0,02035
2,36,276,276,100.0,02036
2,37,360,360,100.0,02037
2,38,338,338,100.0,02038
2,39,220,220,100.0,02039
2,40,470,470,100.0,02040
2,41,330,330,100.0,02041
2,42,450,450,100.0,02042
2,43,426,426,100.0,02043
2,44,247,247,100.0,02044
2,45,441,441,100.0,02045
2,46,241,241,100.0,02046
3,1,557,557,100.0,03001
3,2,515,515,100.0,03002
3,3,459,459,100.0,03003
3,4,524,524,100.0,03004
3,5,408,408,100.0,03005
3,6,452,452,100.0,03006
3,7,381,381,100.0,03007
3,8,401,401,100.0,03008
3,9,487,487,100.0,03009
3,10,342,342,100.0,03010
3,11,527,527,100.0,03011
3,12,488,488,100.0,03012
3,13,476,476,100.0,03013
3,14,421,421,100.0,03014
