ward,precinct,total,Ira I. Silverstein,Ira I. Silverstein Percent,precinct_id
33,2,209,209,100.0,33002
33,7,98,98,100.0,33007
35,30,1,1,100.0,35030
39,2,337,337,100.0,39002
39,3,249,249,100.0,39003
39,4,304,304,100.0,39004
39,5,377,377,100.0,39005
39,6,360,360,100.0,39006
39,7,332,332,100.0,39007
39,8,331,331,100.0,39008
39,9,334,334,100.0,39009
39,10,156,156,100.0,39010
39,11,366,366,100.0,39011
39,12,361,361,100.0,39012
39,13,274,274,100.0,39013
39,14,343,343,100.0,39014
39,15,473,473,100.0,39015
39,16,303,303,100.0,39016
39,17,1,1,100.0,39017
39,18,375,375,100.0,39018
39,19,360,360,100.0,39019
39,20,321,321,100.0,39020
39,24,370,370,100.0,39024
39,25,51,51,100.0,39025
39,26,276,276,100.0,39026
39,27,55,55,100.0,39027
39,29,178,178,100.0,39029
39,30,374,374,100.0,39030
39,31,73,73,100.0,39031
39,32,294,294,100.0,39032
39,33,506,506,100.0,39033
39,35,347,347,100.0,39035
39,36,368,368,100.0,39036
39,37,350,350,100.0,39037
39,38,201,201,100.0,39038
39,39,325,325,100.0,39039
39,40,366,366,100.0,39040
39,42,273,273,100.0,39042
39,43,134,134,100.0,39043
39,44,181,181,100.0,39044
39,45,216,216,100.0,39045
40,4,187,187,100.0,40004
40,10,307,307,100.0,40010
40,35,41,41,100.0,40035
40,39,76,76,100.0,40039
41,6,359,359,100.0,41006
41,9,355,355,100.0,41009
41,14,389,389,100.0,41014
41,19,377,377,100.0,41019
41,32,229,229,100.0,41032
41,35,49,49,100.0,41035
41,39,365,365,100.0,41039
41,47,367,367,100.0,41047
45,32,84,84,100.0,45032
50,1,376,376,100.0,50001
50,2,242,242,100.0,50002
50,3,357,357,100.0,50003
50,4,416,416,100.0,50004
50,5,318,318,100.0,50005
50,6,418,418,100.0,50006
50,7,424,424,100.0,50007
50,8,60,60,100.0,50008
50,9,303,303,100.0,50009
50,10,346,346,100.0,50010
50,11,288,288,100.0,50011
50,12,156,156,100.0,50012
50,13,411,411,100.0,50013
50,14,120,120,100.0,50014
50,15,417,417,100.0,50015
50,16,144,144,100.0,50016
50,17,330,330,100.0,50017
50,18,89,89,100.0,50018
50,19,237,237,100.0,50019
50,20,356,356,100.0,50020
50,21,297,297,100.0,50021
50,22,324,324,100.0,50022
50,23,282,282,100.0,50023
50,24,372,372,100.0,50024
50,25,353,353,100.0,50025
50,26,370,370,100.0,50026
50,27,111,111,100.0,50027
50,28,457,457,100.0,50028
50,29,323,323,100.0,50029
50,30,260,260,100.0,50030
50,31,406,406,100.0,50031
50,32,432,432,100.0,50032
50,33,316,316,100.0,50033
50,34,458,458,100.0,50034
50,35,432,432,100.0,50035
50,36,327,327,100.0,50036
50,37,353,353,100.0,50037
50,38,174,174,100.0,50038
50,39,274,274,100.0,50039
50,40,394,394,100.0,50040
