ward,precinct,total,Emil Jones III,Emil Jones III Percent,precinct_id
9,1,266,266,100.0,09001
9,2,426,426,100.0,09002
9,4,347,347,100.0,09004
9,5,463,463,100.0,09005
9,6,448,448,100.0,09006
9,9,78,78,100.0,09009
9,10,431,431,100.0,09010
9,13,121,121,100.0,09013
9,14,548,548,100.0,09014
9,17,453,453,100.0,09017
9,19,463,463,100.0,09019
9,20,486,486,100.0,09020
9,21,465,465,100.0,09021
9,22,474,474,100.0,09022
9,27,441,441,100.0,09027
9,29,458,458,100.0,09029
9,30,398,398,100.0,09030
9,31,337,337,100.0,09031
9,32,459,459,100.0,09032
9,34,391,391,100.0,09034
9,35,473,473,100.0,09035
9,38,132,132,100.0,09038
9,39,472,472,100.0,09039
9,40,520,520,100.0,09040
9,43,213,213,100.0,09043
9,44,65,65,100.0,09044
19,14,439,439,100.0,19014
19,20,361,361,100.0,19020
19,31,306,306,100.0,19031
19,40,377,377,100.0,19040
19,42,314,314,100.0,19042
19,43,666,666,100.0,19043
19,47,551,551,100.0,19047
19,48,667,667,100.0,19048
19,49,504,504,100.0,19049
21,2,120,120,100.0,21002
21,5,467,467,100.0,21005
21,6,474,474,100.0,21006
21,10,454,454,100.0,21010
21,11,455,455,100.0,21011
21,12,462,462,100.0,21012
21,17,380,380,100.0,21017
21,19,481,481,100.0,21019
21,20,146,146,100.0,21020
21,21,431,431,100.0,21021
21,22,325,325,100.0,21022
21,23,442,442,100.0,21023
21,24,478,478,100.0,21024
21,25,450,450,100.0,21025
21,27,469,469,100.0,21027
21,33,447,447,100.0,21033
21,34,214,214,100.0,21034
21,35,465,465,100.0,21035
21,36,380,380,100.0,21036
21,37,408,408,100.0,21037
21,38,536,536,100.0,21038
21,39,439,439,100.0,21039
21,40,501,501,100.0,21040
21,41,457,457,100.0,21041
21,42,319,319,100.0,21042
21,43,60,60,100.0,21043
21,44,334,334,100.0,21044
21,45,503,503,100.0,21045
21,46,467,467,100.0,21046
21,48,262,262,100.0,21048
21,49,424,424,100.0,21049
21,50,420,420,100.0,21050
21,52,67,67,100.0,21052
34,1,561,561,100.0,34001
34,2,382,382,100.0,34002
34,3,534,534,100.0,34003
34,4,484,484,100.0,34004
34,5,473,473,100.0,34005
34,6,588,588,100.0,34006
34,7,534,534,100.0,34007
34,8,449,449,100.0,34008
34,9,508,508,100.0,34009
34,10,488,488,100.0,34010
34,11,525,525,100.0,34011
34,12,533,533,100.0,34012
34,13,530,530,100.0,34013
34,14,483,483,100.0,34014
34,15,482,482,100.0,34015
34,16,506,506,100.0,34016
34,17,604,604,100.0,34017
34,18,529,529,100.0,34018
34,19,556,556,100.0,34019
34,20,549,549,100.0,34020
34,21,541,541,100.0,34021
34,22,492,492,100.0,34022
34,23,445,445,100.0,34023
34,24,497,497,100.0,34024
34,25,514,514,100.0,34025
34,26,523,523,100.0,34026
34,27,528,528,100.0,34027
34,28,435,435,100.0,34028
34,29,423,423,100.0,34029
34,30,438,438,100.0,34030
34,31,523,523,100.0,34031
34,32,462,462,100.0,34032
34,33,516,516,100.0,34033
34,34,527,527,100.0,34034
34,35,557,557,100.0,34035
34,36,441,441,100.0,34036
34,37,377,377,100.0,34037
34,38,359,359,100.0,34038
34,39,443,443,100.0,34039
34,40,552,552,100.0,34040
34,41,384,384,100.0,34041
34,42,426,426,100.0,34042
34,43,411,411,100.0,34043
34,44,476,476,100.0,34044
34,45,508,508,100.0,34045
34,46,308,308,100.0,34046
34,47,515,515,100.0,34047
34,48,524,524,100.0,34048
34,49,533,533,100.0,34049
34,50,504,504,100.0,34050
34,51,479,479,100.0,34051
34,52,353,353,100.0,34052
34,53,427,427,100.0,34053
