ward,precinct,total,Andr̩ Thapedi,Andr̩ Thapedi Percent,precinct_id
6,4,395,395,100.0,06004
6,5,385,385,100.0,06005
6,6,451,451,100.0,06006
6,7,414,414,100.0,06007
6,9,505,505,100.0,06009
6,11,476,476,100.0,06011
6,12,463,463,100.0,06012
6,15,347,347,100.0,06015
6,18,264,264,100.0,06018
6,19,252,252,100.0,06019
6,21,343,343,100.0,06021
6,22,82,82,100.0,06022
6,23,338,338,100.0,06023
6,24,334,334,100.0,06024
6,26,331,331,100.0,06026
6,28,186,186,100.0,06028
6,30,452,452,100.0,06030
6,32,459,459,100.0,06032
6,33,439,439,100.0,06033
6,40,434,434,100.0,06040
6,47,363,363,100.0,06047
6,48,444,444,100.0,06048
8,26,6,6,100.0,08026
15,7,268,268,100.0,15007
15,22,338,338,100.0,15022
16,6,124,124,100.0,16006
16,16,354,354,100.0,16016
16,24,272,272,100.0,16024
16,29,335,335,100.0,16029
16,30,284,284,100.0,16030
16,33,314,314,100.0,16033
17,1,149,149,100.0,17001
17,3,461,461,100.0,17003
17,8,203,203,100.0,17008
17,11,111,111,100.0,17011
17,13,376,376,100.0,17013
17,17,367,367,100.0,17017
17,19,332,332,100.0,17019
17,30,262,262,100.0,17030
17,31,359,359,100.0,17031
17,32,94,94,100.0,17032
17,33,326,326,100.0,17033
17,34,196,196,100.0,17034
17,35,347,347,100.0,17035
17,36,418,418,100.0,17036
17,37,65,65,100.0,17037
18,1,334,334,100.0,18001
18,2,307,307,100.0,18002
18,3,257,257,100.0,18003
18,5,314,314,100.0,18005
18,6,120,120,100.0,18006
18,11,310,310,100.0,18011
18,12,36,36,100.0,18012
18,15,13,13,100.0,18015
18,17,350,350,100.0,18017
18,21,357,357,100.0,18021
18,23,393,393,100.0,18023
18,24,293,293,100.0,18024
18,25,305,305,100.0,18025
18,27,346,346,100.0,18027
18,28,273,273,100.0,18028
18,29,347,347,100.0,18029
18,30,298,298,100.0,18030
18,31,418,418,100.0,18031
18,33,353,353,100.0,18033
18,39,326,326,100.0,18039
18,40,389,389,100.0,18040
18,42,341,341,100.0,18042
18,43,37,37,100.0,18043
18,44,275,275,100.0,18044
18,45,332,332,100.0,18045
18,46,141,141,100.0,18046
18,47,316,316,100.0,18047
18,48,331,331,100.0,18048
18,49,313,313,100.0,18049
18,50,226,226,100.0,18050
20,8,35,35,100.0,20008
20,28,315,315,100.0,20028
