ward,precinct,total,John G. Mulroe,John G. Mulroe Percent,precinct_id
29,29,245,245,100.0,29029
29,31,108,108,100.0,29031
29,32,328,328,100.0,29032
38,1,308,308,100.0,38001
38,2,302,302,100.0,38002
38,3,284,284,100.0,38003
38,5,307,307,100.0,38005
38,6,331,331,100.0,38006
38,7,331,331,100.0,38007
38,9,355,355,100.0,38009
38,11,314,314,100.0,38011
38,12,289,289,100.0,38012
38,13,309,309,100.0,38013
38,14,359,359,100.0,38014
38,15,297,297,100.0,38015
38,17,388,388,100.0,38017
38,18,358,358,100.0,38018
38,19,376,376,100.0,38019
38,20,329,329,100.0,38020
38,21,287,287,100.0,38021
38,22,314,314,100.0,38022
38,24,356,356,100.0,38024
38,25,269,269,100.0,38025
38,26,352,352,100.0,38026
38,27,317,317,100.0,38027
38,28,399,399,100.0,38028
38,29,319,319,100.0,38029
38,30,317,317,100.0,38030
38,31,343,343,100.0,38031
38,32,336,336,100.0,38032
38,33,298,298,100.0,38033
38,36,299,299,100.0,38036
38,38,300,300,100.0,38038
38,40,299,299,100.0,38040
38,41,334,334,100.0,38041
39,17,386,386,100.0,39017
39,21,328,328,100.0,39021
39,23,376,376,100.0,39023
39,40,0,0,0.0,39040
39,41,415,415,100.0,39041
41,1,374,374,100.0,41001
41,2,373,373,100.0,41002
41,3,290,290,100.0,41003
41,4,404,404,100.0,41004
41,5,353,353,100.0,41005
41,7,372,372,100.0,41007
41,8,364,364,100.0,41008
41,10,408,408,100.0,41010
41,11,363,363,100.0,41011
41,12,330,330,100.0,41012
41,13,306,306,100.0,41013
41,15,393,393,100.0,41015
41,16,411,411,100.0,41016
41,17,393,393,100.0,41017
41,18,321,321,100.0,41018
41,20,297,297,100.0,41020
41,21,372,372,100.0,41021
41,22,371,371,100.0,41022
41,23,186,186,100.0,41023
41,24,318,318,100.0,41024
41,25,265,265,100.0,41025
41,26,333,333,100.0,41026
41,27,262,262,100.0,41027
41,29,247,247,100.0,41029
41,30,370,370,100.0,41030
41,31,343,343,100.0,41031
41,32,155,155,100.0,41032
41,33,317,317,100.0,41033
41,34,311,311,100.0,41034
41,35,316,316,100.0,41035
41,36,342,342,100.0,41036
41,37,396,396,100.0,41037
41,38,350,350,100.0,41038
41,40,410,410,100.0,41040
41,41,344,344,100.0,41041
41,42,378,378,100.0,41042
41,43,314,314,100.0,41043
41,44,381,381,100.0,41044
41,45,333,333,100.0,41045
41,46,381,381,100.0,41046
45,12,321,321,100.0,45012
45,13,308,308,100.0,45013
45,14,436,436,100.0,45014
45,15,488,488,100.0,45015
45,16,346,346,100.0,45016
45,17,376,376,100.0,45017
45,18,363,363,100.0,45018
45,19,346,346,100.0,45019
45,20,353,353,100.0,45020
45,21,409,409,100.0,45021
45,22,360,360,100.0,45022
45,23,352,352,100.0,45023
45,24,367,367,100.0,45024
45,25,326,326,100.0,45025
45,26,317,317,100.0,45026
45,27,329,329,100.0,45027
45,28,342,342,100.0,45028
45,29,344,344,100.0,45029
45,30,296,296,100.0,45030
45,31,270,270,100.0,45031
45,32,230,230,100.0,45032
45,33,223,223,100.0,45033
45,34,345,345,100.0,45034
45,35,364,364,100.0,45035
45,36,358,358,100.0,45036
45,37,320,320,100.0,45037
45,38,313,313,100.0,45038
45,39,315,315,100.0,45039
45,40,320,320,100.0,45040
45,41,294,294,100.0,45041
45,42,335,335,100.0,45042
45,43,326,326,100.0,45043
45,44,346,346,100.0,45044
46,39,3,3,100.0,46039
