ward,precinct,total,Silvana Tabares,Silvana Tabares Percent,precinct_id
12,2,283,283,100.0,12002
12,6,311,311,100.0,12006
12,7,280,280,100.0,12007
12,10,267,267,100.0,12010
12,11,325,325,100.0,12011
12,12,325,325,100.0,12012
12,13,65,65,100.0,12013
12,14,261,261,100.0,12014
12,15,267,267,100.0,12015
12,16,275,275,100.0,12016
12,17,196,196,100.0,12017
12,18,261,261,100.0,12018
12,20,368,368,100.0,12020
12,22,233,233,100.0,12022
14,1,26,26,100.0,14001
15,6,307,307,100.0,15006
15,9,25,25,100.0,15009
15,10,203,203,100.0,15010
15,11,150,150,100.0,15011
15,12,34,34,100.0,15012
22,4,54,54,100.0,22004
22,5,6,6,100.0,22005
22,7,117,117,100.0,22007
22,10,254,254,100.0,22010
22,13,172,172,100.0,22013
22,14,288,288,100.0,22014
22,15,216,216,100.0,22015
22,16,278,278,100.0,22016
22,17,37,37,100.0,22017
22,18,125,125,100.0,22018
22,19,8,8,100.0,22019
22,22,244,244,100.0,22022
23,1,96,96,100.0,23001
23,12,253,253,100.0,23012
23,16,289,289,100.0,23016
23,21,288,288,100.0,23021
23,27,275,275,100.0,23027
23,36,283,283,100.0,23036
23,37,167,167,100.0,23037
24,16,282,282,100.0,24016
