ward,precinct,total,Maureen Leahy Delehanty,Maureen Leahy Delehanty Percent,precinct_id
13,1,213,213,100.0,13001
13,2,186,186,100.0,13002
13,3,167,167,100.0,13003
13,4,256,256,100.0,13004
13,5,277,277,100.0,13005
13,6,213,213,100.0,13006
13,7,201,201,100.0,13007
13,8,188,188,100.0,13008
13,9,264,264,100.0,13009
13,10,192,192,100.0,13010
13,11,245,245,100.0,13011
13,12,199,199,100.0,13012
13,13,272,272,100.0,13013
13,14,233,233,100.0,13014
13,15,360,360,100.0,13015
13,16,195,195,100.0,13016
13,17,221,221,100.0,13017
13,18,187,187,100.0,13018
13,19,273,273,100.0,13019
13,20,130,130,100.0,13020
13,21,258,258,100.0,13021
13,22,241,241,100.0,13022
13,23,197,197,100.0,13023
13,24,210,210,100.0,13024
13,25,215,215,100.0,13025
13,26,201,201,100.0,13026
13,27,234,234,100.0,13027
13,28,185,185,100.0,13028
13,29,211,211,100.0,13029
13,30,152,152,100.0,13030
13,31,233,233,100.0,13031
13,32,197,197,100.0,13032
13,33,186,186,100.0,13033
13,34,259,259,100.0,13034
13,35,210,210,100.0,13035
13,36,169,169,100.0,13036
13,37,252,252,100.0,13037
13,38,188,188,100.0,13038
13,39,254,254,100.0,13039
13,40,192,192,100.0,13040
13,41,251,251,100.0,13041
13,42,217,217,100.0,13042
13,43,247,247,100.0,13043
13,44,264,264,100.0,13044
13,45,254,254,100.0,13045
13,46,278,278,100.0,13046
13,47,266,266,100.0,13047
13,48,164,164,100.0,13048
14,1,286,286,100.0,14001
14,2,346,346,100.0,14002
14,3,230,230,100.0,14003
14,4,245,245,100.0,14004
14,7,295,295,100.0,14007
14,8,254,254,100.0,14008
14,9,276,276,100.0,14009
14,12,242,242,100.0,14012
14,13,189,189,100.0,14013
14,18,96,96,100.0,14018
14,22,269,269,100.0,14022
14,23,191,191,100.0,14023
14,24,292,292,100.0,14024
14,27,256,256,100.0,14027
14,28,194,194,100.0,14028
15,22,139,139,100.0,15022
16,29,72,72,100.0,16029
17,1,260,260,100.0,17001
17,3,375,375,100.0,17003
17,8,279,279,100.0,17008
17,11,271,271,100.0,17011
17,12,51,51,100.0,17012
17,14,77,77,100.0,17014
17,17,287,287,100.0,17017
17,19,135,135,100.0,17019
17,25,37,37,100.0,17025
17,30,244,244,100.0,17030
17,31,282,282,100.0,17031
17,32,302,302,100.0,17032
17,33,264,264,100.0,17033
17,34,273,273,100.0,17034
17,35,41,41,100.0,17035
17,36,255,255,100.0,17036
17,37,277,277,100.0,17037
18,1,264,264,100.0,18001
18,2,259,259,100.0,18002
18,3,216,216,100.0,18003
18,4,324,324,100.0,18004
18,5,221,221,100.0,18005
18,6,244,244,100.0,18006
18,7,322,322,100.0,18007
18,8,328,328,100.0,18008
18,9,274,274,100.0,18009
18,10,393,393,100.0,18010
18,11,247,247,100.0,18011
18,12,310,310,100.0,18012
18,13,344,344,100.0,18013
18,14,320,320,100.0,18014
18,15,272,272,100.0,18015
18,16,323,323,100.0,18016
18,17,287,287,100.0,18017
18,18,270,270,100.0,18018
18,19,312,312,100.0,18019
18,21,385,385,100.0,18021
18,22,374,374,100.0,18022
18,23,316,316,100.0,18023
18,24,235,235,100.0,18024
18,25,268,268,100.0,18025
18,26,354,354,100.0,18026
18,27,269,269,100.0,18027
18,28,248,248,100.0,18028
18,29,303,303,100.0,18029
18,30,262,262,100.0,18030
18,31,336,336,100.0,18031
18,32,345,345,100.0,18032
18,33,303,303,100.0,18033
18,34,342,342,100.0,18034
18,35,354,354,100.0,18035
18,36,282,282,100.0,18036
18,37,336,336,100.0,18037
18,39,271,271,100.0,18039
18,40,341,341,100.0,18040
18,41,374,374,100.0,18041
18,42,285,285,100.0,18042
18,43,285,285,100.0,18043
18,44,224,224,100.0,18044
18,45,259,259,100.0,18045
18,46,302,302,100.0,18046
18,47,268,268,100.0,18047
18,48,270,270,100.0,18048
18,49,249,249,100.0,18049
18,50,284,284,100.0,18050
19,1,265,265,100.0,19001
19,2,343,343,100.0,19002
19,3,187,187,100.0,19003
19,4,305,305,100.0,19004
19,5,343,343,100.0,19005
19,6,225,225,100.0,19006
19,7,306,306,100.0,19007
19,8,254,254,100.0,19008
19,9,182,182,100.0,19009
19,10,383,383,100.0,19010
19,11,230,230,100.0,19011
19,12,205,205,100.0,19012
19,13,458,458,100.0,19013
19,14,360,360,100.0,19014
19,15,213,213,100.0,19015
19,16,310,310,100.0,19016
19,17,261,261,100.0,19017
19,18,346,346,100.0,19018
19,19,328,328,100.0,19019
19,20,312,312,100.0,19020
19,21,265,265,100.0,19021
19,22,292,292,100.0,19022
19,23,320,320,100.0,19023
19,24,189,189,100.0,19024
19,25,285,285,100.0,19025
19,26,288,288,100.0,19026
19,27,333,333,100.0,19027
19,28,127,127,100.0,19028
19,29,223,223,100.0,19029
19,30,267,267,100.0,19030
19,31,261,261,100.0,19031
19,32,290,290,100.0,19032
19,33,289,289,100.0,19033
19,34,277,277,100.0,19034
19,35,276,276,100.0,19035
19,36,446,446,100.0,19036
19,37,362,362,100.0,19037
19,38,307,307,100.0,19038
19,39,173,173,100.0,19039
19,40,321,321,100.0,19040
19,41,254,254,100.0,19041
19,42,261,261,100.0,19042
19,43,491,491,100.0,19043
19,44,318,318,100.0,19044
19,45,276,276,100.0,19045
19,46,303,303,100.0,19046
19,47,451,451,100.0,19047
19,48,513,513,100.0,19048
19,49,413,413,100.0,19049
19,50,238,238,100.0,19050
19,51,316,316,100.0,19051
19,52,226,226,100.0,19052
19,53,265,265,100.0,19053
19,54,209,209,100.0,19054
19,55,263,263,100.0,19055
19,56,343,343,100.0,19056
19,57,351,351,100.0,19057
19,58,227,227,100.0,19058
22,1,360,360,100.0,22001
22,2,315,315,100.0,22002
22,8,331,331,100.0,22008
22,23,275,275,100.0,22023
23,1,238,238,100.0,23001
23,2,248,248,100.0,23002
23,3,221,221,100.0,23003
23,4,246,246,100.0,23004
23,5,207,207,100.0,23005
23,6,235,235,100.0,23006
23,7,231,231,100.0,23007
23,8,252,252,100.0,23008
23,9,230,230,100.0,23009
23,10,291,291,100.0,23010
23,11,292,292,100.0,23011
23,12,237,237,100.0,23012
23,13,198,198,100.0,23013
23,14,193,193,100.0,23014
23,15,206,206,100.0,23015
23,16,211,211,100.0,23016
23,17,170,170,100.0,23017
23,18,212,212,100.0,23018
23,19,252,252,100.0,23019
23,20,157,157,100.0,23020
23,21,213,213,100.0,23021
23,22,227,227,100.0,23022
23,23,200,200,100.0,23023
23,24,198,198,100.0,23024
23,25,235,235,100.0,23025
23,26,200,200,100.0,23026
23,27,222,222,100.0,23027
23,28,254,254,100.0,23028
23,29,200,200,100.0,23029
23,30,258,258,100.0,23030
23,31,175,175,100.0,23031
23,32,252,252,100.0,23032
23,33,261,261,100.0,23033
23,34,221,221,100.0,23034
23,35,165,165,100.0,23035
23,36,220,220,100.0,23036
23,37,210,210,100.0,23037
23,38,201,201,100.0,23038
23,39,196,196,100.0,23039
34,17,480,480,100.0,34017
34,19,39,39,100.0,34019
34,49,196,196,100.0,34049
