ward,precinct,total,Mary E. Flowers,Mary E. Flowers Percent,precinct_id
6,10,400,400,100.0,06010
6,17,396,396,100.0,06017
6,19,115,115,100.0,06019
6,20,376,376,100.0,06020
6,22,291,291,100.0,06022
6,25,324,324,100.0,06025
6,26,31,31,100.0,06026
6,27,343,343,100.0,06027
17,2,518,518,100.0,17002
17,4,545,545,100.0,17004
17,5,361,361,100.0,17005
17,9,473,473,100.0,17009
17,10,480,480,100.0,17010
17,11,274,274,100.0,17011
17,15,485,485,100.0,17015
17,18,417,417,100.0,17018
17,20,504,504,100.0,17020
17,21,30,30,100.0,17021
17,22,421,421,100.0,17022
17,23,400,400,100.0,17023
17,24,488,488,100.0,17024
17,26,482,482,100.0,17026
17,27,458,458,100.0,17027
17,28,441,441,100.0,17028
17,29,477,477,100.0,17029
17,32,318,318,100.0,17032
17,34,136,136,100.0,17034
17,37,323,323,100.0,17037
17,38,506,506,100.0,17038
17,39,412,412,100.0,17039
17,40,456,456,100.0,17040
17,41,503,503,100.0,17041
18,4,418,418,100.0,18004
18,6,162,162,100.0,18006
18,7,389,389,100.0,18007
18,8,417,417,100.0,18008
18,9,149,149,100.0,18009
18,10,464,464,100.0,18010
18,12,376,376,100.0,18012
18,13,441,441,100.0,18013
18,14,432,432,100.0,18014
18,16,422,422,100.0,18016
18,18,361,361,100.0,18018
18,19,394,394,100.0,18019
18,20,408,408,100.0,18020
18,21,127,127,100.0,18021
18,22,480,480,100.0,18022
18,26,341,341,100.0,18026
18,29,19,19,100.0,18029
18,32,12,12,100.0,18032
18,33,8,8,100.0,18033
18,35,428,428,100.0,18035
18,36,338,338,100.0,18036
18,37,426,426,100.0,18037
18,38,407,407,100.0,18038
18,41,465,465,100.0,18041
21,2,295,295,100.0,21002
21,4,497,497,100.0,21004
21,13,41,41,100.0,21013
21,15,285,285,100.0,21015
21,17,61,61,100.0,21017
21,20,275,275,100.0,21020
21,26,422,422,100.0,21026
21,28,466,466,100.0,21028
21,30,436,436,100.0,21030
21,34,289,289,100.0,21034
21,43,430,430,100.0,21043
21,44,138,138,100.0,21044
21,47,433,433,100.0,21047
21,51,468,468,100.0,21051
21,52,437,437,100.0,21052
21,53,243,243,100.0,21053
21,54,448,448,100.0,21054
