ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,Sherri Griffith,Sherri Griffith Percent,precinct_id
1,1,393,345,87.79,48,12.21,01001
1,2,364,327,89.84,37,10.16,01002
1,3,538,443,82.34,95,17.66,01003
1,4,476,372,78.15,104,21.85,01004
1,5,483,388,80.33,95,19.67,01005
1,6,437,347,79.41,90,20.59,01006
1,7,414,349,84.3,65,15.7,01007
1,8,392,324,82.65,68,17.35,01008
1,9,429,347,80.89,82,19.11,01009
1,10,483,380,78.67,103,21.33,01010
1,11,540,423,78.33,117,21.67,01011
1,12,487,366,75.15,121,24.85,01012
1,13,436,375,86.01,61,13.99,01013
1,14,485,402,82.89,83,17.11,01014
1,15,403,338,83.87,65,16.13,01015
1,16,521,472,90.6,49,9.4,01016
1,17,377,323,85.68,54,14.32,01017
1,18,419,368,87.83,51,12.17,01018
1,19,517,438,84.72,79,15.28,01019
1,20,371,327,88.14,44,11.86,01020
1,21,528,413,78.22,115,21.78,01021
1,22,240,206,85.83,34,14.17,01022
1,23,597,490,82.08,107,17.92,01023
1,24,357,319,89.36,38,10.64,01024
1,25,393,343,87.28,50,12.72,01025
1,26,270,243,90.0,27,10.0,01026
1,27,445,347,77.98,98,22.02,01027
1,28,392,348,88.78,44,11.22,01028
1,29,439,344,78.36,95,21.64,01029
1,30,406,350,86.21,56,13.79,01030
1,31,410,338,82.44,72,17.56,01031
1,32,421,327,77.67,94,22.33,01032
1,33,458,366,79.91,92,20.09,01033
1,34,471,403,85.56,68,14.44,01034
1,35,456,347,76.1,109,23.9,01035
1,36,526,404,76.81,122,23.19,01036
1,37,477,349,73.17,128,26.83,01037
1,38,417,354,84.89,63,15.11,01038
1,39,366,308,84.15,58,15.85,01039
1,40,406,332,81.77,74,18.23,01040
2,1,480,386,80.42,94,19.58,02001
2,2,434,293,67.51,141,32.49,02002
2,3,524,429,81.87,95,18.13,02003
2,4,474,379,79.96,95,20.04,02004
2,5,536,430,80.22,106,19.78,02005
2,6,459,361,78.65,98,21.35,02006
2,7,467,354,75.8,113,24.2,02007
2,8,522,409,78.35,113,21.65,02008
2,9,502,280,55.78,222,44.22,02009
2,10,503,295,58.65,208,41.35,02010
2,11,457,266,58.21,191,41.79,02011
2,12,490,377,76.94,113,23.06,02012
2,13,546,364,66.67,182,33.33,02013
2,14,502,401,79.88,101,20.12,02014
2,15,458,358,78.17,100,21.83,02015
2,16,427,345,80.8,82,19.2,02016
2,17,544,425,78.13,119,21.88,02017
2,18,438,280,63.93,158,36.07,02018
2,19,406,261,64.29,145,35.71,02019
2,20,494,324,65.59,170,34.41,02020
2,21,477,398,83.44,79,16.56,02021
2,22,516,315,61.05,201,38.95,02022
2,23,409,246,60.15,163,39.85,02023
2,24,445,287,64.49,158,35.51,02024
2,25,508,394,77.56,114,22.44,02025
2,26,459,326,71.02,133,28.98,02026
2,27,478,306,64.02,172,35.98,02027
2,28,580,373,64.31,207,35.69,02028
2,29,560,362,64.64,198,35.36,02029
2,30,464,299,64.44,165,35.56,02030
2,31,658,436,66.26,222,33.74,02031
2,32,437,268,61.33,169,38.67,02032
2,33,754,481,63.79,273,36.21,02033
2,34,408,247,60.54,161,39.46,02034
2,35,541,338,62.48,203,37.52,02035
2,36,412,244,59.22,168,40.78,02036
2,37,495,341,68.89,154,31.11,02037
2,38,507,282,55.62,225,44.38,02038
2,39,355,173,48.73,182,51.27,02039
2,40,610,392,64.26,218,35.74,02040
2,41,465,242,52.04,223,47.96,02041
2,42,593,392,66.1,201,33.9,02042
2,43,574,357,62.2,217,37.8,02043
2,44,340,205,60.29,135,39.71,02044
2,45,547,417,76.23,130,23.77,02045
2,46,304,202,66.45,102,33.55,02046
3,1,631,612,96.99,19,3.01,03001
3,2,570,548,96.14,22,3.86,03002
3,3,542,488,90.04,54,9.96,03003
3,4,590,572,96.95,18,3.05,03004
3,5,449,435,96.88,14,3.12,03005
3,6,591,418,70.73,173,29.27,03006
3,7,474,450,94.94,24,5.06,03007
3,8,458,434,94.76,24,5.24,03008
3,9,544,522,95.96,22,4.04,03009
3,10,366,354,96.72,12,3.28,03010
3,11,588,577,98.13,11,1.87,03011
3,12,554,544,98.19,10,1.81,03012
3,13,587,438,74.62,149,25.38,03013
3,14,494,392,79.35,102,20.65,03014
3,15,536,526,98.13,10,1.87,03015
3,16,541,520,96.12,21,3.88,03016
3,17,484,425,87.81,59,12.19,03017
3,18,744,706,94.89,38,5.11,03018
3,19,521,362,69.48,159,30.52,03019
3,20,476,466,97.9,10,2.1,03020
3,21,596,460,77.18,136,22.82,03021
3,22,566,403,71.2,163,28.8,03022
3,23,530,498,93.96,32,6.04,03023
3,24,578,557,96.37,21,3.63,03024
3,25,647,444,68.62,203,31.38,03025
3,26,587,445,75.81,142,24.19,03026
3,27,493,337,68.36,156,31.64,03027
3,28,387,373,96.38,14,3.62,03028
3,29,542,522,96.31,20,3.69,03029
3,30,534,515,96.44,19,3.56,03030
3,31,615,591,96.1,24,3.9,03031
3,32,546,443,81.14,103,18.86,03032
3,33,588,446,75.85,142,24.15,03033
3,34,591,477,80.71,114,19.29,03034
3,35,305,295,96.72,10,3.28,03035
3,36,385,374,97.14,11,2.86,03036
3,37,548,530,96.72,18,3.28,03037
3,38,472,459,97.25,13,2.75,03038
3,39,538,392,72.86,146,27.14,03039
3,40,591,526,89.0,65,11.0,03040
3,41,406,358,88.18,48,11.82,03041
4,1,689,623,90.42,66,9.58,04001
4,2,605,438,72.4,167,27.6,04002
4,3,507,491,96.84,16,3.16,04003
4,4,615,584,94.96,31,5.04,04004
4,5,540,516,95.56,24,4.44,04005
4,6,647,600,92.74,47,7.26,04006
4,7,586,571,97.44,15,2.56,04007
4,8,634,617,97.32,17,2.68,04008
4,9,642,628,97.82,14,2.18,04009
4,10,627,611,97.45,16,2.55,04010
4,11,633,610,96.37,23,3.63,04011
4,12,633,611,96.52,22,3.48,04012
4,13,433,353,81.52,80,18.48,04013
4,14,583,555,95.2,28,4.8,04014
4,15,604,567,93.87,37,6.13,04015
4,16,574,437,76.13,137,23.87,04016
4,17,609,493,80.95,116,19.05,04017
4,18,520,503,96.73,17,3.27,04018
4,19,650,624,96.0,26,4.0,04019
4,20,503,419,83.3,84,16.7,04020
4,21,653,530,81.16,123,18.84,04021
4,22,563,524,93.07,39,6.93,04022
4,23,707,642,90.81,65,9.19,04023
4,24,556,520,93.53,36,6.47,04024
4,25,543,388,71.45,155,28.55,04025
4,26,549,525,95.63,24,4.37,04026
4,27,581,545,93.8,36,6.2,04027
4,28,685,653,95.33,32,4.67,04028
4,29,529,509,96.22,20,3.78,04029
4,30,694,670,96.54,24,3.46,04030
4,31,554,514,92.78,40,7.22,04031
4,32,594,573,96.46,21,3.54,04032
4,33,620,588,94.84,32,5.16,04033
4,34,577,543,94.11,34,5.89,04034
4,35,768,742,96.61,26,3.39,04035
4,36,655,637,97.25,18,2.75,04036
4,37,536,409,76.31,127,23.69,04037
4,38,648,631,97.38,17,2.62,04038
5,1,505,492,97.43,13,2.57,05001
5,2,505,483,95.64,22,4.36,05002
5,3,467,427,91.43,40,8.57,05003
5,4,592,570,96.28,22,3.72,05004
5,5,583,569,97.6,14,2.4,05005
5,6,424,412,97.17,12,2.83,05006
5,7,528,477,90.34,51,9.66,05007
5,8,467,416,89.08,51,10.92,05008
5,9,574,551,95.99,23,4.01,05009
5,10,551,532,96.55,19,3.45,05010
5,11,509,460,90.37,49,9.63,05011
5,12,459,448,97.6,11,2.4,05012
5,13,536,517,96.46,19,3.54,05013
5,14,439,427,97.27,12,2.73,05014
5,15,484,447,92.36,37,7.64,05015
5,16,523,502,95.98,21,4.02,05016
5,17,529,515,97.35,14,2.65,05017
5,18,416,397,95.43,19,4.57,05018
5,19,463,416,89.85,47,10.15,05019
5,20,585,553,94.53,32,5.47,05020
5,21,460,427,92.83,33,7.17,05021
5,22,534,491,91.95,43,8.05,05022
5,23,656,583,88.87,73,11.13,05023
5,24,488,449,92.01,39,7.99,05024
5,25,493,476,96.55,17,3.45,05025
5,26,548,534,97.45,14,2.55,05026
5,27,451,385,85.37,66,14.63,05027
5,28,562,546,97.15,16,2.85,05028
5,29,651,631,96.93,20,3.07,05029
5,30,539,519,96.29,20,3.71,05030
5,31,512,496,96.88,16,3.13,05031
5,32,575,552,96.0,23,4.0,05032
5,33,561,545,97.15,16,2.85,05033
5,34,528,469,88.83,59,11.17,05034
5,35,519,475,91.52,44,8.48,05035
5,36,504,485,96.23,19,3.77,05036
5,37,767,712,92.83,55,7.17,05037
5,38,596,581,97.48,15,2.52,05038
5,39,418,369,88.28,49,11.72,05039
5,40,531,516,97.18,15,2.82,05040
6,1,538,524,97.4,14,2.6,06001
6,2,496,483,97.38,13,2.62,06002
6,3,509,497,97.64,12,2.36,06003
6,4,456,443,97.15,13,2.85,06004
6,5,452,434,96.02,18,3.98,06005
6,6,493,484,98.17,9,1.83,06006
6,7,497,474,95.37,23,4.63,06007
6,8,502,491,97.81,11,2.19,06008
6,9,554,538,97.11,16,2.89,06009
6,10,421,406,96.44,15,3.56,06010
6,11,540,524,97.04,16,2.96,06011
6,12,528,510,96.59,18,3.41,06012
6,13,382,368,96.34,14,3.66,06013
6,14,488,473,96.93,15,3.07,06014
6,15,558,531,95.16,27,4.84,06015
6,16,467,457,97.86,10,2.14,06016
6,17,437,419,95.88,18,4.12,06017
6,18,357,344,96.36,13,3.64,06018
6,19,492,478,97.15,14,2.85,06019
6,20,401,387,96.51,14,3.49,06020
6,21,414,389,93.96,25,6.04,06021
6,22,412,394,95.63,18,4.37,06022
6,23,407,390,95.82,17,4.18,06023
6,24,387,362,93.54,25,6.46,06024
6,25,360,338,93.89,22,6.11,06025
6,26,405,396,97.78,9,2.22,06026
6,27,363,349,96.14,14,3.86,06027
6,28,354,345,97.46,9,2.54,06028
6,29,520,500,96.15,20,3.85,06029
6,30,522,496,95.02,26,4.98,06030
6,31,478,463,96.86,15,3.14,06031
6,32,502,485,96.61,17,3.39,06032
6,33,488,468,95.9,20,4.1,06033
6,34,490,475,96.94,15,3.06,06034
6,35,458,444,96.94,14,3.06,06035
6,36,499,489,98.0,10,2.0,06036
6,37,483,464,96.07,19,3.93,06037
6,38,497,475,95.57,22,4.43,06038
6,39,497,486,97.79,11,2.21,06039
6,40,475,463,97.47,12,2.53,06040
6,41,519,507,97.69,12,2.31,06041
6,42,513,500,97.47,13,2.53,06042
6,43,474,464,97.89,10,2.11,06043
6,44,487,469,96.3,18,3.7,06044
6,45,514,501,97.47,13,2.53,06045
6,46,459,444,96.73,15,3.27,06046
6,47,418,402,96.17,16,3.83,06047
6,48,485,468,96.49,17,3.51,06048
7,1,449,435,96.88,14,3.12,07001
7,2,488,473,96.93,15,3.07,07002
7,3,472,449,95.13,23,4.87,07003
7,4,524,507,96.76,17,3.24,07004
7,5,452,431,95.35,21,4.65,07005
7,6,653,623,95.41,30,4.59,07006
7,7,488,465,95.29,23,4.71,07007
7,8,406,376,92.61,30,7.39,07008
7,9,744,727,97.72,17,2.28,07009
7,10,462,441,95.45,21,4.55,07010
7,11,536,522,97.39,14,2.61,07011
7,12,562,535,95.2,27,4.8,07012
7,13,351,333,94.87,18,5.13,07013
7,14,505,485,96.04,20,3.96,07014
7,15,488,476,97.54,12,2.46,07015
7,16,548,535,97.63,13,2.37,07016
7,17,499,481,96.39,18,3.61,07017
7,18,488,466,95.49,22,4.51,07018
7,19,472,458,97.03,14,2.97,07019
7,20,433,418,96.54,15,3.46,07020
7,21,496,472,95.16,24,4.84,07021
7,22,390,362,92.82,28,7.18,07022
7,23,467,454,97.22,13,2.78,07023
7,24,493,473,95.94,20,4.06,07024
7,25,409,392,95.84,17,4.16,07025
7,26,400,387,96.75,13,3.25,07026
7,27,411,405,98.54,6,1.46,07027
7,28,377,359,95.23,18,4.77,07028
7,29,408,393,96.32,15,3.68,07029
7,30,381,364,95.54,17,4.46,07030
7,31,479,449,93.74,30,6.26,07031
7,32,593,573,96.63,20,3.37,07032
7,33,558,547,98.03,11,1.97,07033
7,34,513,500,97.47,13,2.53,07034
7,35,482,458,95.02,24,4.98,07035
7,36,527,512,97.15,15,2.85,07036
7,37,530,511,96.42,19,3.58,07037
7,38,417,406,97.36,11,2.64,07038
7,39,462,442,95.67,20,4.33,07039
7,40,438,422,96.35,16,3.65,07040
7,41,466,447,95.92,19,4.08,07041
7,42,447,432,96.64,15,3.36,07042
7,43,469,459,97.87,10,2.13,07043
7,44,455,446,98.02,9,1.98,07044
7,45,493,472,95.74,21,4.26,07045
8,1,445,431,96.85,14,3.15,08001
8,2,568,544,95.77,24,4.23,08002
8,3,498,483,96.99,15,3.01,08003
8,4,477,463,97.06,14,2.94,08004
8,5,509,494,97.05,15,2.95,08005
8,6,516,496,96.12,20,3.88,08006
8,7,560,545,97.32,15,2.68,08007
