ward,precinct,total,Napoleon Harris,Napoleon Harris Percent,precinct_id
9,3,458,458,100.0,09003
9,4,41,41,100.0,09004
9,7,405,405,100.0,09007
9,11,366,366,100.0,09011
9,15,487,487,100.0,09015
9,16,396,396,100.0,09016
9,18,354,354,100.0,09018
9,26,525,525,100.0,09026
9,28,169,169,100.0,09028
9,31,12,12,100.0,09031
9,33,430,430,100.0,09033
9,41,368,368,100.0,09041
9,44,279,279,100.0,09044
9,45,372,372,100.0,09045
