ward,precinct,total,Cynthia Soto,Cynthia Soto Percent,precinct_id
1,1,385,385,100.0,01001
1,3,499,499,100.0,01003
1,4,422,422,100.0,01004
1,5,447,447,100.0,01005
1,6,410,410,100.0,01006
1,8,62,62,100.0,01008
1,10,435,435,100.0,01010
1,11,457,457,100.0,01011
1,13,208,208,100.0,01013
1,14,444,444,100.0,01014
1,15,387,387,100.0,01015
1,17,281,281,100.0,01017
1,18,405,405,100.0,01018
1,20,347,347,100.0,01020
1,21,433,433,100.0,01021
1,22,239,239,100.0,01022
1,24,350,350,100.0,01024
1,25,384,384,100.0,01025
1,26,231,231,100.0,01026
1,27,410,410,100.0,01027
1,29,387,387,100.0,01029
1,30,368,368,100.0,01030
1,31,396,396,100.0,01031
1,32,281,281,100.0,01032
1,33,361,361,100.0,01033
1,34,73,73,100.0,01034
1,35,434,434,100.0,01035
1,36,466,466,100.0,01036
1,37,323,323,100.0,01037
1,38,398,398,100.0,01038
1,39,357,357,100.0,01039
1,40,379,379,100.0,01040
2,1,134,134,100.0,02001
2,3,478,478,100.0,02003
2,4,420,420,100.0,02004
2,5,495,495,100.0,02005
2,14,448,448,100.0,02014
2,15,62,62,100.0,02015
2,16,394,394,100.0,02016
2,17,76,76,100.0,02017
2,21,438,438,100.0,02021
26,1,384,384,100.0,26001
26,2,364,364,100.0,26002
26,3,389,389,100.0,26003
26,4,226,226,100.0,26004
26,5,377,377,100.0,26005
26,6,266,266,100.0,26006
26,7,10,10,100.0,26007
26,8,284,284,100.0,26008
26,9,309,309,100.0,26009
26,10,435,435,100.0,26010
26,11,266,266,100.0,26011
26,12,386,386,100.0,26012
26,13,278,278,100.0,26013
26,14,249,249,100.0,26014
26,15,253,253,100.0,26015
26,16,257,257,100.0,26016
26,18,356,356,100.0,26018
26,19,127,127,100.0,26019
26,20,380,380,100.0,26020
26,21,506,506,100.0,26021
26,22,282,282,100.0,26022
26,23,247,247,100.0,26023
26,24,172,172,100.0,26024
26,25,319,319,100.0,26025
26,26,245,245,100.0,26026
26,27,336,336,100.0,26027
26,28,37,37,100.0,26028
26,29,339,339,100.0,26029
26,30,391,391,100.0,26030
26,31,288,288,100.0,26031
26,32,318,318,100.0,26032
26,33,415,415,100.0,26033
26,35,321,321,100.0,26035
26,36,344,344,100.0,26036
27,5,3,3,100.0,27005
27,7,495,495,100.0,27007
27,13,87,87,100.0,27013
27,24,65,65,100.0,27024
27,27,23,23,100.0,27027
27,40,49,49,100.0,27040
27,43,4,4,100.0,27043
31,4,105,105,100.0,31004
31,16,117,117,100.0,31016
35,3,216,216,100.0,35003
35,12,216,216,100.0,35012
35,13,253,253,100.0,35013
35,16,244,244,100.0,35016
35,19,97,97,100.0,35019
35,21,280,280,100.0,35021
36,12,129,129,100.0,36012
37,12,81,81,100.0,37012
37,22,5,5,100.0,37022
