ward,precinct,total,Esther Golar,Esther Golar Percent,precinct_id
3,1,103,103,100.0,03001
3,3,449,449,100.0,03003
3,5,405,405,100.0,03005
3,10,346,346,100.0,03010
3,13,486,486,100.0,03013
3,18,392,392,100.0,03018
3,26,463,463,100.0,03026
3,29,76,76,100.0,03029
3,36,249,249,100.0,03036
3,41,200,200,100.0,03041
4,13,396,396,100.0,04013
4,16,119,119,100.0,04016
4,17,528,528,100.0,04017
4,20,422,422,100.0,04020
4,21,506,506,100.0,04021
4,37,423,423,100.0,04037
6,15,142,142,100.0,06015
6,18,52,52,100.0,06018
6,28,126,126,100.0,06028
11,12,380,380,100.0,11012
11,13,324,324,100.0,11013
11,20,64,64,100.0,11020
11,21,424,424,100.0,11021
11,24,350,350,100.0,11024
11,25,1,1,100.0,11025
11,28,294,294,100.0,11028
11,29,349,349,100.0,11029
11,31,325,325,100.0,11031
11,32,166,166,100.0,11032
11,34,119,119,100.0,11034
15,1,290,290,100.0,15001
15,2,367,367,100.0,15002
15,3,304,304,100.0,15003
15,5,50,50,100.0,15005
15,7,73,73,100.0,15007
15,13,66,66,100.0,15013
15,14,3,3,100.0,15014
15,17,321,321,100.0,15017
15,18,371,371,100.0,15018
15,20,359,359,100.0,15020
15,21,333,333,100.0,15021
15,22,66,66,100.0,15022
15,23,411,411,100.0,15023
15,24,388,388,100.0,15024
16,2,289,289,100.0,16002
16,3,396,396,100.0,16003
16,4,382,382,100.0,16004
16,5,436,436,100.0,16005
16,6,241,241,100.0,16006
16,8,343,343,100.0,16008
16,9,467,467,100.0,16009
16,10,391,391,100.0,16010
16,12,356,356,100.0,16012
16,14,411,411,100.0,16014
16,15,407,407,100.0,16015
16,17,113,113,100.0,16017
16,18,370,370,100.0,16018
16,19,382,382,100.0,16019
16,20,336,336,100.0,16020
16,21,381,381,100.0,16021
16,22,405,405,100.0,16022
16,25,382,382,100.0,16025
16,26,360,360,100.0,16026
16,27,386,386,100.0,16027
16,28,376,376,100.0,16028
16,30,114,114,100.0,16030
16,31,404,404,100.0,16031
16,33,38,38,100.0,16033
16,34,411,411,100.0,16034
16,36,334,334,100.0,16036
17,6,361,361,100.0,17006
17,8,207,207,100.0,17008
17,16,77,77,100.0,17016
17,17,15,15,100.0,17017
17,25,403,403,100.0,17025
18,50,136,136,100.0,18050
20,2,393,393,100.0,20002
20,4,266,266,100.0,20004
20,6,426,426,100.0,20006
20,13,514,514,100.0,20013
20,15,218,218,100.0,20015
20,17,266,266,100.0,20017
20,20,256,256,100.0,20020
20,21,464,464,100.0,20021
20,25,404,404,100.0,20025
20,27,145,145,100.0,20027
20,29,574,574,100.0,20029
20,30,4,4,100.0,20030
20,32,507,507,100.0,20032
20,36,262,262,100.0,20036
25,14,24,24,100.0,25014
25,21,623,623,100.0,25021
25,27,123,123,100.0,25027
42,5,334,334,100.0,42005
42,9,435,435,100.0,42009
42,10,70,70,100.0,42010
42,12,70,70,100.0,42012
42,14,125,125,100.0,42014
42,15,240,240,100.0,42015
42,17,325,325,100.0,42017
42,18,415,415,100.0,42018
42,21,195,195,100.0,42021
42,33,5,5,100.0,42033
42,36,402,402,100.0,42036
42,37,313,313,100.0,42037
42,38,382,382,100.0,42038
42,41,312,312,100.0,42041
