ward,precinct,total,Martin J. Moylan,Martin J. Moylan Percent,Susan Sweeney,Susan Sweeney Percent,precinct_id
41,23,192,139,72.4,53,27.6,41023
41,28,559,392,70.13,167,29.87,41028
41,29,154,100,64.94,54,35.06,41029
41,42,9,5,55.56,4,44.44,41042
