ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
12,20,1,1,100.0,12020
14,1,360,360,100.0,14001
14,2,452,452,100.0,14002
14,4,323,323,100.0,14004
14,5,460,460,100.0,14005
14,6,123,123,100.0,14006
14,7,384,384,100.0,14007
14,8,334,334,100.0,14008
14,9,374,374,100.0,14009
14,10,245,245,100.0,14010
14,12,323,323,100.0,14012
14,13,245,245,100.0,14013
14,14,309,309,100.0,14014
14,16,259,259,100.0,14016
14,17,283,283,100.0,14017
14,18,35,35,100.0,14018
14,19,297,297,100.0,14019
14,20,210,210,100.0,14020
14,21,306,306,100.0,14021
14,22,97,97,100.0,14022
14,23,197,197,100.0,14023
14,24,395,395,100.0,14024
14,25,209,209,100.0,14025
14,26,223,223,100.0,14026
14,27,340,340,100.0,14027
14,28,255,255,100.0,14028
14,29,312,312,100.0,14029
14,30,171,171,100.0,14030
14,31,184,184,100.0,14031
15,3,54,54,100.0,15003
15,4,286,286,100.0,15004
15,8,265,265,100.0,15008
15,9,29,29,100.0,15009
15,10,189,189,100.0,15010
15,11,206,206,100.0,15011
15,12,301,301,100.0,15012
15,16,285,285,100.0,15016
15,19,287,287,100.0,15019
16,1,366,366,100.0,16001
16,2,76,76,100.0,16002
16,7,381,381,100.0,16007
16,11,408,408,100.0,16011
16,13,337,337,100.0,16013
16,17,269,269,100.0,16017
16,23,261,261,100.0,16023
16,32,349,349,100.0,16032
16,35,356,356,100.0,16035
17,1,185,185,100.0,17001
17,7,309,309,100.0,17007
17,12,451,451,100.0,17012
17,14,432,432,100.0,17014
17,16,335,335,100.0,17016
17,30,40,40,100.0,17030
22,1,452,452,100.0,22001
22,2,390,390,100.0,22002
22,8,421,421,100.0,22008
22,12,309,309,100.0,22012
22,23,385,385,100.0,22023
23,3,284,284,100.0,23003
23,6,112,112,100.0,23006
23,12,31,31,100.0,23012
23,14,164,164,100.0,23014
23,17,149,149,100.0,23017
23,19,305,305,100.0,23019
23,20,14,14,100.0,23020
23,22,98,98,100.0,23022
23,24,140,140,100.0,23024
23,25,242,242,100.0,23025
23,26,100,100,100.0,23026
23,31,226,226,100.0,23031
23,37,92,92,100.0,23037
