ward,precinct,total,Christian L. Mitchell,Christian L. Mitchell Percent,precinct_id
2,2,309,309,100.0,02002
2,10,317,317,100.0,02010
2,11,303,303,100.0,02011
2,13,391,391,100.0,02013
2,18,331,331,100.0,02018
2,19,281,281,100.0,02019
2,23,266,266,100.0,02023
2,27,259,259,100.0,02027
2,29,265,265,100.0,02029
2,34,283,283,100.0,02034
2,42,201,201,100.0,02042
3,2,29,29,100.0,03002
3,4,529,529,100.0,03004
3,11,256,256,100.0,03011
3,12,199,199,100.0,03012
3,19,406,406,100.0,03019
3,21,164,164,100.0,03021
3,27,196,196,100.0,03027
3,30,485,485,100.0,03030
3,31,338,338,100.0,03031
4,3,463,463,100.0,04003
4,4,540,540,100.0,04004
4,6,195,195,100.0,04006
4,7,523,523,100.0,04007
4,8,584,584,100.0,04008
4,11,446,446,100.0,04011
4,12,584,584,100.0,04012
4,15,117,117,100.0,04015
4,18,456,456,100.0,04018
4,19,587,587,100.0,04019
4,23,185,185,100.0,04023
4,24,497,497,100.0,04024
4,26,490,490,100.0,04026
4,28,620,620,100.0,04028
4,29,477,477,100.0,04029
4,30,648,648,100.0,04030
4,32,544,544,100.0,04032
4,33,551,551,100.0,04033
4,34,168,168,100.0,04034
4,35,684,684,100.0,04035
4,36,356,356,100.0,04036
4,38,448,448,100.0,04038
5,4,550,550,100.0,05004
5,5,524,524,100.0,05005
5,6,374,374,100.0,05006
5,10,482,482,100.0,05010
5,13,476,476,100.0,05013
5,14,43,43,100.0,05014
5,15,435,435,100.0,05015
5,16,480,480,100.0,05016
5,17,221,221,100.0,05017
5,21,273,273,100.0,05021
5,28,195,195,100.0,05028
5,30,252,252,100.0,05030
5,36,441,441,100.0,05036
7,1,352,352,100.0,07001
7,2,428,428,100.0,07002
7,3,414,414,100.0,07003
7,4,451,451,100.0,07004
7,10,422,422,100.0,07010
7,11,53,53,100.0,07011
7,15,433,433,100.0,07015
7,16,104,104,100.0,07016
7,17,0,0,0.0,07017
7,19,403,403,100.0,07019
7,20,372,372,100.0,07020
7,21,32,32,100.0,07021
7,23,421,421,100.0,07023
7,24,431,431,100.0,07024
7,25,232,232,100.0,07025
7,28,40,40,100.0,07028
7,30,59,59,100.0,07030
7,31,273,273,100.0,07031
7,33,6,6,100.0,07033
8,1,119,119,100.0,08001
8,2,352,352,100.0,08002
8,21,4,4,100.0,08021
8,42,567,567,100.0,08042
10,18,259,259,100.0,10018
10,27,439,439,100.0,10027
10,34,242,242,100.0,10034
10,36,2,2,100.0,10036
20,3,13,13,100.0,20003
20,5,424,424,100.0,20005
20,9,450,450,100.0,20009
20,16,413,413,100.0,20016
20,22,505,505,100.0,20022
20,24,282,282,100.0,20024
42,1,351,351,100.0,42001
42,2,513,513,100.0,42002
42,4,523,523,100.0,42004
42,6,409,409,100.0,42006
42,7,485,485,100.0,42007
42,8,364,364,100.0,42008
42,11,264,264,100.0,42011
42,13,355,355,100.0,42013
42,19,164,164,100.0,42019
42,24,378,378,100.0,42024
42,25,1,1,100.0,42025
42,26,422,422,100.0,42026
42,28,455,455,100.0,42028
42,29,401,401,100.0,42029
42,30,284,284,100.0,42030
42,31,347,347,100.0,42031
42,34,347,347,100.0,42034
42,35,518,518,100.0,42035
42,40,276,276,100.0,42040
43,35,431,431,100.0,43035
