ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Richard L. Grabowski,Richard L. Grabowski Percent,precinct_id
11,1,427,359,84.07,68,15.93,11001
11,4,396,355,89.65,41,10.35,11004
11,5,373,336,90.08,37,9.92,11005
11,8,400,343,85.75,57,14.25,11008
11,9,416,358,86.06,58,13.94,11009
11,10,146,124,84.93,22,15.07,11010
11,11,477,394,82.6,83,17.4,11011
11,12,513,428,83.43,85,16.57,11012
11,13,448,366,81.7,82,18.3,11013
11,15,327,264,80.73,63,19.27,11015
11,16,333,242,72.67,91,27.33,11016
11,17,469,386,82.3,83,17.7,11017
11,18,373,328,87.94,45,12.06,11018
11,19,538,466,86.62,72,13.38,11019
11,20,426,345,80.99,81,19.01,11020
11,21,597,516,86.43,81,13.57,11021
11,22,420,350,83.33,70,16.67,11022
11,23,446,378,84.75,68,15.25,11023
11,24,513,442,86.16,71,13.84,11024
11,25,417,352,84.41,65,15.59,11025
11,26,389,319,82.01,70,17.99,11026
11,27,288,251,87.15,37,12.85,11027
11,28,390,320,82.05,70,17.95,11028
11,29,524,409,78.05,115,21.95,11029
11,31,490,409,83.47,81,16.53,11031
11,32,111,87,78.38,24,21.62,11032
12,1,369,317,85.91,52,14.09,12001
12,3,350,311,88.86,39,11.14,12003
12,4,418,354,84.69,64,15.31,12004
12,5,105,87,82.86,18,17.14,12005
12,8,10,10,100.0,0,0.0,12008
12,9,318,275,86.48,43,13.52,12009
12,19,331,280,84.59,51,15.41,12019
12,23,367,329,89.65,38,10.35,12023
13,1,329,267,81.16,62,18.84,13001
13,2,298,233,78.19,65,21.81,13002
13,3,260,238,91.54,22,8.46,13003
13,4,414,313,75.6,101,24.4,13004
13,5,399,352,88.22,47,11.78,13005
13,6,353,245,69.41,108,30.59,13006
13,7,298,272,91.28,26,8.72,13007
13,8,289,222,76.82,67,23.18,13008
13,9,384,326,84.9,58,15.1,13009
13,10,357,264,73.95,93,26.05,13010
13,11,380,318,83.68,62,16.32,13011
13,12,308,276,89.61,32,10.39,13012
13,13,379,342,90.24,37,9.76,13013
13,14,331,279,84.29,52,15.71,13014
13,15,493,449,91.08,44,8.92,13015
13,16,269,247,91.82,22,8.18,13016
13,17,331,266,80.36,65,19.64,13017
13,18,300,242,80.67,58,19.33,13018
13,20,246,179,72.76,67,27.24,13020
13,21,435,339,77.93,96,22.07,13021
13,22,395,321,81.27,74,18.73,13022
13,23,288,258,89.58,30,10.42,13023
13,24,314,272,86.62,42,13.38,13024
13,25,336,278,82.74,58,17.26,13025
13,26,329,272,82.67,57,17.33,13026
13,27,332,283,85.24,49,14.76,13027
13,28,260,235,90.38,25,9.62,13028
13,29,299,255,85.28,44,14.72,13029
13,30,201,187,93.03,14,6.97,13030
13,31,386,309,80.05,77,19.95,13031
13,32,308,240,77.92,68,22.08,13032
13,33,330,249,75.45,81,24.55,13033
13,34,380,350,92.11,30,7.89,13034
13,35,297,273,91.92,24,8.08,13035
13,36,216,197,91.2,19,8.8,13036
13,37,354,320,90.4,34,9.6,13037
13,38,302,239,79.14,63,20.86,13038
13,39,347,322,92.8,25,7.2,13039
13,40,304,264,86.84,40,13.16,13040
13,41,283,251,88.69,32,11.31,13041
13,42,351,259,73.79,92,26.21,13042
13,43,358,304,84.92,54,15.08,13043
13,44,414,396,95.65,18,4.35,13044
13,45,384,302,78.65,82,21.35,13045
13,46,394,351,89.09,43,10.91,13046
13,47,365,326,89.32,39,10.68,13047
13,48,280,226,80.71,54,19.29,13048
14,1,488,392,80.33,96,19.67,14001
14,4,405,303,74.81,102,25.19,14004
14,5,32,32,100.0,0,0.0,14005
14,7,428,381,89.02,47,10.98,14007
14,8,385,338,87.79,47,12.21,14008
14,9,469,381,81.24,88,18.76,14009
14,12,371,328,88.41,43,11.59,14012
14,18,160,143,89.38,17,10.63,14018
14,21,329,305,92.71,24,7.29,14021
14,22,439,373,84.97,66,15.03,14022
14,23,315,267,84.76,48,15.24,14023
14,24,484,380,78.51,104,21.49,14024
14,26,237,210,88.61,27,11.39,14026
14,29,343,316,92.13,27,7.87,14029
15,1,236,203,86.02,33,13.98,15001
15,5,60,56,93.33,4,6.67,15005
15,8,101,93,92.08,8,7.92,15008
15,13,304,278,91.45,26,8.55,15013
15,14,260,236,90.77,24,9.23,15014
15,15,201,180,89.55,21,10.45,15015
15,16,282,258,91.49,24,8.51,15016
15,19,344,314,91.28,30,8.72,15019
16,1,285,249,87.37,36,12.63,16001
16,7,17,17,100.0,0,0.0,16007
16,23,282,259,91.84,23,8.16,16023
16,32,385,356,92.47,29,7.53,16032
16,35,152,143,94.08,9,5.92,16035
18,15,373,348,93.3,25,6.7,18015
18,24,376,318,84.57,58,15.43,18024
18,25,418,347,83.01,71,16.99,18025
18,30,414,353,85.27,61,14.73,18030
18,40,491,442,90.02,49,9.98,18040
18,43,448,374,83.48,74,16.52,18043
18,46,439,379,86.33,60,13.67,18046
19,1,434,330,76.04,104,23.96,19001
19,2,120,106,88.33,14,11.67,19002
19,3,390,243,62.31,147,37.69,19003
19,4,540,371,68.7,169,31.3,19004
19,6,401,282,70.32,119,29.68,19006
19,7,470,373,79.36,97,20.64,19007
19,8,523,337,64.44,186,35.56,19008
19,9,299,214,71.57,85,28.43,19009
19,10,518,419,80.89,99,19.11,19010
19,11,431,275,63.81,156,36.19,19011
19,12,411,285,69.34,126,30.66,19012
19,15,397,262,65.99,135,34.01,19015
19,16,505,349,69.11,156,30.89,19016
19,17,434,310,71.43,124,28.57,19017
19,18,516,399,77.33,117,22.67,19018
19,19,506,419,82.81,87,17.19,19019
19,21,464,305,65.73,159,34.27,19021
19,22,499,398,79.76,101,20.24,19022
19,23,497,355,71.43,142,28.57,19023
19,24,355,255,71.83,100,28.17,19024
