ward,precinct,total,Steven Landek,Steven Landek Percent,precinct_id
12,16,8,8,100.0,12016
13,45,1,1,100.0,13045
22,3,245,245,100.0,22003
22,4,221,221,100.0,22004
22,5,269,269,100.0,22005
22,6,241,241,100.0,22006
22,7,183,183,100.0,22007
22,9,242,242,100.0,22009
22,10,85,85,100.0,22010
22,11,206,206,100.0,22011
22,13,107,107,100.0,22013
22,15,39,39,100.0,22015
22,16,18,18,100.0,22016
22,17,212,212,100.0,22017
22,18,120,120,100.0,22018
22,20,250,250,100.0,22020
22,24,293,293,100.0,22024
22,25,257,257,100.0,22025
