ward,precinct,total,Jacqueline Collins,Jacqueline Collins Percent,precinct_id
6,4,435,435,100.0,06004
6,5,433,433,100.0,06005
6,6,452,452,100.0,06006
6,7,432,432,100.0,06007
6,9,503,503,100.0,06009
6,10,397,397,100.0,06010
6,11,512,512,100.0,06011
6,12,493,493,100.0,06012
6,15,389,389,100.0,06015
6,17,392,392,100.0,06017
6,18,304,304,100.0,06018
6,19,391,391,100.0,06019
6,20,375,375,100.0,06020
6,21,382,382,100.0,06021
6,22,382,382,100.0,06022
6,23,380,380,100.0,06023
6,24,356,356,100.0,06024
6,25,332,332,100.0,06025
6,26,393,393,100.0,06026
6,27,345,345,100.0,06027
6,28,214,214,100.0,06028
6,30,473,473,100.0,06030
6,32,468,468,100.0,06032
6,33,446,446,100.0,06033
6,40,461,461,100.0,06040
6,47,391,391,100.0,06047
6,48,462,462,100.0,06048
8,26,6,6,100.0,08026
15,7,300,300,100.0,15007
15,22,370,370,100.0,15022
16,6,143,143,100.0,16006
16,16,395,395,100.0,16016
16,24,307,307,100.0,16024
16,29,367,367,100.0,16029
16,30,328,328,100.0,16030
16,33,352,352,100.0,16033
17,1,160,160,100.0,17001
17,2,527,527,100.0,17002
17,3,505,505,100.0,17003
17,4,547,547,100.0,17004
17,5,364,364,100.0,17005
17,8,223,223,100.0,17008
17,9,474,474,100.0,17009
17,10,497,497,100.0,17010
17,11,394,394,100.0,17011
17,13,428,428,100.0,17013
17,15,478,478,100.0,17015
17,17,383,383,100.0,17017
17,18,428,428,100.0,17018
17,19,365,365,100.0,17019
17,20,506,506,100.0,17020
17,21,29,29,100.0,17021
17,22,438,438,100.0,17022
17,23,397,397,100.0,17023
17,24,486,486,100.0,17024
17,26,487,487,100.0,17026
17,27,463,463,100.0,17027
17,28,453,453,100.0,17028
17,29,477,477,100.0,17029
17,30,290,290,100.0,17030
17,31,387,387,100.0,17031
17,32,409,409,100.0,17032
17,33,366,366,100.0,17033
17,34,377,377,100.0,17034
17,35,394,394,100.0,17035
17,36,456,456,100.0,17036
17,37,392,392,100.0,17037
17,38,475,475,100.0,17038
17,39,411,411,100.0,17039
17,40,445,445,100.0,17040
17,41,486,486,100.0,17041
18,1,353,353,100.0,18001
18,2,334,334,100.0,18002
18,3,272,272,100.0,18003
18,4,404,404,100.0,18004
18,5,332,332,100.0,18005
18,6,292,292,100.0,18006
18,7,375,375,100.0,18007
18,8,418,418,100.0,18008
18,9,146,146,100.0,18009
18,10,475,475,100.0,18010
18,11,303,303,100.0,18011
18,12,406,406,100.0,18012
18,13,427,427,100.0,18013
18,14,421,421,100.0,18014
18,15,15,15,100.0,18015
18,16,419,419,100.0,18016
18,17,379,379,100.0,18017
18,18,358,358,100.0,18018
18,19,393,393,100.0,18019
18,20,399,399,100.0,18020
18,21,495,495,100.0,18021
18,22,470,470,100.0,18022
18,23,417,417,100.0,18023
18,24,300,300,100.0,18024
18,25,326,326,100.0,18025
18,26,339,339,100.0,18026
18,27,350,350,100.0,18027
18,28,272,272,100.0,18028
18,29,373,373,100.0,18029
18,30,325,325,100.0,18030
18,31,436,436,100.0,18031
18,32,13,13,100.0,18032
18,33,401,401,100.0,18033
18,35,421,421,100.0,18035
18,36,346,346,100.0,18036
18,37,417,417,100.0,18037
18,38,403,403,100.0,18038
18,39,342,342,100.0,18039
18,40,427,427,100.0,18040
18,41,461,461,100.0,18041
18,42,368,368,100.0,18042
18,43,44,44,100.0,18043
18,44,283,283,100.0,18044
18,45,350,350,100.0,18045
18,46,146,146,100.0,18046
18,47,332,332,100.0,18047
18,48,364,364,100.0,18048
18,49,319,319,100.0,18049
18,50,239,239,100.0,18050
20,8,39,39,100.0,20008
20,28,321,321,100.0,20028
21,2,302,302,100.0,21002
21,4,500,500,100.0,21004
21,13,45,45,100.0,21013
21,15,281,281,100.0,21015
21,17,68,68,100.0,21017
21,20,260,260,100.0,21020
21,26,430,430,100.0,21026
21,28,467,467,100.0,21028
21,30,430,430,100.0,21030
21,34,300,300,100.0,21034
21,43,420,420,100.0,21043
21,44,141,141,100.0,21044
21,47,455,455,100.0,21047
21,51,494,494,100.0,21051
21,52,452,452,100.0,21052
21,53,250,250,100.0,21053
21,54,452,452,100.0,21054
