ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent,precinct_id
4,1,667,667,100.0,04001
4,5,516,516,100.0,04005
4,9,615,615,100.0,04009
4,10,616,616,100.0,04010
4,15,457,457,100.0,04015
4,22,557,557,100.0,04022
4,23,502,502,100.0,04023
4,27,565,565,100.0,04027
4,31,530,530,100.0,04031
4,34,363,363,100.0,04034
5,1,473,473,100.0,05001
5,3,474,474,100.0,05003
5,7,505,505,100.0,05007
5,8,466,466,100.0,05008
5,9,548,548,100.0,05009
5,11,487,487,100.0,05011
5,14,369,369,100.0,05014
5,17,261,261,100.0,05017
5,18,413,413,100.0,05018
5,19,462,462,100.0,05019
5,20,568,568,100.0,05020
5,21,160,160,100.0,05021
5,22,529,529,100.0,05022
5,23,638,638,100.0,05023
5,24,498,498,100.0,05024
5,25,481,481,100.0,05025
5,26,527,527,100.0,05026
5,27,442,442,100.0,05027
5,28,336,336,100.0,05028
5,29,616,616,100.0,05029
5,31,471,471,100.0,05031
5,32,554,554,100.0,05032
5,33,553,553,100.0,05033
5,34,544,544,100.0,05034
5,35,500,500,100.0,05035
5,37,759,759,100.0,05037
5,38,562,562,100.0,05038
5,39,414,414,100.0,05039
5,40,507,507,100.0,05040
7,5,412,412,100.0,07005
7,6,620,620,100.0,07006
7,7,456,456,100.0,07007
7,8,392,392,100.0,07008
7,9,722,722,100.0,07009
7,11,457,457,100.0,07011
7,12,526,526,100.0,07012
7,13,340,340,100.0,07013
7,14,467,467,100.0,07014
7,16,412,412,100.0,07016
7,17,459,459,100.0,07017
7,18,445,445,100.0,07018
7,21,431,431,100.0,07021
7,22,372,372,100.0,07022
7,25,131,131,100.0,07025
7,31,156,156,100.0,07031
7,32,311,311,100.0,07032
7,33,500,500,100.0,07033
7,34,483,483,100.0,07034
7,35,451,451,100.0,07035
7,37,463,463,100.0,07037
10,1,344,344,100.0,10001
10,4,350,350,100.0,10004
10,6,272,272,100.0,10006
10,7,262,262,100.0,10007
10,8,385,385,100.0,10008
10,10,300,300,100.0,10010
10,11,392,392,100.0,10011
10,12,167,167,100.0,10012
10,14,389,389,100.0,10014
10,19,306,306,100.0,10019
10,20,339,339,100.0,10020
10,21,290,290,100.0,10021
10,22,214,214,100.0,10022
10,23,255,255,100.0,10023
10,25,118,118,100.0,10025
10,26,260,260,100.0,10026
10,28,315,315,100.0,10028
10,29,279,279,100.0,10029
10,30,306,306,100.0,10030
10,31,302,302,100.0,10031
10,32,268,268,100.0,10032
10,33,219,219,100.0,10033
10,34,47,47,100.0,10034
10,35,311,311,100.0,10035
10,36,100,100,100.0,10036
20,24,166,166,100.0,20024
20,26,412,412,100.0,20026
20,34,470,470,100.0,20034
