ward,precinct,total,Laura Liu,Laura Liu Percent,precinct_id
2,2,254,254,100.0,02002
2,9,299,299,100.0,02009
2,10,283,283,100.0,02010
2,11,264,264,100.0,02011
2,12,315,315,100.0,02012
2,13,304,304,100.0,02013
2,18,271,271,100.0,02018
2,19,233,233,100.0,02019
2,20,335,335,100.0,02020
2,22,320,320,100.0,02022
2,23,223,223,100.0,02023
2,24,291,291,100.0,02024
2,26,272,272,100.0,02026
2,27,298,298,100.0,02027
2,28,362,362,100.0,02028
2,29,325,325,100.0,02029
2,30,298,298,100.0,02030
2,31,411,411,100.0,02031
2,32,289,289,100.0,02032
2,33,493,493,100.0,02033
2,34,250,250,100.0,02034
2,35,346,346,100.0,02035
2,36,241,241,100.0,02036
2,37,318,318,100.0,02037
2,38,288,288,100.0,02038
2,39,189,189,100.0,02039
2,40,417,417,100.0,02040
2,41,289,289,100.0,02041
2,42,367,367,100.0,02042
2,43,387,387,100.0,02043
2,44,205,205,100.0,02044
2,45,379,379,100.0,02045
2,46,195,195,100.0,02046
3,3,393,393,100.0,03003
3,6,399,399,100.0,03006
3,13,417,417,100.0,03013
3,14,359,359,100.0,03014
3,17,352,352,100.0,03017
3,18,61,61,100.0,03018
3,19,353,353,100.0,03019
3,21,399,399,100.0,03021
3,22,409,409,100.0,03022
3,25,425,425,100.0,03025
3,26,393,393,100.0,03026
3,27,331,331,100.0,03027
3,32,387,387,100.0,03032
3,33,432,432,100.0,03033
3,34,426,426,100.0,03034
3,39,384,384,100.0,03039
3,40,380,380,100.0,03040
4,2,432,432,100.0,04002
4,6,126,126,100.0,04006
4,13,330,330,100.0,04013
4,16,420,420,100.0,04016
4,17,425,425,100.0,04017
4,20,363,363,100.0,04020
4,21,478,478,100.0,04021
4,25,369,369,100.0,04025
4,37,388,388,100.0,04037
11,10,72,72,100.0,11010
11,14,130,130,100.0,11014
11,30,141,141,100.0,11030
21,27,0,0,0.0,21027
25,6,95,95,100.0,25006
25,14,142,142,100.0,25014
25,18,169,169,100.0,25018
25,21,523,523,100.0,25021
25,27,102,102,100.0,25027
27,6,375,375,100.0,27006
27,9,319,319,100.0,27009
27,11,84,84,100.0,27011
27,12,285,285,100.0,27012
27,20,410,410,100.0,27020
27,21,374,374,100.0,27021
27,28,290,290,100.0,27028
27,35,238,238,100.0,27035
27,37,290,290,100.0,27037
27,38,277,277,100.0,27038
27,42,286,286,100.0,27042
32,7,370,370,100.0,32007
32,8,375,375,100.0,32008
32,10,335,335,100.0,32010
32,13,59,59,100.0,32013
32,18,340,340,100.0,32018
32,23,311,311,100.0,32023
32,27,35,35,100.0,32027
32,39,349,349,100.0,32039
40,13,239,239,100.0,40013
40,21,126,126,100.0,40021
40,22,337,337,100.0,40022
40,23,382,382,100.0,40023
40,26,332,332,100.0,40026
