ward,precinct,total,Larry G. Axelrood,Larry G. Axelrood Percent,precinct_id
39,13,8,8,100.0,39013
39,18,33,33,100.0,39018
39,36,153,153,100.0,39036
39,43,17,17,100.0,39043
40,9,269,269,100.0,40009
40,10,91,91,100.0,40010
40,18,219,219,100.0,40018
40,27,387,387,100.0,40027
40,28,290,290,100.0,40028
40,35,228,228,100.0,40035
40,37,323,323,100.0,40037
41,6,130,130,100.0,41006
41,9,282,282,100.0,41009
41,14,120,120,100.0,41014
41,19,297,297,100.0,41019
41,47,129,129,100.0,41047
48,13,433,433,100.0,48013
48,15,232,232,100.0,48015
48,22,313,313,100.0,48022
48,27,202,202,100.0,48027
48,31,230,230,100.0,48031
48,32,219,219,100.0,48032
48,33,188,188,100.0,48033
48,46,238,238,100.0,48046
49,1,304,304,100.0,49001
49,3,426,426,100.0,49003
49,4,451,451,100.0,49004
49,5,361,361,100.0,49005
49,6,367,367,100.0,49006
49,7,293,293,100.0,49007
49,8,289,289,100.0,49008
49,9,380,380,100.0,49009
49,10,366,366,100.0,49010
49,11,458,458,100.0,49011
49,12,435,435,100.0,49012
49,13,401,401,100.0,49013
49,14,317,317,100.0,49014
49,15,308,308,100.0,49015
49,16,302,302,100.0,49016
49,18,472,472,100.0,49018
49,19,338,338,100.0,49019
49,20,515,515,100.0,49020
49,21,244,244,100.0,49021
49,22,389,389,100.0,49022
49,23,425,425,100.0,49023
49,24,332,332,100.0,49024
49,25,492,492,100.0,49025
49,26,367,367,100.0,49026
49,27,435,435,100.0,49027
49,28,435,435,100.0,49028
49,29,395,395,100.0,49029
49,30,387,387,100.0,49030
49,31,288,288,100.0,49031
49,32,368,368,100.0,49032
49,33,338,338,100.0,49033
50,1,231,231,100.0,50001
50,2,182,182,100.0,50002
50,3,240,240,100.0,50003
50,4,316,316,100.0,50004
50,5,199,199,100.0,50005
50,6,290,290,100.0,50006
50,7,321,321,100.0,50007
50,8,278,278,100.0,50008
50,9,224,224,100.0,50009
50,10,213,213,100.0,50010
50,11,135,135,100.0,50011
50,12,108,108,100.0,50012
50,13,308,308,100.0,50013
50,14,79,79,100.0,50014
50,15,335,335,100.0,50015
50,16,90,90,100.0,50016
50,17,215,215,100.0,50017
50,18,43,43,100.0,50018
50,19,167,167,100.0,50019
50,20,285,285,100.0,50020
50,21,246,246,100.0,50021
50,22,211,211,100.0,50022
50,24,167,167,100.0,50024
50,25,224,224,100.0,50025
50,26,215,215,100.0,50026
50,27,76,76,100.0,50027
50,28,330,330,100.0,50028
50,29,232,232,100.0,50029
50,30,150,150,100.0,50030
50,31,240,240,100.0,50031
50,32,309,309,100.0,50032
50,33,187,187,100.0,50033
50,34,339,339,100.0,50034
50,35,350,350,100.0,50035
50,36,250,250,100.0,50036
50,37,291,291,100.0,50037
50,38,133,133,100.0,50038
50,39,194,194,100.0,50039
50,40,215,215,100.0,50040
