ward,precinct,total,Patricia Van Pelt Watkins,Patricia Van Pelt Watkins Percent,precinct_id
1,8,297,297,100.0,01008
1,11,31,31,100.0,01011
1,12,420,420,100.0,01012
1,21,41,41,100.0,01021
1,32,102,102,100.0,01032
1,33,39,39,100.0,01033
1,37,91,91,100.0,01037
2,1,300,300,100.0,02001
2,6,418,418,100.0,02006
2,7,423,423,100.0,02007
2,8,463,463,100.0,02008
2,9,383,383,100.0,02009
2,12,427,427,100.0,02012
2,15,340,340,100.0,02015
2,17,405,405,100.0,02017
2,20,342,342,100.0,02020
2,25,440,440,100.0,02025
2,41,107,107,100.0,02041
2,46,252,252,100.0,02046
7,11,2,2,100.0,07011
11,2,97,97,100.0,11002
11,6,494,494,100.0,11006
11,7,519,519,100.0,11007
11,33,262,262,100.0,11033
12,10,45,45,100.0,12010
21,27,0,0,0.0,21027
22,19,232,232,100.0,22019
22,21,540,540,100.0,22021
24,1,406,406,100.0,24001
24,2,452,452,100.0,24002
24,3,467,467,100.0,24003
24,4,363,363,100.0,24004
24,5,263,263,100.0,24005
24,6,456,456,100.0,24006
24,7,213,213,100.0,24007
24,8,242,242,100.0,24008
24,9,450,450,100.0,24009
24,10,237,237,100.0,24010
24,11,492,492,100.0,24011
24,12,314,314,100.0,24012
24,13,278,278,100.0,24013
24,14,430,430,100.0,24014
24,15,285,285,100.0,24015
24,16,24,24,100.0,24016
24,17,357,357,100.0,24017
24,18,511,511,100.0,24018
24,19,495,495,100.0,24019
24,20,356,356,100.0,24020
24,21,225,225,100.0,24021
24,22,548,548,100.0,24022
24,23,421,421,100.0,24023
24,24,581,581,100.0,24024
24,25,397,397,100.0,24025
24,26,519,519,100.0,24026
24,27,451,451,100.0,24027
24,28,346,346,100.0,24028
24,29,305,305,100.0,24029
24,30,277,277,100.0,24030
24,31,496,496,100.0,24031
24,32,274,274,100.0,24032
24,33,289,289,100.0,24033
24,34,374,374,100.0,24034
24,35,451,451,100.0,24035
24,36,526,526,100.0,24036
24,37,268,268,100.0,24037
24,38,351,351,100.0,24038
24,39,436,436,100.0,24039
24,40,424,424,100.0,24040
24,41,333,333,100.0,24041
25,3,482,482,100.0,25003
25,4,424,424,100.0,25004
25,10,402,402,100.0,25010
25,16,450,450,100.0,25016
25,20,439,439,100.0,25020
25,25,329,329,100.0,25025
25,27,251,251,100.0,25027
25,29,427,427,100.0,25029
25,31,406,406,100.0,25031
26,4,119,119,100.0,26004
26,17,300,300,100.0,26017
26,19,136,136,100.0,26019
26,28,306,306,100.0,26028
26,33,9,9,100.0,26033
26,36,8,8,100.0,26036
27,1,396,396,100.0,27001
27,2,417,417,100.0,27002
27,3,330,330,100.0,27003
27,4,426,426,100.0,27004
27,5,314,314,100.0,27005
27,6,549,549,100.0,27006
27,8,394,394,100.0,27008
27,9,474,474,100.0,27009
27,10,396,396,100.0,27010
27,11,386,386,100.0,27011
27,13,431,431,100.0,27013
27,14,435,435,100.0,27014
27,15,458,458,100.0,27015
27,16,332,332,100.0,27016
27,17,472,472,100.0,27017
27,18,349,349,100.0,27018
27,19,344,344,100.0,27019
27,20,588,588,100.0,27020
27,21,500,500,100.0,27021
27,22,306,306,100.0,27022
27,23,401,401,100.0,27023
27,24,309,309,100.0,27024
27,25,397,397,100.0,27025
27,26,350,350,100.0,27026
27,27,436,436,100.0,27027
27,28,379,379,100.0,27028
27,29,390,390,100.0,27029
27,30,457,457,100.0,27030
27,31,365,365,100.0,27031
27,32,318,318,100.0,27032
27,33,402,402,100.0,27033
27,34,426,426,100.0,27034
27,35,384,384,100.0,27035
27,36,352,352,100.0,27036
27,37,458,458,100.0,27037
27,38,194,194,100.0,27038
27,39,457,457,100.0,27039
27,40,397,397,100.0,27040
27,41,431,431,100.0,27041
