ward,precinct,total,Daniel W. Kotowski,Daniel W. Kotowski Percent,Jim O'Donnell,Jim O'Donnell Percent,precinct_id
41,23,196,149,76.02,47,23.98,41023
41,28,560,404,72.14,156,27.86,41028
41,29,156,100,64.1,56,35.9,41029
41,42,9,5,55.56,4,44.44,41042
