ward,precinct,total,Deborah Jean Gubin,Deborah Jean Gubin Percent,precinct_id
2,2,252,252,100.0,02002
2,9,295,295,100.0,02009
2,10,274,274,100.0,02010
2,11,269,269,100.0,02011
2,12,317,317,100.0,02012
2,13,301,301,100.0,02013
2,18,269,269,100.0,02018
2,19,233,233,100.0,02019
2,20,332,332,100.0,02020
2,22,317,317,100.0,02022
2,23,216,216,100.0,02023
2,24,288,288,100.0,02024
2,26,273,273,100.0,02026
2,27,291,291,100.0,02027
2,28,363,363,100.0,02028
2,29,325,325,100.0,02029
2,30,291,291,100.0,02030
2,31,409,409,100.0,02031
2,32,282,282,100.0,02032
2,33,485,485,100.0,02033
2,34,252,252,100.0,02034
2,35,347,347,100.0,02035
2,36,246,246,100.0,02036
2,37,316,316,100.0,02037
2,38,287,287,100.0,02038
2,39,195,195,100.0,02039
2,40,415,415,100.0,02040
2,41,295,295,100.0,02041
2,42,363,363,100.0,02042
2,43,383,383,100.0,02043
2,44,201,201,100.0,02044
2,45,375,375,100.0,02045
2,46,194,194,100.0,02046
3,3,389,389,100.0,03003
3,6,397,397,100.0,03006
3,13,412,412,100.0,03013
3,14,362,362,100.0,03014
3,17,346,346,100.0,03017
3,18,58,58,100.0,03018
3,19,340,340,100.0,03019
3,21,394,394,100.0,03021
3,22,404,404,100.0,03022
3,25,427,427,100.0,03025
3,26,381,381,100.0,03026
3,27,329,329,100.0,03027
3,32,381,381,100.0,03032
3,33,431,431,100.0,03033
3,34,427,427,100.0,03034
3,39,376,376,100.0,03039
3,40,393,393,100.0,03040
4,2,419,419,100.0,04002
4,6,126,126,100.0,04006
4,13,329,329,100.0,04013
4,16,421,421,100.0,04016
4,17,420,420,100.0,04017
4,20,356,356,100.0,04020
4,21,477,477,100.0,04021
4,25,364,364,100.0,04025
4,37,386,386,100.0,04037
11,10,70,70,100.0,11010
11,14,134,134,100.0,11014
11,30,126,126,100.0,11030
21,27,0,0,0.0,21027
25,6,89,89,100.0,25006
25,14,125,125,100.0,25014
25,18,145,145,100.0,25018
25,21,524,524,100.0,25021
25,27,100,100,100.0,25027
27,6,380,380,100.0,27006
27,9,334,334,100.0,27009
27,11,84,84,100.0,27011
27,12,284,284,100.0,27012
27,20,423,423,100.0,27020
27,21,372,372,100.0,27021
27,28,294,294,100.0,27028
27,35,239,239,100.0,27035
27,37,289,289,100.0,27037
27,38,281,281,100.0,27038
27,42,288,288,100.0,27042
32,7,366,366,100.0,32007
32,8,368,368,100.0,32008
32,10,334,334,100.0,32010
32,13,59,59,100.0,32013
32,18,334,334,100.0,32018
32,23,303,303,100.0,32023
32,27,34,34,100.0,32027
32,39,344,344,100.0,32039
40,13,233,233,100.0,40013
40,21,124,124,100.0,40021
40,22,329,329,100.0,40022
40,23,386,386,100.0,40023
40,26,328,328,100.0,40026
40,28,81,81,100.0,40028
40,31,376,376,100.0,40031
40,32,379,379,100.0,40032
40,33,366,366,100.0,40033
40,36,305,305,100.0,40036
42,1,301,301,100.0,42001
42,2,469,469,100.0,42002
42,4,438,438,100.0,42004
42,5,272,272,100.0,42005
42,6,332,332,100.0,42006
42,7,407,407,100.0,42007
42,8,276,276,100.0,42008
42,9,402,402,100.0,42009
42,10,310,310,100.0,42010
42,11,207,207,100.0,42011
42,12,226,226,100.0,42012
42,13,286,286,100.0,42013
42,14,367,367,100.0,42014
42,15,284,284,100.0,42015
42,17,275,275,100.0,42017
42,19,336,336,100.0,42019
42,20,335,335,100.0,42020
42,22,158,158,100.0,42022
42,23,322,322,100.0,42023
42,24,308,308,100.0,42024
42,25,324,324,100.0,42025
42,26,344,344,100.0,42026
42,27,261,261,100.0,42027
42,28,383,383,100.0,42028
42,29,325,325,100.0,42029
42,30,238,238,100.0,42030
42,31,298,298,100.0,42031
42,32,254,254,100.0,42032
42,33,348,348,100.0,42033
42,34,286,286,100.0,42034
42,35,433,433,100.0,42035
42,36,0,0,0.0,42036
42,37,258,258,100.0,42037
42,38,313,313,100.0,42038
42,39,330,330,100.0,42039
42,40,344,344,100.0,42040
42,42,389,389,100.0,42042
43,1,347,347,100.0,43001
43,2,342,342,100.0,43002
43,3,280,280,100.0,43003
43,4,362,362,100.0,43004
43,5,388,388,100.0,43005
43,6,325,325,100.0,43006
43,7,232,232,100.0,43007
43,8,278,278,100.0,43008
43,9,385,385,100.0,43009
43,10,379,379,100.0,43010
43,11,272,272,100.0,43011
43,12,244,244,100.0,43012
43,13,345,345,100.0,43013
43,14,337,337,100.0,43014
43,15,309,309,100.0,43015
43,16,396,396,100.0,43016
43,17,287,287,100.0,43017
43,18,380,380,100.0,43018
43,19,378,378,100.0,43019
43,20,360,360,100.0,43020
43,21,346,346,100.0,43021
43,22,336,336,100.0,43022
43,23,277,277,100.0,43023
43,24,270,270,100.0,43024
43,25,288,288,100.0,43025
43,26,216,216,100.0,43026
43,27,213,213,100.0,43027
43,28,419,419,100.0,43028
43,29,287,287,100.0,43029
43,30,344,344,100.0,43030
43,31,326,326,100.0,43031
43,32,352,352,100.0,43032
43,33,325,325,100.0,43033
43,34,258,258,100.0,43034
43,35,365,365,100.0,43035
43,36,218,218,100.0,43036
43,37,380,380,100.0,43037
43,38,286,286,100.0,43038
43,39,279,279,100.0,43039
43,40,258,258,100.0,43040
43,41,427,427,100.0,43041
43,42,325,325,100.0,43042
43,43,332,332,100.0,43043
43,44,361,361,100.0,43044
44,1,440,440,100.0,44001
44,2,368,368,100.0,44002
44,3,387,387,100.0,44003
44,4,317,317,100.0,44004
44,5,404,404,100.0,44005
44,6,478,478,100.0,44006
44,7,258,258,100.0,44007
44,8,440,440,100.0,44008
44,9,355,355,100.0,44009
44,10,362,362,100.0,44010
44,11,376,376,100.0,44011
44,12,429,429,100.0,44012
