ward,precinct,total,Mitt Romney & Paul Ryan,Mitt Romney & Paul Ryan Percent,Gary Johnson & James P. Gray,Gary Johnson & James P. Gray Percent,Jill Stein & Howie Hawkins,Jill Stein & Howie Hawkins Percent,precinct_id
1,1,492,48,9.76,6,1.22,15,3.05,01001
1,2,430,30,6.98,3,0.7,9,2.09,01002
1,3,624,95,15.22,13,2.08,9,1.44,01003
1,4,565,110,19.47,7,1.24,9,1.59,01004
1,5,581,86,14.8,13,2.24,5,0.86,01005
1,6,532,98,18.42,10,1.88,12,2.26,01006
1,7,487,50,10.27,11,2.26,14,2.87,01007
1,8,496,66,13.31,6,1.21,9,1.81,01008
1,9,542,75,13.84,10,1.85,11,2.03,01009
1,10,562,102,18.15,10,1.78,10,1.78,01010
1,11,631,109,17.27,7,1.11,10,1.58,01011
1,12,593,133,22.43,13,2.19,11,1.85,01012
1,13,514,59,11.48,7,1.36,8,1.56,01013
1,14,567,78,13.76,8,1.41,8,1.41,01014
1,15,483,59,12.22,5,1.04,12,2.48,01015
1,16,611,44,7.2,6,0.98,17,2.78,01016
1,17,434,30,6.91,8,1.84,7,1.61,01017
1,18,483,32,6.63,8,1.66,7,1.45,01018
1,19,600,68,11.33,13,2.17,16,2.67,01019
1,20,436,42,9.63,11,2.52,8,1.83,01020
1,21,622,118,18.97,14,2.25,10,1.61,01021
1,22,306,23,7.52,5,1.63,1,0.33,01022
1,23,679,76,11.19,22,3.24,15,2.21,01023
1,24,453,20,4.42,6,1.32,11,2.43,01024
1,25,475,43,9.05,8,1.68,8,1.68,01025
1,26,322,16,4.97,2,0.62,3,0.93,01026
1,27,512,89,17.38,6,1.17,9,1.76,01027
1,28,464,33,7.11,2,0.43,8,1.72,01028
1,29,508,87,17.13,4,0.79,6,1.18,01029
1,30,467,50,10.71,4,0.86,11,2.36,01030
1,31,494,57,11.54,7,1.42,6,1.21,01031
1,32,483,88,18.22,5,1.04,8,1.66,01032
1,33,528,88,16.67,9,1.7,11,2.08,01033
1,34,543,55,10.13,9,1.66,22,4.05,01034
1,35,532,92,17.29,7,1.32,13,2.44,01035
1,36,596,121,20.3,12,2.01,10,1.68,01036
1,37,544,120,22.06,17,3.13,9,1.65,01037
1,38,522,62,11.88,12,2.3,9,1.72,01038
1,39,441,54,12.24,6,1.36,2,0.45,01039
1,40,518,71,13.71,6,1.16,11,2.12,01040
2,1,560,90,16.07,18,3.21,8,1.43,02001
2,2,497,148,29.78,6,1.21,1,0.2,02002
2,3,631,99,15.69,10,1.58,11,1.74,02003
2,4,548,86,15.69,16,2.92,9,1.64,02004
2,5,627,98,15.63,15,2.39,12,1.91,02005
2,6,565,106,18.76,11,1.95,6,1.06,02006
2,7,558,98,17.56,10,1.79,3,0.54,02007
2,8,609,112,18.39,9,1.48,10,1.64,02008
2,9,602,228,37.87,8,1.33,3,0.5,02009
2,10,569,227,39.89,5,0.88,4,0.7,02010
2,11,537,216,40.22,5,0.93,1,0.19,02011
2,12,574,117,20.38,10,1.74,4,0.7,02012
2,13,645,200,31.01,8,1.24,1,0.16,02013
2,14,569,108,18.98,7,1.23,11,1.93,02014
2,15,550,86,15.64,17,3.09,8,1.45,02015
2,16,520,85,16.35,12,2.31,3,0.58,02016
2,17,626,124,19.81,13,2.08,15,2.4,02017
2,18,509,179,35.17,1,0.2,3,0.59,02018
2,19,476,178,37.39,3,0.63,0,0.0,02019
2,20,586,192,32.76,5,0.85,4,0.68,02020
2,21,571,83,14.54,8,1.4,7,1.23,02021
2,22,589,225,38.2,9,1.53,7,1.19,02022
2,23,471,194,41.19,0,0.0,1,0.21,02023
2,24,547,161,29.43,8,1.46,2,0.37,02024
2,25,597,107,17.92,14,2.35,9,1.51,02025
2,26,559,154,27.55,6,1.07,0,0.0,02026
2,27,588,214,36.39,9,1.53,3,0.51,02027
2,28,693,239,34.49,11,1.59,3,0.43,02028
2,29,657,223,33.94,7,1.07,5,0.76,02029
2,30,546,182,33.33,9,1.65,2,0.37,02030
2,31,748,254,33.96,9,1.2,1,0.13,02031
2,32,510,184,36.08,10,1.96,2,0.39,02032
2,33,877,306,34.89,7,0.8,2,0.23,02033
2,34,462,180,38.96,3,0.65,1,0.22,02034
2,35,648,220,33.95,9,1.39,5,0.77,02035
2,36,487,178,36.55,9,1.85,2,0.41,02036
2,37,576,161,27.95,8,1.39,0,0.0,02037
2,38,602,240,39.87,10,1.66,2,0.33,02038
2,39,420,203,48.33,5,1.19,2,0.48,02039
2,40,724,232,32.04,12,1.66,7,0.97,02040
2,41,555,246,44.32,10,1.8,3,0.54,02041
2,42,709,199,28.07,8,1.13,6,0.85,02042
2,43,680,254,37.35,5,0.74,1,0.15,02043
2,44,405,143,35.31,3,0.74,1,0.25,02044
2,45,641,139,21.68,6,0.94,5,0.78,02045
2,46,363,116,31.96,7,1.93,3,0.83,02046
3,1,739,6,0.81,2,0.27,1,0.14,03001
3,2,631,9,1.43,0,0.0,1,0.16,03002
3,3,672,41,6.1,0,0.0,2,0.3,03003
3,4,646,7,1.08,1,0.15,1,0.15,03004
3,5,489,1,0.2,0,0.0,1,0.2,03005
3,6,681,189,27.75,8,1.17,3,0.44,03006
3,7,543,7,1.29,0,0.0,1,0.18,03007
3,8,558,5,0.9,0,0.0,3,0.54,03008
3,9,599,6,1.0,3,0.5,1,0.17,03009
3,10,422,2,0.47,2,0.47,0,0.0,03010
3,11,653,3,0.46,0,0.0,1,0.15,03011
3,12,613,8,1.31,0,0.0,1,0.16,03012
3,13,670,142,21.19,6,0.9,5,0.75,03013
3,14,588,90,15.31,6,1.02,5,0.85,03014
3,15,610,4,0.66,1,0.16,1,0.16,03015
3,16,582,2,0.34,0,0.0,2,0.34,03016
3,17,539,56,10.39,5,0.93,3,0.56,03017
3,18,847,18,2.13,3,0.35,0,0.0,03018
3,19,575,159,27.65,6,1.04,0,0.0,03019
3,20,548,3,0.55,0,0.0,1,0.18,03020
3,21,687,139,20.23,3,0.44,1,0.15,03021
3,22,659,161,24.43,7,1.06,10,1.52,03022
3,23,615,14,2.28,0,0.0,1,0.16,03023
3,24,637,5,0.78,4,0.63,1,0.16,03024
3,25,718,225,31.34,5,0.7,1,0.14,03025
3,26,666,158,23.72,5,0.75,3,0.45,03026
3,27,565,154,27.26,7,1.24,6,1.06,03027
3,28,459,4,0.87,0,0.0,0,0.0,03028
3,29,626,5,0.8,2,0.32,1,0.16,03029
3,30,620,2,0.32,3,0.48,3,0.48,03030
3,31,652,4,0.61,1,0.15,0,0.0,03031
3,32,641,104,16.22,4,0.62,4,0.62,03032
3,33,670,134,20.0,14,2.09,1,0.15,03033
3,34,682,122,17.89,6,0.88,3,0.44,03034
3,35,339,1,0.29,2,0.59,2,0.59,03035
3,36,427,5,1.17,0,0.0,0,0.0,03036
3,37,609,5,0.82,0,0.0,1,0.16,03037
3,38,523,7,1.34,0,0.0,0,0.0,03038
3,39,601,140,23.29,6,1.0,5,0.83,03039
3,40,700,60,8.57,1,0.14,2,0.29,03040
3,41,490,38,7.76,10,2.04,2,0.41,03041
4,1,768,57,7.42,5,0.65,18,2.34,04001
4,2,678,152,22.42,13,1.92,4,0.59,04002
4,3,579,2,0.35,0,0.0,1,0.17,04003
4,4,691,10,1.45,2,0.29,0,0.0,04004
4,5,578,11,1.9,1,0.17,2,0.35,04005
4,6,729,32,4.39,0,0.0,2,0.27,04006
4,7,638,12,1.88,0,0.0,1,0.16,04007
4,8,697,3,0.43,1,0.14,2,0.29,04008
4,9,684,8,1.17,0,0.0,2,0.29,04009
4,10,692,9,1.3,2,0.29,5,0.72,04010
4,11,689,10,1.45,1,0.15,2,0.29,04011
4,12,689,1,0.15,1,0.15,2,0.29,04012
4,13,511,81,15.85,10,1.96,4,0.78,04013
4,14,652,6,0.92,4,0.61,1,0.15,04014
4,15,681,13,1.91,2,0.29,0,0.0,04015
4,16,652,135,20.71,12,1.84,3,0.46,04016
4,17,714,97,13.59,13,1.82,12,1.68,04017
4,18,594,3,0.51,1,0.17,0,0.0,04018
4,19,743,3,0.4,0,0.0,0,0.0,04019
4,20,571,76,13.31,15,2.63,7,1.23,04020
4,21,777,101,13.0,18,2.32,10,1.29,04021
4,22,631,30,4.75,0,0.0,4,0.63,04022
4,23,795,48,6.04,3,0.38,12,1.51,04023
4,24,632,33,5.22,0,0.0,2,0.32,04024
4,25,619,147,23.75,11,1.78,1,0.16,04025
4,26,633,9,1.42,1,0.16,0,0.0,04026
4,27,652,22,3.37,6,0.92,6,0.92,04027
4,28,730,19,2.6,3,0.41,2,0.27,04028
4,29,588,2,0.34,0,0.0,1,0.17,04029
4,30,811,3,0.37,0,0.0,1,0.12,04030
4,31,597,23,3.85,2,0.34,1,0.17,04031
4,32,639,10,1.56,1,0.16,0,0.0,04032
4,33,699,24,3.43,0,0.0,1,0.14,04033
4,34,656,7,1.07,6,0.91,3,0.46,04034
4,35,813,20,2.46,0,0.0,1,0.12,04035
4,36,719,9,1.25,2,0.28,1,0.14,04036
4,37,608,119,19.57,9,1.48,6,0.99,04037
4,38,701,6,0.86,1,0.14,1,0.14,04038
5,1,562,2,0.36,1,0.18,0,0.0,05001
5,2,559,7,1.25,1,0.18,2,0.36,05002
5,3,545,23,4.22,3,0.55,19,3.49,05003
5,4,652,13,1.99,3,0.46,9,1.38,05004
5,5,643,3,0.47,1,0.16,3,0.47,05005
5,6,471,4,0.85,0,0.0,1,0.21,05006
5,7,586,52,8.87,1,0.17,3,0.51,05007
5,8,552,53,9.6,5,0.91,8,1.45,05008
5,9,624,12,1.92,3,0.48,11,1.76,05009
5,10,613,1,0.16,1,0.16,1,0.16,05010
5,11,572,36,6.29,7,1.22,10,1.75,05011
5,12,533,6,1.13,0,0.0,1,0.19,05012
5,13,603,4,0.66,0,0.0,0,0.0,05013
5,14,481,6,1.25,1,0.21,0,0.0,05014
5,15,539,17,3.15,1,0.19,6,1.11,05015
5,16,603,4,0.66,1,0.17,0,0.0,05016
5,17,598,1,0.17,0,0.0,0,0.0,05017
5,18,485,13,2.68,3,0.62,5,1.03,05018
5,19,539,45,8.35,2,0.37,14,2.6,05019
5,20,643,24,3.73,4,0.62,6,0.93,05020
5,21,526,28,5.32,8,1.52,15,2.85,05021
5,22,594,42,7.07,0,0.0,2,0.34,05022
5,23,764,59,7.72,4,0.52,15,1.96,05023
5,24,575,26,4.52,6,1.04,8,1.39,05024
5,25,553,2,0.36,1,0.18,0,0.0,05025
5,26,612,5,0.82,1,0.16,1,0.16,05026
5,27,551,61,11.07,8,1.45,11,2.0,05027
5,28,604,9,1.49,0,0.0,3,0.5,05028
5,29,727,10,1.38,2,0.28,2,0.28,05029
5,30,608,5,0.82,1,0.16,0,0.0,05030
5,31,566,2,0.35,0,0.0,0,0.0,05031
5,32,629,17,2.7,1,0.16,2,0.32,05032
5,33,630,2,0.32,0,0.0,1,0.16,05033
5,34,638,57,8.93,7,1.1,12,1.88,05034
5,35,585,41,7.01,7,1.2,7,1.2,05035
5,36,591,10,1.69,2,0.34,0,0.0,05036
5,37,876,48,5.48,9,1.03,10,1.14,05037
5,38,676,2,0.3,1,0.15,1,0.15,05038
5,39,496,38,7.66,10,2.02,9,1.81,05039
5,40,611,2,0.33,1,0.16,1,0.16,05040
6,1,581,5,0.86,0,0.0,0,0.0,06001
6,2,546,1,0.18,0,0.0,1,0.18,06002
6,3,581,3,0.52,1,0.17,0,0.0,06003
6,4,517,0,0.0,1,0.19,0,0.0,06004
6,5,491,1,0.2,0,0.0,0,0.0,06005
6,6,535,4,0.75,1,0.19,0,0.0,06006
6,7,554,1,0.18,0,0.0,1,0.18,06007
6,8,549,2,0.36,1,0.18,1,0.18,06008
6,9,632,6,0.95,1,0.16,0,0.0,06009
6,10,488,2,0.41,0,0.0,0,0.0,06010
6,11,606,3,0.5,1,0.17,2,0.33,06011
