ward,precinct,total,"Robert F. Martwick, Jr.","Robert F. Martwick, Jr. Percent",precinct_id
29,29,244,244,100.0,29029
29,31,100,100,100.0,29031
29,32,308,308,100.0,29032
38,1,289,289,100.0,38001
38,3,285,285,100.0,38003
38,5,304,304,100.0,38005
38,6,315,315,100.0,38006
38,7,215,215,100.0,38007
38,9,338,338,100.0,38009
38,11,303,303,100.0,38011
38,13,290,290,100.0,38013
38,14,331,331,100.0,38014
38,15,284,284,100.0,38015
38,17,278,278,100.0,38017
38,18,347,347,100.0,38018
38,19,339,339,100.0,38019
38,21,275,275,100.0,38021
38,22,305,305,100.0,38022
38,24,330,330,100.0,38024
38,25,259,259,100.0,38025
38,26,336,336,100.0,38026
38,27,303,303,100.0,38027
38,29,301,301,100.0,38029
38,30,305,305,100.0,38030
38,31,326,326,100.0,38031
38,32,321,321,100.0,38032
38,33,282,282,100.0,38033
38,36,283,283,100.0,38036
38,38,294,294,100.0,38038
38,40,288,288,100.0,38040
38,41,319,319,100.0,38041
39,17,349,349,100.0,39017
39,21,310,310,100.0,39021
39,23,351,351,100.0,39023
39,40,0,0,0.0,39040
39,41,382,382,100.0,39041
41,3,134,134,100.0,41003
41,12,317,317,100.0,41012
41,24,298,298,100.0,41024
41,30,351,351,100.0,41030
41,38,342,342,100.0,41038
45,12,307,307,100.0,45012
45,13,284,284,100.0,45013
45,14,440,440,100.0,45014
45,15,467,467,100.0,45015
45,16,339,339,100.0,45016
45,17,360,360,100.0,45017
45,18,341,341,100.0,45018
45,19,337,337,100.0,45019
45,20,329,329,100.0,45020
45,21,400,400,100.0,45021
45,22,338,338,100.0,45022
45,23,332,332,100.0,45023
45,24,352,352,100.0,45024
45,25,312,312,100.0,45025
45,26,310,310,100.0,45026
45,27,318,318,100.0,45027
45,28,310,310,100.0,45028
45,29,324,324,100.0,45029
45,30,293,293,100.0,45030
45,31,254,254,100.0,45031
45,32,224,224,100.0,45032
45,33,214,214,100.0,45033
45,34,325,325,100.0,45034
45,35,353,353,100.0,45035
45,36,336,336,100.0,45036
45,37,296,296,100.0,45037
45,38,301,301,100.0,45038
45,39,304,304,100.0,45039
45,40,299,299,100.0,45040
45,41,262,262,100.0,45041
45,42,332,332,100.0,45042
45,43,301,301,100.0,45043
45,44,326,326,100.0,45044
46,39,3,3,100.0,46039
