ward,precinct,total,Arthur Turner,Arthur Turner Percent,precinct_id
2,9,366,366,100.0,02009
2,12,409,409,100.0,02012
2,20,10,10,100.0,02020
2,41,104,104,100.0,02041
2,46,241,241,100.0,02046
7,11,2,2,100.0,07011
11,2,91,91,100.0,11002
11,6,488,488,100.0,11006
11,7,511,511,100.0,11007
11,33,257,257,100.0,11033
12,10,40,40,100.0,12010
21,27,0,0,0.0,21027
22,19,232,232,100.0,22019
22,21,540,540,100.0,22021
24,1,415,415,100.0,24001
24,2,451,451,100.0,24002
24,3,481,481,100.0,24003
24,4,343,343,100.0,24004
24,5,245,245,100.0,24005
24,6,447,447,100.0,24006
24,7,204,204,100.0,24007
24,8,228,228,100.0,24008
24,9,463,463,100.0,24009
24,10,245,245,100.0,24010
24,11,473,473,100.0,24011
24,12,309,309,100.0,24012
24,13,288,288,100.0,24013
24,14,415,415,100.0,24014
24,15,276,276,100.0,24015
24,16,20,20,100.0,24016
24,17,268,268,100.0,24017
24,18,487,487,100.0,24018
24,20,50,50,100.0,24020
24,21,214,214,100.0,24021
24,22,537,537,100.0,24022
24,23,404,404,100.0,24023
24,24,589,589,100.0,24024
24,25,396,396,100.0,24025
24,26,496,496,100.0,24026
24,27,438,438,100.0,24027
24,28,337,337,100.0,24028
24,29,307,307,100.0,24029
24,30,267,267,100.0,24030
24,31,511,511,100.0,24031
24,33,288,288,100.0,24033
24,34,370,370,100.0,24034
24,35,414,414,100.0,24035
24,36,548,548,100.0,24036
24,37,280,280,100.0,24037
24,38,342,342,100.0,24038
24,39,445,445,100.0,24039
24,40,403,403,100.0,24040
25,3,480,480,100.0,25003
25,4,414,414,100.0,25004
25,10,391,391,100.0,25010
25,16,426,426,100.0,25016
25,20,388,388,100.0,25020
25,25,318,318,100.0,25025
25,27,247,247,100.0,25027
25,29,391,391,100.0,25029
25,31,407,407,100.0,25031
27,2,401,401,100.0,27002
27,6,500,500,100.0,27006
27,9,445,445,100.0,27009
27,10,290,290,100.0,27010
27,11,121,121,100.0,27011
27,14,75,75,100.0,27014
27,16,240,240,100.0,27016
27,18,311,311,100.0,27018
27,20,551,551,100.0,27020
27,21,478,478,100.0,27021
27,25,114,114,100.0,27025
27,28,351,351,100.0,27028
27,33,119,119,100.0,27033
27,37,408,408,100.0,27037
27,38,188,188,100.0,27038
27,41,402,402,100.0,27041
27,42,181,181,100.0,27042
27,45,310,310,100.0,27045
28,4,271,271,100.0,28004
28,5,202,202,100.0,28005
28,6,172,172,100.0,28006
28,8,280,280,100.0,28008
28,10,373,373,100.0,28010
28,11,660,660,100.0,28011
28,18,321,321,100.0,28018
28,19,288,288,100.0,28019
28,27,304,304,100.0,28027
28,28,317,317,100.0,28028
28,29,181,181,100.0,28029
28,32,0,0,0.0,28032
28,34,615,615,100.0,28034
28,35,561,561,100.0,28035
28,45,288,288,100.0,28045
28,46,559,559,100.0,28046
42,3,427,427,100.0,42003
42,9,7,7,100.0,42009
42,12,283,283,100.0,42012
42,16,390,390,100.0,42016
42,21,120,120,100.0,42021
42,36,144,144,100.0,42036
42,41,146,146,100.0,42041
43,1,417,417,100.0,43001
43,3,355,355,100.0,43003
43,23,354,354,100.0,43023
