ward,precinct,total,Gregory Harris,Gregory Harris Percent,precinct_id
33,18,199,199,100.0,33018
39,13,27,27,100.0,39013
39,22,255,255,100.0,39022
39,30,43,43,100.0,39030
40,1,308,308,100.0,40001
40,2,331,331,100.0,40002
40,3,483,483,100.0,40003
40,4,37,37,100.0,40004
40,5,404,404,100.0,40005
40,6,432,432,100.0,40006
40,7,334,334,100.0,40007
40,8,529,529,100.0,40008
40,9,344,344,100.0,40009
40,10,117,117,100.0,40010
40,11,496,496,100.0,40011
40,12,286,286,100.0,40012
40,13,587,587,100.0,40013
40,14,316,316,100.0,40014
40,15,360,360,100.0,40015
40,16,526,526,100.0,40016
40,17,323,323,100.0,40017
40,18,361,361,100.0,40018
40,19,442,442,100.0,40019
40,20,380,380,100.0,40020
40,21,454,454,100.0,40021
40,22,400,400,100.0,40022
40,23,478,478,100.0,40023
40,24,296,296,100.0,40024
40,25,500,500,100.0,40025
40,26,422,422,100.0,40026
40,27,530,530,100.0,40027
40,29,351,351,100.0,40029
40,30,323,323,100.0,40030
40,31,462,462,100.0,40031
40,32,479,479,100.0,40032
40,33,434,434,100.0,40033
40,34,324,324,100.0,40034
40,35,266,266,100.0,40035
40,36,364,364,100.0,40036
40,37,410,410,100.0,40037
40,38,458,458,100.0,40038
40,39,41,41,100.0,40039
46,1,361,361,100.0,46001
46,2,436,436,100.0,46002
46,4,413,413,100.0,46004
46,6,356,356,100.0,46006
46,8,337,337,100.0,46008
46,12,449,449,100.0,46012
46,14,503,503,100.0,46014
46,16,474,474,100.0,46016
46,20,408,408,100.0,46020
46,21,331,331,100.0,46021
46,22,327,327,100.0,46022
46,23,410,410,100.0,46023
46,25,449,449,100.0,46025
46,26,226,226,100.0,46026
46,29,37,37,100.0,46029
46,32,433,433,100.0,46032
46,37,362,362,100.0,46037
46,40,398,398,100.0,46040
47,5,381,381,100.0,47005
47,10,557,557,100.0,47010
47,15,530,530,100.0,47015
47,19,519,519,100.0,47019
47,20,447,447,100.0,47020
47,22,465,465,100.0,47022
47,23,509,509,100.0,47023
47,26,502,502,100.0,47026
47,28,393,393,100.0,47028
47,30,486,486,100.0,47030
47,31,438,438,100.0,47031
47,32,500,500,100.0,47032
47,34,462,462,100.0,47034
47,36,495,495,100.0,47036
47,37,498,498,100.0,47037
47,38,435,435,100.0,47038
47,39,16,16,100.0,47039
47,41,438,438,100.0,47041
47,42,430,430,100.0,47042
47,45,479,479,100.0,47045
48,4,362,362,100.0,48004
48,7,7,7,100.0,48007
48,17,410,410,100.0,48017
48,20,327,327,100.0,48020
48,21,543,543,100.0,48021
48,23,364,364,100.0,48023
48,24,413,413,100.0,48024
48,35,343,343,100.0,48035
48,38,117,117,100.0,48038
