ward,precinct,total,Edward J. Acevedo,Edward J. Acevedo Percent,precinct_id
11,1,334,334,100.0,11001
11,3,379,379,100.0,11003
11,4,323,323,100.0,11004
11,5,309,309,100.0,11005
11,8,320,320,100.0,11008
11,9,331,331,100.0,11009
11,10,200,200,100.0,11010
11,11,368,368,100.0,11011
11,14,307,307,100.0,11014
11,15,243,243,100.0,11015
11,16,213,213,100.0,11016
11,17,365,365,100.0,11017
11,18,277,277,100.0,11018
11,19,438,438,100.0,11019
11,20,248,248,100.0,11020
11,22,299,299,100.0,11022
11,23,349,349,100.0,11023
11,25,335,335,100.0,11025
11,26,278,278,100.0,11026
11,27,228,228,100.0,11027
11,30,229,229,100.0,11030
11,33,156,156,100.0,11033
12,1,318,318,100.0,12001
12,3,393,393,100.0,12003
12,4,364,364,100.0,12004
12,5,269,269,100.0,12005
12,6,12,12,100.0,12006
12,8,352,352,100.0,12008
12,9,275,275,100.0,12009
12,13,275,275,100.0,12013
12,17,123,123,100.0,12017
12,19,298,298,100.0,12019
12,21,350,350,100.0,12021
12,23,325,325,100.0,12023
15,5,249,249,100.0,15005
15,9,285,285,100.0,15009
15,13,238,238,100.0,15013
15,14,230,230,100.0,15014
15,15,275,275,100.0,15015
20,20,0,0,0.0,20020
25,1,307,307,100.0,25001
25,2,346,346,100.0,25002
25,5,340,340,100.0,25005
25,6,111,111,100.0,25006
25,7,321,321,100.0,25007
25,8,372,372,100.0,25008
25,9,376,376,100.0,25009
25,11,375,375,100.0,25011
25,12,247,247,100.0,25012
25,13,399,399,100.0,25013
25,14,265,265,100.0,25014
25,15,337,337,100.0,25015
25,17,448,448,100.0,25017
25,18,179,179,100.0,25018
25,19,391,391,100.0,25019
25,22,334,334,100.0,25022
25,23,443,443,100.0,25023
25,24,325,325,100.0,25024
25,26,371,371,100.0,25026
25,27,34,34,100.0,25027
25,28,416,416,100.0,25028
25,30,350,350,100.0,25030
25,32,308,308,100.0,25032
28,19,4,4,100.0,28019
