ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Rita Zak,Rita Zak Percent,John H. Monaghan,John H. Monaghan Percent,precinct_id
1,12,544,385,70.77,111,20.4,48,8.82,01012
1,14,129,102,79.07,16,12.4,11,8.53,01014
1,15,59,46,77.97,7,11.86,6,10.17,01015
1,32,177,126,71.19,34,19.21,17,9.6,01032
2,2,466,298,63.95,132,28.33,36,7.73,02002
2,9,559,308,55.1,207,37.03,44,7.87,02009
2,10,525,292,55.62,208,39.62,25,4.76,02010
2,11,498,282,56.63,190,38.15,26,5.22,02011
2,12,347,297,85.59,38,10.95,12,3.46,02012
2,13,600,377,62.83,179,29.83,44,7.33,02013
2,14,429,315,73.43,68,15.85,46,10.72,02014
2,17,587,421,71.72,107,18.23,59,10.05,02017
2,18,471,297,63.06,153,32.48,21,4.46,02018
2,19,448,270,60.27,149,33.26,29,6.47,02019
2,20,230,135,58.7,77,33.48,18,7.83,02020
2,21,4,4,100.0,0,0.0,0,0.0,02021
2,23,443,260,58.69,154,34.76,29,6.55,02023
2,27,528,318,60.23,171,32.39,39,7.39,02027
2,28,252,134,53.17,91,36.11,27,10.71,02028
2,29,613,371,60.52,192,31.32,50,8.16,02029
2,32,472,285,60.38,152,32.2,35,7.42,02032
2,34,438,249,56.85,158,36.07,31,7.08,02034
2,35,597,365,61.14,197,33.0,35,5.86,02035
2,36,457,259,56.67,167,36.54,31,6.78,02036
2,38,443,247,55.76,151,34.09,45,10.16,02038
2,39,388,194,50.0,168,43.3,26,6.7,02039
2,40,666,416,62.46,200,30.03,50,7.51,02040
2,41,515,259,50.29,225,43.69,31,6.02,02041
2,42,655,430,65.65,189,28.85,36,5.5,02042
2,43,630,370,58.73,221,35.08,39,6.19,02043
2,45,599,440,73.46,125,20.87,34,5.68,02045
2,46,340,212,62.35,104,30.59,24,7.06,02046
3,1,695,673,96.83,10,1.44,12,1.73,03001
3,2,576,564,97.92,6,1.04,6,1.04,03002
3,3,603,546,90.55,33,5.47,24,3.98,03003
3,4,179,176,98.32,0,0.0,3,1.68,03004
3,5,472,456,96.61,6,1.27,10,2.12,03005
3,6,636,411,64.62,163,25.63,62,9.75,03006
3,8,517,499,96.52,8,1.55,10,1.93,03008
3,9,586,559,95.39,10,1.71,17,2.9,03009
3,10,402,390,97.01,4,1.0,8,1.99,03010
3,11,617,595,96.43,7,1.13,15,2.43,03011
3,12,492,475,96.54,5,1.02,12,2.44,03012
3,13,651,461,70.81,136,20.89,54,8.29,03013
3,14,546,425,77.84,81,14.84,40,7.33,03014
3,15,579,562,97.06,6,1.04,11,1.9,03015
3,16,569,554,97.36,5,0.88,10,1.76,03016
3,17,510,429,84.12,46,9.02,35,6.86,03017
