ward,precinct,total,Heather A. Steans,Heather A. Steans Percent,precinct_id
33,18,201,201,100.0,33018
39,13,32,32,100.0,39013
39,22,263,263,100.0,39022
39,30,46,46,100.0,39030
40,1,314,314,100.0,40001
40,2,353,353,100.0,40002
40,3,488,488,100.0,40003
40,4,39,39,100.0,40004
40,5,413,413,100.0,40005
40,6,437,437,100.0,40006
40,7,345,345,100.0,40007
40,8,542,542,100.0,40008
40,9,362,362,100.0,40009
40,10,121,121,100.0,40010
40,11,523,523,100.0,40011
40,12,297,297,100.0,40012
40,13,590,590,100.0,40013
40,14,317,317,100.0,40014
40,15,366,366,100.0,40015
40,16,544,544,100.0,40016
40,17,330,330,100.0,40017
40,18,377,377,100.0,40018
40,19,463,463,100.0,40019
40,20,391,391,100.0,40020
40,21,472,472,100.0,40021
40,22,416,416,100.0,40022
40,23,485,485,100.0,40023
40,24,309,309,100.0,40024
40,25,501,501,100.0,40025
40,26,434,434,100.0,40026
40,27,545,545,100.0,40027
40,28,459,459,100.0,40028
40,29,366,366,100.0,40029
40,30,335,335,100.0,40030
40,31,471,471,100.0,40031
40,32,490,490,100.0,40032
40,33,440,440,100.0,40033
40,34,328,328,100.0,40034
40,35,280,280,100.0,40035
40,36,380,380,100.0,40036
40,37,431,431,100.0,40037
40,38,463,463,100.0,40038
40,39,42,42,100.0,40039
46,1,365,365,100.0,46001
46,2,453,453,100.0,46002
46,4,426,426,100.0,46004
46,6,376,376,100.0,46006
46,8,354,354,100.0,46008
46,12,453,453,100.0,46012
46,14,526,526,100.0,46014
46,16,495,495,100.0,46016
46,20,429,429,100.0,46020
46,21,337,337,100.0,46021
46,22,346,346,100.0,46022
46,23,420,420,100.0,46023
46,25,462,462,100.0,46025
46,26,230,230,100.0,46026
46,29,40,40,100.0,46029
46,32,453,453,100.0,46032
46,37,375,375,100.0,46037
46,40,414,414,100.0,46040
47,5,378,378,100.0,47005
47,10,557,557,100.0,47010
47,15,542,542,100.0,47015
47,19,539,539,100.0,47019
47,20,466,466,100.0,47020
47,22,478,478,100.0,47022
47,23,514,514,100.0,47023
47,26,510,510,100.0,47026
47,28,412,412,100.0,47028
47,30,508,508,100.0,47030
47,31,441,441,100.0,47031
47,32,504,504,100.0,47032
47,34,482,482,100.0,47034
47,36,494,494,100.0,47036
47,37,502,502,100.0,47037
47,38,445,445,100.0,47038
47,39,17,17,100.0,47039
47,41,445,445,100.0,47041
47,42,438,438,100.0,47042
47,45,482,482,100.0,47045
48,1,403,403,100.0,48001
48,2,204,204,100.0,48002
48,3,524,524,100.0,48003
48,4,383,383,100.0,48004
48,5,267,267,100.0,48005
48,6,510,510,100.0,48006
48,7,474,474,100.0,48007
48,8,226,226,100.0,48008
48,9,320,320,100.0,48009
48,10,577,577,100.0,48010
48,11,407,407,100.0,48011
48,12,547,547,100.0,48012
48,13,570,570,100.0,48013
48,14,263,263,100.0,48014
48,15,294,294,100.0,48015
48,16,464,464,100.0,48016
48,17,421,421,100.0,48017
48,18,382,382,100.0,48018
48,19,310,310,100.0,48019
48,20,501,501,100.0,48020
48,21,561,561,100.0,48021
48,22,382,382,100.0,48022
48,23,383,383,100.0,48023
48,24,430,430,100.0,48024
48,25,425,425,100.0,48025
48,26,242,242,100.0,48026
48,27,377,377,100.0,48027
48,28,592,592,100.0,48028
48,29,220,220,100.0,48029
48,30,411,411,100.0,48030
48,31,605,605,100.0,48031
48,32,441,441,100.0,48032
48,33,271,271,100.0,48033
48,34,415,415,100.0,48034
48,35,358,358,100.0,48035
48,36,280,280,100.0,48036
48,37,433,433,100.0,48037
48,38,451,451,100.0,48038
48,39,360,360,100.0,48039
48,40,390,390,100.0,48040
48,41,545,545,100.0,48041
48,42,535,535,100.0,48042
48,43,505,505,100.0,48043
48,44,536,536,100.0,48044
48,45,356,356,100.0,48045
48,46,299,299,100.0,48046
49,1,430,430,100.0,49001
49,2,313,313,100.0,49002
49,3,517,517,100.0,49003
49,4,544,544,100.0,49004
49,5,450,450,100.0,49005
49,6,453,453,100.0,49006
49,7,369,369,100.0,49007
49,8,368,368,100.0,49008
49,9,506,506,100.0,49009
49,10,455,455,100.0,49010
49,11,564,564,100.0,49011
49,12,561,561,100.0,49012
49,13,536,536,100.0,49013
49,14,401,401,100.0,49014
49,15,357,357,100.0,49015
49,16,377,377,100.0,49016
49,17,395,395,100.0,49017
49,18,586,586,100.0,49018
49,19,421,421,100.0,49019
49,20,646,646,100.0,49020
49,21,279,279,100.0,49021
49,22,488,488,100.0,49022
49,23,519,519,100.0,49023
49,24,453,453,100.0,49024
49,25,599,599,100.0,49025
49,26,501,501,100.0,49026
49,27,559,559,100.0,49027
49,28,522,522,100.0,49028
49,29,548,548,100.0,49029
49,30,480,480,100.0,49030
49,31,381,381,100.0,49031
49,32,475,475,100.0,49032
49,33,419,419,100.0,49033
50,8,297,297,100.0,50008
50,28,5,5,100.0,50028
