ward,precinct,total,Martin A. Sandoval,Martin A. Sandoval Percent,precinct_id
12,2,276,276,100.0,12002
12,6,324,324,100.0,12006
12,7,298,298,100.0,12007
12,10,274,274,100.0,12010
12,11,310,310,100.0,12011
12,12,309,309,100.0,12012
12,13,65,65,100.0,12013
12,14,269,269,100.0,12014
12,15,273,273,100.0,12015
12,16,293,293,100.0,12016
12,17,185,185,100.0,12017
12,18,272,272,100.0,12018
12,20,361,361,100.0,12020
12,22,235,235,100.0,12022
13,1,260,260,100.0,13001
13,2,227,227,100.0,13002
13,3,229,229,100.0,13003
13,4,333,333,100.0,13004
13,5,356,356,100.0,13005
13,6,261,261,100.0,13006
13,7,265,265,100.0,13007
13,8,241,241,100.0,13008
13,9,339,339,100.0,13009
13,10,258,258,100.0,13010
13,11,307,307,100.0,13011
13,12,265,265,100.0,13012
13,13,340,340,100.0,13013
13,14,282,282,100.0,13014
13,15,441,441,100.0,13015
13,16,243,243,100.0,13016
13,17,272,272,100.0,13017
13,18,242,242,100.0,13018
13,19,353,353,100.0,13019
13,20,182,182,100.0,13020
13,21,316,316,100.0,13021
13,22,310,310,100.0,13022
13,23,250,250,100.0,13023
13,24,272,272,100.0,13024
13,25,277,277,100.0,13025
13,26,278,278,100.0,13026
13,27,284,284,100.0,13027
13,28,235,235,100.0,13028
13,29,258,258,100.0,13029
13,30,188,188,100.0,13030
13,31,309,309,100.0,13031
13,32,224,224,100.0,13032
13,33,251,251,100.0,13033
13,34,354,354,100.0,13034
13,35,270,270,100.0,13035
13,36,198,198,100.0,13036
13,37,322,322,100.0,13037
13,38,230,230,100.0,13038
13,39,321,321,100.0,13039
13,40,266,266,100.0,13040
13,41,328,328,100.0,13041
13,42,259,259,100.0,13042
13,43,313,313,100.0,13043
13,44,393,393,100.0,13044
13,45,328,328,100.0,13045
13,46,347,347,100.0,13046
13,47,335,335,100.0,13047
13,48,197,197,100.0,13048
14,1,27,27,100.0,14001
14,3,319,319,100.0,14003
14,6,21,21,100.0,14006
14,10,1,1,100.0,14010
14,11,202,202,100.0,14011
14,15,335,335,100.0,14015
14,18,96,96,100.0,14018
14,22,260,260,100.0,14022
14,23,56,56,100.0,14023
15,6,309,309,100.0,15006
15,9,25,25,100.0,15009
15,10,205,205,100.0,15010
15,11,151,151,100.0,15011
15,12,32,32,100.0,15012
18,15,335,335,100.0,18015
18,43,323,323,100.0,18043
18,46,224,224,100.0,18046
22,4,62,62,100.0,22004
22,5,7,7,100.0,22005
22,7,118,118,100.0,22007
22,10,245,245,100.0,22010
22,13,181,181,100.0,22013
22,14,311,311,100.0,22014
22,15,225,225,100.0,22015
22,16,290,290,100.0,22016
22,17,42,42,100.0,22017
22,18,144,144,100.0,22018
22,19,10,10,100.0,22019
22,22,270,270,100.0,22022
23,1,277,277,100.0,23001
23,2,292,292,100.0,23002
23,4,330,330,100.0,23004
23,5,278,278,100.0,23005
23,6,191,191,100.0,23006
23,7,303,303,100.0,23007
23,8,323,323,100.0,23008
23,9,278,278,100.0,23009
23,10,352,352,100.0,23010
23,11,379,379,100.0,23011
23,12,258,258,100.0,23012
23,13,262,262,100.0,23013
23,14,70,70,100.0,23014
23,15,288,288,100.0,23015
23,16,269,269,100.0,23016
23,17,73,73,100.0,23017
23,18,277,277,100.0,23018
23,20,203,203,100.0,23020
23,21,284,284,100.0,23021
23,22,191,191,100.0,23022
23,23,262,262,100.0,23023
23,24,124,124,100.0,23024
23,25,54,54,100.0,23025
23,26,179,179,100.0,23026
23,27,266,266,100.0,23027
23,28,311,311,100.0,23028
23,29,246,246,100.0,23029
23,30,327,327,100.0,23030
23,32,320,320,100.0,23032
23,33,349,349,100.0,23033
23,34,287,287,100.0,23034
23,35,211,211,100.0,23035
23,36,282,282,100.0,23036
23,37,176,176,100.0,23037
23,38,258,258,100.0,23038
23,39,275,275,100.0,23039
24,16,307,307,100.0,24016
