ward,precinct,total,William G. Gamboney,William G. Gamboney Percent,precinct_id
11,6,416,416,100.0,11006
11,7,142,142,100.0,11007
22,19,0,0,0.0,22019
22,21,399,399,100.0,22021
24,1,280,280,100.0,24001
24,2,341,341,100.0,24002
24,3,322,322,100.0,24003
24,4,270,270,100.0,24004
24,5,175,175,100.0,24005
24,6,341,341,100.0,24006
24,8,152,152,100.0,24008
24,9,290,290,100.0,24009
24,10,161,161,100.0,24010
24,11,324,324,100.0,24011
24,12,214,214,100.0,24012
24,13,175,175,100.0,24013
24,14,266,266,100.0,24014
24,15,192,192,100.0,24015
24,17,258,258,100.0,24017
24,18,362,362,100.0,24018
24,19,343,343,100.0,24019
24,20,221,221,100.0,24020
24,21,182,182,100.0,24021
24,22,398,398,100.0,24022
24,23,299,299,100.0,24023
24,24,376,376,100.0,24024
24,25,275,275,100.0,24025
24,26,374,374,100.0,24026
24,27,300,300,100.0,24027
24,28,235,235,100.0,24028
24,29,223,223,100.0,24029
24,30,204,204,100.0,24030
24,31,322,322,100.0,24031
24,32,212,212,100.0,24032
24,33,227,227,100.0,24033
24,34,247,247,100.0,24034
24,35,348,348,100.0,24035
24,36,373,373,100.0,24036
24,37,187,187,100.0,24037
24,38,242,242,100.0,24038
24,40,296,296,100.0,24040
24,41,237,237,100.0,24041
25,3,390,390,100.0,25003
25,4,262,262,100.0,25004
25,10,331,331,100.0,25010
25,16,349,349,100.0,25016
25,20,268,268,100.0,25020
25,27,209,209,100.0,25027
25,29,238,238,100.0,25029
25,31,327,327,100.0,25031
26,2,109,109,100.0,26002
26,10,173,173,100.0,26010
26,17,235,235,100.0,26017
26,31,0,0,0.0,26031
26,33,6,6,100.0,26033
26,36,6,6,100.0,26036
27,2,303,303,100.0,27002
27,3,182,182,100.0,27003
27,4,286,286,100.0,27004
27,5,215,215,100.0,27005
27,8,256,256,100.0,27008
27,10,262,262,100.0,27010
27,14,296,296,100.0,27014
27,15,299,299,100.0,27015
27,16,241,241,100.0,27016
27,17,319,319,100.0,27017
27,18,233,233,100.0,27018
27,19,246,246,100.0,27019
27,22,197,197,100.0,27022
27,23,303,303,100.0,27023
27,24,196,196,100.0,27024
27,25,310,310,100.0,27025
27,26,233,233,100.0,27026
27,27,295,295,100.0,27027
27,29,270,270,100.0,27029
27,30,324,324,100.0,27030
27,31,249,249,100.0,27031
27,32,212,212,100.0,27032
27,33,238,238,100.0,27033
27,34,283,283,100.0,27034
27,36,259,259,100.0,27036
27,39,335,335,100.0,27039
27,41,302,302,100.0,27041
27,43,272,272,100.0,27043
27,44,301,301,100.0,27044
27,45,239,239,100.0,27045
28,1,265,265,100.0,28001
28,2,251,251,100.0,28002
28,3,217,217,100.0,28003
28,4,219,219,100.0,28004
28,5,167,167,100.0,28005
28,6,129,129,100.0,28006
28,7,378,378,100.0,28007
28,8,230,230,100.0,28008
28,9,337,337,100.0,28009
28,10,308,308,100.0,28010
28,11,523,523,100.0,28011
28,12,317,317,100.0,28012
28,13,267,267,100.0,28013
28,14,272,272,100.0,28014
28,15,90,90,100.0,28015
28,16,205,205,100.0,28016
28,17,295,295,100.0,28017
28,18,254,254,100.0,28018
28,19,222,222,100.0,28019
28,20,302,302,100.0,28020
28,21,280,280,100.0,28021
28,22,238,238,100.0,28022
28,23,345,345,100.0,28023
28,24,305,305,100.0,28024
28,25,425,425,100.0,28025
28,26,363,363,100.0,28026
28,27,228,228,100.0,28027
28,28,250,250,100.0,28028
28,29,129,129,100.0,28029
28,30,54,54,100.0,28030
28,31,363,363,100.0,28031
28,32,295,295,100.0,28032
28,33,308,308,100.0,28033
28,34,427,427,100.0,28034
28,35,379,379,100.0,28035
28,36,152,152,100.0,28036
28,37,424,424,100.0,28037
28,38,159,159,100.0,28038
28,39,276,276,100.0,28039
28,40,421,421,100.0,28040
28,41,284,284,100.0,28041
28,42,343,343,100.0,28042
28,43,377,377,100.0,28043
28,44,242,242,100.0,28044
28,45,253,253,100.0,28045
28,46,444,444,100.0,28046
29,2,362,362,100.0,29002
29,3,281,281,100.0,29003
29,4,333,333,100.0,29004
29,5,376,376,100.0,29005
29,6,327,327,100.0,29006
29,8,444,444,100.0,29008
29,11,408,408,100.0,29011
29,13,348,348,100.0,29013
29,14,428,428,100.0,29014
29,16,397,397,100.0,29016
29,18,449,449,100.0,29018
29,19,440,440,100.0,29019
29,20,334,334,100.0,29020
29,21,384,384,100.0,29021
29,22,402,402,100.0,29022
29,24,100,100,100.0,29024
29,25,385,385,100.0,29025
29,26,391,391,100.0,29026
29,27,315,315,100.0,29027
29,28,368,368,100.0,29028
29,33,343,343,100.0,29033
29,34,291,291,100.0,29034
29,35,429,429,100.0,29035
29,37,387,387,100.0,29037
29,40,422,422,100.0,29040
29,41,336,336,100.0,29041
29,42,301,301,100.0,29042
29,44,391,391,100.0,29044
37,1,267,267,100.0,37001
37,3,269,269,100.0,37003
37,4,271,271,100.0,37004
37,5,393,393,100.0,37005
37,6,350,350,100.0,37006
37,7,193,193,100.0,37007
37,8,219,219,100.0,37008
37,9,375,375,100.0,37009
37,11,251,251,100.0,37011
37,13,247,247,100.0,37013
37,14,332,332,100.0,37014
37,15,326,326,100.0,37015
37,17,318,318,100.0,37017
37,18,327,327,100.0,37018
37,19,248,248,100.0,37019
37,20,312,312,100.0,37020
37,21,252,252,100.0,37021
37,22,75,75,100.0,37022
