ward,precinct,total,Carl B. Boyd,Carl B. Boyd Percent,precinct_id
9,1,374,374,100.0,09001
9,2,333,333,100.0,09002
9,3,336,336,100.0,09003
9,4,289,289,100.0,09004
9,5,365,365,100.0,09005
9,6,341,341,100.0,09006
9,7,313,313,100.0,09007
9,8,444,444,100.0,09008
9,9,411,411,100.0,09009
9,10,330,330,100.0,09010
9,11,296,296,100.0,09011
9,13,22,22,100.0,09013
9,14,100,100,100.0,09014
9,15,374,374,100.0,09015
9,16,341,341,100.0,09016
9,17,338,338,100.0,09017
9,18,285,285,100.0,09018
9,19,344,344,100.0,09019
9,20,385,385,100.0,09020
9,21,347,347,100.0,09021
9,22,364,364,100.0,09022
9,26,395,395,100.0,09026
9,27,343,343,100.0,09027
9,28,217,217,100.0,09028
9,29,325,325,100.0,09029
9,30,302,302,100.0,09030
9,31,298,298,100.0,09031
9,32,369,369,100.0,09032
9,33,320,320,100.0,09033
9,34,298,298,100.0,09034
9,35,161,161,100.0,09035
9,37,360,360,100.0,09037
9,38,379,379,100.0,09038
9,39,375,375,100.0,09039
9,40,417,417,100.0,09040
9,41,314,314,100.0,09041
9,43,269,269,100.0,09043
9,44,284,284,100.0,09044
9,45,297,297,100.0,09045
9,46,383,383,100.0,09046
19,28,364,364,100.0,19028
19,43,28,28,100.0,19043
21,1,352,352,100.0,21001
21,2,92,92,100.0,21002
21,3,349,349,100.0,21003
21,5,355,355,100.0,21005
21,6,359,359,100.0,21006
21,7,362,362,100.0,21007
21,8,381,381,100.0,21008
21,9,368,368,100.0,21009
21,10,372,372,100.0,21010
21,11,350,350,100.0,21011
21,12,346,346,100.0,21012
21,13,206,206,100.0,21013
21,14,410,410,100.0,21014
21,16,379,379,100.0,21016
21,17,180,180,100.0,21017
21,18,412,412,100.0,21018
21,19,379,379,100.0,21019
21,20,51,51,100.0,21020
21,21,330,330,100.0,21021
21,22,365,365,100.0,21022
21,23,369,369,100.0,21023
21,24,387,387,100.0,21024
21,25,354,354,100.0,21025
21,27,372,372,100.0,21027
21,29,347,347,100.0,21029
21,32,338,338,100.0,21032
21,33,201,201,100.0,21033
21,34,168,168,100.0,21034
21,35,355,355,100.0,21035
21,36,381,381,100.0,21036
21,37,313,313,100.0,21037
21,38,435,435,100.0,21038
21,39,342,342,100.0,21039
21,40,389,389,100.0,21040
21,41,356,356,100.0,21041
21,42,408,408,100.0,21042
21,44,257,257,100.0,21044
21,45,387,387,100.0,21045
21,46,363,363,100.0,21046
21,48,225,225,100.0,21048
21,49,336,336,100.0,21049
21,50,299,299,100.0,21050
21,52,55,55,100.0,21052
34,1,459,459,100.0,34001
34,2,302,302,100.0,34002
34,3,422,422,100.0,34003
34,4,358,358,100.0,34004
34,5,366,366,100.0,34005
34,6,476,476,100.0,34006
34,7,426,426,100.0,34007
34,8,370,370,100.0,34008
34,9,363,363,100.0,34009
34,10,413,413,100.0,34010
34,11,435,435,100.0,34011
34,12,424,424,100.0,34012
34,13,402,402,100.0,34013
34,14,352,352,100.0,34014
34,15,371,371,100.0,34015
34,16,375,375,100.0,34016
34,18,367,367,100.0,34018
34,19,383,383,100.0,34019
34,20,439,439,100.0,34020
34,21,464,464,100.0,34021
34,22,384,384,100.0,34022
34,23,345,345,100.0,34023
34,24,374,374,100.0,34024
34,25,410,410,100.0,34025
34,26,420,420,100.0,34026
34,27,365,365,100.0,34027
34,28,293,293,100.0,34028
34,29,335,335,100.0,34029
34,30,356,356,100.0,34030
34,31,406,406,100.0,34031
34,32,399,399,100.0,34032
34,33,427,427,100.0,34033
34,34,414,414,100.0,34034
34,35,448,448,100.0,34035
34,36,326,326,100.0,34036
34,37,269,269,100.0,34037
34,38,271,271,100.0,34038
34,39,344,344,100.0,34039
34,40,428,428,100.0,34040
34,41,309,309,100.0,34041
34,42,352,352,100.0,34042
34,43,325,325,100.0,34043
34,44,387,387,100.0,34044
34,45,408,408,100.0,34045
34,46,243,243,100.0,34046
34,47,387,387,100.0,34047
34,48,432,432,100.0,34048
34,49,273,273,100.0,34049
34,50,391,391,100.0,34050
34,51,379,379,100.0,34051
34,52,286,286,100.0,34052
34,53,312,312,100.0,34053
