ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,precinct_id
33,2,203,203,100.0,33002
33,7,100,100,100.0,33007
35,30,1,1,100.0,35030
39,2,355,355,100.0,39002
39,3,288,288,100.0,39003
39,4,323,323,100.0,39004
39,5,406,406,100.0,39005
39,6,365,365,100.0,39006
39,7,331,331,100.0,39007
39,8,340,340,100.0,39008
39,9,389,389,100.0,39009
39,10,160,160,100.0,39010
39,11,380,380,100.0,39011
39,12,384,384,100.0,39012
39,13,262,262,100.0,39013
39,14,358,358,100.0,39014
39,15,534,534,100.0,39015
39,16,303,303,100.0,39016
39,17,1,1,100.0,39017
39,18,356,356,100.0,39018
39,19,372,372,100.0,39019
39,20,351,351,100.0,39020
39,24,377,377,100.0,39024
39,25,54,54,100.0,39025
39,26,287,287,100.0,39026
39,27,58,58,100.0,39027
39,29,175,175,100.0,39029
39,30,363,363,100.0,39030
39,31,77,77,100.0,39031
39,32,328,328,100.0,39032
39,33,490,490,100.0,39033
39,35,343,343,100.0,39035
39,36,365,365,100.0,39036
39,37,367,367,100.0,39037
39,38,202,202,100.0,39038
39,39,313,313,100.0,39039
39,40,393,393,100.0,39040
39,42,288,288,100.0,39042
39,43,133,133,100.0,39043
39,44,186,186,100.0,39044
39,45,228,228,100.0,39045
41,6,393,393,100.0,41006
41,9,368,368,100.0,41009
41,14,408,408,100.0,41014
41,19,401,401,100.0,41019
41,32,245,245,100.0,41032
41,35,52,52,100.0,41035
41,39,388,388,100.0,41039
41,47,375,375,100.0,41047
45,32,83,83,100.0,45032
50,24,314,314,100.0,50024
50,25,46,46,100.0,50025
