ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,precinct_id
1,28,209,209,100.0,01028
2,20,61,61,100.0,02020
2,22,421,421,100.0,02022
2,24,384,384,100.0,02024
2,26,386,386,100.0,02026
2,28,483,483,100.0,02028
2,30,375,375,100.0,02030
2,31,521,521,100.0,02031
2,33,609,609,100.0,02033
2,35,454,454,100.0,02035
2,37,421,421,100.0,02037
2,38,127,127,100.0,02038
2,44,287,287,100.0,02044
27,12,394,394,100.0,27012
27,42,204,204,100.0,27042
32,1,335,335,100.0,32001
32,5,29,29,100.0,32005
32,7,488,488,100.0,32007
32,8,474,474,100.0,32008
32,9,415,415,100.0,32009
32,10,446,446,100.0,32010
32,13,427,427,100.0,32013
32,15,440,440,100.0,32015
32,16,415,415,100.0,32016
32,18,419,419,100.0,32018
32,19,413,413,100.0,32019
32,21,461,461,100.0,32021
32,23,405,405,100.0,32023
32,24,315,315,100.0,32024
32,25,436,436,100.0,32025
32,27,387,387,100.0,32027
32,29,100,100,100.0,32029
32,30,398,398,100.0,32030
32,33,206,206,100.0,32033
32,34,51,51,100.0,32034
32,36,23,23,100.0,32036
32,37,227,227,100.0,32037
32,38,396,396,100.0,32038
32,39,462,462,100.0,32039
32,40,467,467,100.0,32040
32,41,435,435,100.0,32041
32,42,414,414,100.0,32042
33,3,82,82,100.0,33003
33,5,113,113,100.0,33005
33,8,535,535,100.0,33008
33,9,20,20,100.0,33009
33,10,419,419,100.0,33010
33,20,60,60,100.0,33020
33,23,479,479,100.0,33023
33,24,565,565,100.0,33024
43,2,413,413,100.0,43002
43,4,470,470,100.0,43004
43,6,437,437,100.0,43006
43,8,367,367,100.0,43008
43,9,498,498,100.0,43009
43,12,298,298,100.0,43012
43,13,445,445,100.0,43013
43,14,444,444,100.0,43014
43,15,441,441,100.0,43015
43,16,475,475,100.0,43016
43,17,375,375,100.0,43017
43,18,465,465,100.0,43018
43,19,471,471,100.0,43019
43,20,455,455,100.0,43020
43,21,449,449,100.0,43021
43,22,412,412,100.0,43022
43,24,360,360,100.0,43024
43,25,381,381,100.0,43025
43,26,296,296,100.0,43026
43,27,287,287,100.0,43027
43,28,562,562,100.0,43028
43,29,380,380,100.0,43029
43,30,464,464,100.0,43030
43,31,444,444,100.0,43031
43,32,446,446,100.0,43032
43,33,433,433,100.0,43033
43,34,348,348,100.0,43034
43,36,255,255,100.0,43036
43,37,489,489,100.0,43037
43,38,357,357,100.0,43038
43,39,390,390,100.0,43039
43,40,333,333,100.0,43040
43,41,530,530,100.0,43041
43,42,420,420,100.0,43042
43,43,448,448,100.0,43043
43,44,450,450,100.0,43044
44,1,544,544,100.0,44001
44,2,493,493,100.0,44002
44,3,472,472,100.0,44003
44,4,430,430,100.0,44004
44,5,508,508,100.0,44005
44,6,618,618,100.0,44006
44,7,325,325,100.0,44007
44,8,563,563,100.0,44008
44,9,441,441,100.0,44009
44,10,489,489,100.0,44010
44,11,489,489,100.0,44011
44,12,550,550,100.0,44012
44,13,365,365,100.0,44013
44,14,400,400,100.0,44014
44,15,472,472,100.0,44015
44,16,516,516,100.0,44016
44,17,602,602,100.0,44017
44,18,505,505,100.0,44018
44,19,525,525,100.0,44019
44,20,468,468,100.0,44020
44,21,581,581,100.0,44021
44,22,515,515,100.0,44022
44,23,498,498,100.0,44023
44,24,378,378,100.0,44024
44,25,477,477,100.0,44025
44,26,504,504,100.0,44026
44,27,517,517,100.0,44027
44,28,524,524,100.0,44028
44,29,513,513,100.0,44029
44,30,525,525,100.0,44030
44,31,406,406,100.0,44031
44,32,517,517,100.0,44032
44,33,487,487,100.0,44033
44,34,546,546,100.0,44034
44,35,530,530,100.0,44035
44,36,511,511,100.0,44036
44,37,527,527,100.0,44037
44,38,475,475,100.0,44038
44,39,421,421,100.0,44039
44,40,415,415,100.0,44040
44,41,551,551,100.0,44041
46,3,528,528,100.0,46003
46,5,500,500,100.0,46005
46,7,517,517,100.0,46007
46,9,472,472,100.0,46009
46,10,559,559,100.0,46010
46,11,383,383,100.0,46011
46,13,499,499,100.0,46013
46,15,505,505,100.0,46015
46,17,548,548,100.0,46017
46,18,506,506,100.0,46018
46,19,315,315,100.0,46019
46,24,482,482,100.0,46024
46,26,221,221,100.0,46026
46,27,526,526,100.0,46027
46,28,449,449,100.0,46028
46,29,348,348,100.0,46029
46,30,487,487,100.0,46030
46,31,529,529,100.0,46031
46,33,557,557,100.0,46033
46,34,519,519,100.0,46034
46,35,597,597,100.0,46035
46,36,415,415,100.0,46036
46,38,524,524,100.0,46038
46,39,415,415,100.0,46039
47,1,311,311,100.0,47001
47,2,483,483,100.0,47002
47,3,445,445,100.0,47003
47,4,510,510,100.0,47004
47,5,112,112,100.0,47005
47,6,491,491,100.0,47006
47,7,423,423,100.0,47007
47,8,481,481,100.0,47008
47,9,411,411,100.0,47009
47,11,419,419,100.0,47011
47,12,451,451,100.0,47012
47,13,463,463,100.0,47013
47,14,390,390,100.0,47014
47,16,438,438,100.0,47016
47,17,403,403,100.0,47017
47,18,392,392,100.0,47018
47,21,438,438,100.0,47021
47,24,442,442,100.0,47024
47,25,434,434,100.0,47025
47,27,426,426,100.0,47027
47,28,21,21,100.0,47028
47,29,445,445,100.0,47029
47,33,451,451,100.0,47033
47,35,408,408,100.0,47035
47,39,448,448,100.0,47039
47,40,471,471,100.0,47040
47,41,62,62,100.0,47041
47,43,412,412,100.0,47043
47,44,419,419,100.0,47044
47,46,436,436,100.0,47046
47,47,467,467,100.0,47047
47,48,33,33,100.0,47048
