ward,precinct,total,Anita Alvarez,Anita Alvarez Percent,Lori S. Yokoyama,Lori S. Yokoyama Percent,precinct_id
1,1,438,388,88.58,50,11.42,01001
1,2,392,368,93.88,24,6.12,01002
1,3,569,465,81.72,104,18.28,01003
1,4,511,415,81.21,96,18.79,01004
1,5,517,425,82.21,92,17.79,01005
1,6,478,401,83.89,77,16.11,01006
1,7,439,375,85.42,64,14.58,01007
1,8,423,362,85.58,61,14.42,01008
1,9,456,379,83.11,77,16.89,01009
1,10,514,404,78.6,110,21.4,01010
1,11,564,445,78.9,119,21.1,01011
1,12,527,410,77.8,117,22.2,01012
1,13,469,415,88.49,54,11.51,01013
1,14,521,450,86.37,71,13.63,01014
1,15,427,370,86.65,57,13.35,01015
1,16,557,497,89.23,60,10.77,01016
1,17,402,358,89.05,44,10.95,01017
1,18,450,396,88.0,54,12.0,01018
1,19,549,478,87.07,71,12.93,01019
1,20,398,349,87.69,49,12.31,01020
1,21,558,437,78.32,121,21.68,01021
1,22,273,233,85.35,40,14.65,01022
1,23,628,541,86.15,87,13.85,01023
1,24,388,354,91.24,34,8.76,01024
1,25,431,382,88.63,49,11.37,01025
1,26,297,271,91.25,26,8.75,01026
1,27,470,386,82.13,84,17.87,01027
1,28,397,365,91.94,32,8.06,01028
1,29,467,380,81.37,87,18.63,01029
1,30,432,384,88.89,48,11.11,01030
1,31,450,385,85.56,65,14.44,01031
1,32,449,368,81.96,81,18.04,01032
1,33,479,394,82.25,85,17.75,01033
1,34,500,423,84.6,77,15.4,01034
1,35,490,405,82.65,85,17.35,01035
1,36,549,436,79.42,113,20.58,01036
1,37,509,374,73.48,135,26.52,01037
1,38,458,385,84.06,73,15.94,01038
1,39,387,342,88.37,45,11.63,01039
1,40,437,362,82.84,75,17.16,01040
2,1,503,404,80.32,99,19.68,02001
2,2,455,311,68.35,144,31.65,02002
2,3,560,449,80.18,111,19.82,02003
2,4,506,410,81.03,96,18.97,02004
2,5,571,469,82.14,102,17.86,02005
2,6,492,396,80.49,96,19.51,02006
2,7,506,386,76.28,120,23.72,02007
2,8,548,438,79.93,110,20.07,02008
2,9,537,313,58.29,224,41.71,02009
2,10,523,338,64.63,185,35.37,02010
2,11,481,296,61.54,185,38.46,02011
2,12,522,412,78.93,110,21.07,02012
2,13,580,416,71.72,164,28.28,02013
2,14,525,425,80.95,100,19.05,02014
2,15,488,388,79.51,100,20.49,02015
2,16,454,361,79.52,93,20.48,02016
2,17,571,455,79.68,116,20.32,02017
2,18,461,309,67.03,152,32.97,02018
2,19,432,296,68.52,136,31.48,02019
2,20,533,347,65.1,186,34.9,02020
2,21,508,430,84.65,78,15.35,02021
2,22,541,337,62.29,204,37.71,02022
2,23,425,276,64.94,149,35.06,02023
2,24,477,327,68.55,150,31.45,02024
2,25,551,434,78.77,117,21.23,02025
2,26,488,366,75.0,122,25.0,02026
2,27,502,342,68.13,160,31.87,02027
2,28,606,409,67.49,197,32.51,02028
2,29,590,400,67.8,190,32.2,02029
2,30,500,334,66.8,166,33.2,02030
2,31,687,471,68.56,216,31.44,02031
2,32,458,295,64.41,163,35.59,02032
2,33,801,539,67.29,262,32.71,02033
2,34,430,287,66.74,143,33.26,02034
2,35,572,384,67.13,188,32.87,02035
2,36,444,289,65.09,155,34.91,02036
2,37,531,387,72.88,144,27.12,02037
2,38,537,323,60.15,214,39.85,02038
2,39,372,197,52.96,175,47.04,02039
2,40,646,429,66.41,217,33.59,02040
2,41,492,263,53.46,229,46.54,02041
2,42,617,433,70.18,184,29.82,02042
2,43,612,397,64.87,215,35.13,02043
2,44,371,256,69.0,115,31.0,02044
2,45,574,444,77.35,130,22.65,02045
2,46,326,226,69.33,100,30.67,02046
3,1,645,620,96.12,25,3.88,03001
3,2,573,549,95.81,24,4.19,03002
3,3,564,522,92.55,42,7.45,03003
3,4,602,567,94.19,35,5.81,03004
3,5,461,442,95.88,19,4.12,03005
3,6,621,455,73.27,166,26.73,03006
3,7,493,468,94.93,25,5.07,03007
3,8,471,458,97.24,13,2.76,03008
3,9,556,526,94.6,30,5.4,03009
3,10,381,372,97.64,9,2.36,03010
3,11,591,565,95.6,26,4.4,03011
3,12,575,546,94.96,29,5.04,03012
3,13,631,492,77.97,139,22.03,03013
3,14,515,426,82.72,89,17.28,03014
3,15,553,532,96.2,21,3.8,03015
3,16,542,528,97.42,14,2.58,03016
3,17,490,417,85.1,73,14.9,03017
3,18,766,730,95.3,36,4.7,03018
3,19,543,383,70.53,160,29.47,03019
3,20,495,481,97.17,14,2.83,03020
3,21,620,496,80.0,124,20.0,03021
3,22,602,450,74.75,152,25.25,03022
3,23,543,514,94.66,29,5.34,03023
3,24,600,586,97.67,14,2.33,03024
3,25,666,464,69.67,202,30.33,03025
3,26,622,490,78.78,132,21.22,03026
3,27,520,377,72.5,143,27.5,03027
3,28,404,389,96.29,15,3.71,03028
3,29,555,540,97.3,15,2.7,03029
3,30,561,537,95.72,24,4.28,03030
3,31,636,611,96.07,25,3.93,03031
3,32,578,472,81.66,106,18.34,03032
3,33,620,490,79.03,130,20.97,03033
3,34,613,495,80.75,118,19.25,03034
3,35,309,296,95.79,13,4.21,03035
3,36,390,380,97.44,10,2.56,03036
3,37,560,543,96.96,17,3.04,03037
3,38,478,459,96.03,19,3.97,03038
3,39,558,420,75.27,138,24.73,03039
3,40,619,544,87.88,75,12.12,03040
3,41,422,371,87.91,51,12.09,03041
4,1,705,627,88.94,78,11.06,04001
4,2,628,472,75.16,156,24.84,04002
4,3,525,505,96.19,20,3.81,04003
4,4,627,589,93.94,38,6.06,04004
4,5,556,519,93.35,37,6.65,04005
4,6,669,614,91.78,55,8.22,04006
4,7,591,556,94.08,35,5.92,04007
4,8,642,611,95.17,31,4.83,04008
4,9,634,614,96.85,20,3.15,04009
4,10,636,600,94.34,36,5.66,04010
4,11,642,620,96.57,22,3.43,04011
4,12,640,610,95.31,30,4.69,04012
4,13,458,376,82.1,82,17.9,04013
4,14,602,569,94.52,33,5.48,04014
4,15,615,579,94.15,36,5.85,04015
4,16,598,468,78.26,130,21.74,04016
4,17,643,526,81.8,117,18.2,04017
4,18,536,515,96.08,21,3.92,04018
4,19,670,646,96.42,24,3.58,04019
4,20,516,432,83.72,84,16.28,04020
4,21,686,565,82.36,121,17.64,04021
4,22,589,521,88.46,68,11.54,04022
4,23,718,639,89.0,79,11.0,04023
4,24,583,523,89.71,60,10.29,04024
4,25,565,422,74.69,143,25.31,04025
4,26,570,533,93.51,37,6.49,04026
4,27,596,549,92.11,47,7.89,04027
4,28,694,646,93.08,48,6.92,04028
4,29,538,519,96.47,19,3.53,04029
4,30,721,690,95.7,31,4.3,04030
4,31,565,520,92.04,45,7.96,04031
4,32,604,578,95.7,26,4.3,04032
4,33,635,584,91.97,51,8.03,04033
4,34,597,560,93.8,37,6.2,04034
4,35,768,723,94.14,45,5.86,04035
4,36,666,632,94.89,34,5.11,04036
4,37,566,436,77.03,130,22.97,04037
4,38,662,638,96.37,24,3.63,04038
