ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Hector Concepcion,Hector Concepcion Percent,precinct_id
1,1,463,403,87.04,60,12.96,01001
1,2,406,363,89.41,43,10.59,01002
1,7,457,388,84.9,69,15.1,01007
1,9,501,397,79.24,104,20.76,01009
1,13,479,423,88.31,56,11.69,01013
1,15,388,327,84.28,61,15.72,01015
1,16,585,529,90.43,56,9.57,01016
1,17,419,370,88.31,49,11.69,01017
1,18,465,408,87.74,57,12.26,01018
1,19,560,477,85.18,83,14.82,01019
1,20,415,360,86.75,55,13.25,01020
1,22,284,252,88.73,32,11.27,01022
1,23,636,541,85.06,95,14.94,01023
1,24,397,365,91.94,32,8.06,01024
1,25,443,384,86.68,59,13.32,01025
1,26,300,263,87.67,37,12.33,01026
1,27,486,391,80.45,95,19.55,01027
1,28,226,196,86.73,30,13.27,01028
1,29,493,400,81.14,93,18.86,01029
1,30,441,371,84.13,70,15.87,01030
1,31,469,403,85.93,66,14.07,01031
1,34,519,451,86.9,68,13.1,01034
1,38,378,330,87.3,48,12.7,01038
11,3,437,406,92.91,31,7.09,11003
11,33,191,164,85.86,27,14.14,11033
12,2,350,302,86.29,48,13.71,12002
12,3,103,88,85.44,15,14.56,12003
12,5,224,182,81.25,42,18.75,12005
12,6,398,344,86.43,54,13.57,12006
12,7,349,323,92.55,26,7.45,12007
12,8,398,341,85.68,57,14.32,12008
12,10,325,303,93.23,22,6.77,12010
12,11,371,350,94.34,21,5.66,12011
12,12,384,329,85.68,55,14.32,12012
12,13,407,357,87.71,50,12.29,12013
12,14,319,302,94.67,17,5.33,12014
12,15,139,135,97.12,4,2.88,12015
12,16,370,351,94.86,19,5.14,12016
12,17,376,329,87.5,47,12.5,12017
12,18,180,169,93.89,11,6.11,12018
12,19,3,2,66.67,1,33.33,12019
12,20,414,363,87.68,51,12.32,12020
12,21,412,368,89.32,44,10.68,12021
12,22,292,276,94.52,16,5.48,12022
14,2,491,401,81.67,90,18.33,14002
14,3,352,318,90.34,34,9.66,14003
14,5,479,455,94.99,24,5.01,14005
14,6,151,141,93.38,10,6.62,14006
14,10,279,238,85.3,41,14.7,14010
14,11,221,208,94.12,13,5.88,14011
14,13,272,239,87.87,33,12.13,14013
14,14,336,312,92.86,24,7.14,14014
14,15,374,344,91.98,30,8.02,14015
14,16,288,259,89.93,29,10.07,14016
14,17,320,291,90.94,29,9.06,14017
14,19,333,296,88.89,37,11.11,14019
14,20,244,212,86.89,32,13.11,14020
14,25,230,213,92.61,17,7.39,14025
14,27,380,327,86.05,53,13.95,14027
14,28,292,247,84.59,45,15.41,14028
14,30,194,178,91.75,16,8.25,14030
14,31,208,184,88.46,24,11.54,14031
15,1,94,87,92.55,7,7.45,15001
15,4,333,302,90.69,31,9.31,15004
15,5,278,257,92.45,21,7.55,15005
15,6,375,327,87.2,48,12.8,15006
15,8,221,193,87.33,28,12.67,15008
15,9,431,384,89.1,47,10.9,15009
15,10,473,411,86.89,62,13.11,15010
15,11,410,375,91.46,35,8.54,15011
15,12,391,351,89.77,40,10.23,15012
15,15,112,102,91.07,10,8.93,15015
16,1,133,121,90.98,12,9.02,16001
22,3,347,324,93.37,23,6.63,22003
22,4,380,357,93.95,23,6.05,22004
22,5,381,364,95.54,17,4.46,22005
22,6,343,311,90.67,32,9.33,22006
22,7,386,351,90.93,35,9.07,22007
22,9,356,332,93.26,24,6.74,22009
22,10,421,380,90.26,41,9.74,22010
22,11,302,285,94.37,17,5.63,22011
22,13,354,327,92.37,27,7.63,22013
