ward,precinct,total,Mattie Hunter,Mattie Hunter Percent,precinct_id
2,27,88,88,100.0,02027
2,29,167,167,100.0,02029
2,32,338,338,100.0,02032
2,36,299,299,100.0,02036
2,38,238,238,100.0,02038
2,39,245,245,100.0,02039
2,40,497,497,100.0,02040
2,41,234,234,100.0,02041
2,42,274,274,100.0,02042
2,43,445,445,100.0,02043
2,45,451,451,100.0,02045
3,1,587,587,100.0,03001
3,2,501,501,100.0,03002
3,3,492,492,100.0,03003
3,5,435,435,100.0,03005
3,6,487,487,100.0,03006
3,7,459,459,100.0,03007
3,8,419,419,100.0,03008
3,9,523,523,100.0,03009
3,10,358,358,100.0,03010
3,11,286,286,100.0,03011
3,12,308,308,100.0,03012
3,13,506,506,100.0,03013
3,14,458,458,100.0,03014
3,15,508,508,100.0,03015
3,16,504,504,100.0,03016
3,17,422,422,100.0,03017
3,18,709,709,100.0,03018
3,20,440,440,100.0,03020
3,21,321,321,100.0,03021
3,22,490,490,100.0,03022
3,23,473,473,100.0,03023
3,24,530,530,100.0,03024
3,25,515,515,100.0,03025
3,26,482,482,100.0,03026
3,27,205,205,100.0,03027
3,28,347,347,100.0,03028
3,29,494,494,100.0,03029
3,31,225,225,100.0,03031
3,32,485,485,100.0,03032
3,33,513,513,100.0,03033
3,34,514,514,100.0,03034
3,35,278,278,100.0,03035
3,36,371,371,100.0,03036
3,37,494,494,100.0,03037
3,38,467,467,100.0,03038
3,39,456,456,100.0,03039
3,40,521,521,100.0,03040
3,41,378,378,100.0,03041
4,2,510,510,100.0,04002
4,6,378,378,100.0,04006
4,11,117,117,100.0,04011
4,13,403,403,100.0,04013
4,14,548,548,100.0,04014
4,16,502,502,100.0,04016
4,17,532,532,100.0,04017
4,20,460,460,100.0,04020
4,21,584,584,100.0,04021
4,25,457,457,100.0,04025
4,36,249,249,100.0,04036
4,37,441,441,100.0,04037
4,38,136,136,100.0,04038
5,2,485,485,100.0,05002
5,12,420,420,100.0,05012
5,13,4,4,100.0,05013
5,30,237,237,100.0,05030
6,7,44,44,100.0,06007
6,15,153,153,100.0,06015
6,18,51,51,100.0,06018
6,28,138,138,100.0,06028
7,1,45,45,100.0,07001
7,3,11,11,100.0,07003
8,1,284,284,100.0,08001
8,2,167,167,100.0,08002
8,9,317,317,100.0,08009
8,13,578,578,100.0,08013
8,16,196,196,100.0,08016
8,20,495,495,100.0,08020
8,21,619,619,100.0,08021
8,26,250,250,100.0,08026
8,28,503,503,100.0,08028
8,43,96,96,100.0,08043
8,54,250,250,100.0,08054
8,55,274,274,100.0,08055
11,12,355,355,100.0,11012
11,13,306,306,100.0,11013
11,20,72,72,100.0,11020
11,21,431,431,100.0,11021
11,24,349,349,100.0,11024
11,25,1,1,100.0,11025
11,28,284,284,100.0,11028
11,29,357,357,100.0,11029
11,31,313,313,100.0,11031
11,32,177,177,100.0,11032
11,34,130,130,100.0,11034
15,1,270,270,100.0,15001
15,2,371,371,100.0,15002
15,3,309,309,100.0,15003
15,5,48,48,100.0,15005
15,7,77,77,100.0,15007
15,13,64,64,100.0,15013
15,14,3,3,100.0,15014
15,17,327,327,100.0,15017
15,18,366,366,100.0,15018
15,20,355,355,100.0,15020
15,21,341,341,100.0,15021
15,22,62,62,100.0,15022
15,23,419,419,100.0,15023
15,24,396,396,100.0,15024
16,2,285,285,100.0,16002
16,3,400,400,100.0,16003
16,4,392,392,100.0,16004
16,5,442,442,100.0,16005
16,6,254,254,100.0,16006
16,8,336,336,100.0,16008
16,9,487,487,100.0,16009
16,10,391,391,100.0,16010
16,12,340,340,100.0,16012
16,14,409,409,100.0,16014
16,15,421,421,100.0,16015
16,17,113,113,100.0,16017
16,18,382,382,100.0,16018
16,19,391,391,100.0,16019
16,20,335,335,100.0,16020
16,21,398,398,100.0,16021
16,22,398,398,100.0,16022
16,25,396,396,100.0,16025
16,26,375,375,100.0,16026
16,27,384,384,100.0,16027
16,28,386,386,100.0,16028
16,30,111,111,100.0,16030
16,31,398,398,100.0,16031
16,33,38,38,100.0,16033
16,34,431,431,100.0,16034
16,36,344,344,100.0,16036
17,6,362,362,100.0,17006
17,8,208,208,100.0,17008
17,16,81,81,100.0,17016
17,17,16,16,100.0,17017
17,25,406,406,100.0,17025
18,50,142,142,100.0,18050
20,1,399,399,100.0,20001
20,2,400,400,100.0,20002
20,3,372,372,100.0,20003
20,4,260,260,100.0,20004
20,6,436,436,100.0,20006
20,7,413,413,100.0,20007
20,8,379,379,100.0,20008
20,10,419,419,100.0,20010
20,11,566,566,100.0,20011
20,12,328,328,100.0,20012
20,13,518,518,100.0,20013
20,14,362,362,100.0,20014
20,15,209,209,100.0,20015
20,17,263,263,100.0,20017
20,18,378,378,100.0,20018
20,19,424,424,100.0,20019
20,20,249,249,100.0,20020
20,21,453,453,100.0,20021
20,23,532,532,100.0,20023
20,25,390,390,100.0,20025
20,27,349,349,100.0,20027
20,29,581,581,100.0,20029
20,30,243,243,100.0,20030
20,31,532,532,100.0,20031
20,32,511,511,100.0,20032
20,33,320,320,100.0,20033
20,35,492,492,100.0,20035
20,36,282,282,100.0,20036
20,37,188,188,100.0,20037
25,14,26,26,100.0,25014
25,21,638,638,100.0,25021
25,27,124,124,100.0,25027
27,28,0,0,0.0,27028
27,38,172,172,100.0,27038
42,5,344,344,100.0,42005
42,9,450,450,100.0,42009
42,10,350,350,100.0,42010
42,12,70,70,100.0,42012
42,14,452,452,100.0,42014
42,15,356,356,100.0,42015
42,17,336,336,100.0,42017
42,18,427,427,100.0,42018
42,19,244,244,100.0,42019
42,20,432,432,100.0,42020
42,21,199,199,100.0,42021
42,22,209,209,100.0,42022
42,23,382,382,100.0,42023
42,25,391,391,100.0,42025
42,27,336,336,100.0,42027
42,32,336,336,100.0,42032
42,33,400,400,100.0,42033
42,36,412,412,100.0,42036
42,37,322,322,100.0,42037
42,38,386,386,100.0,42038
42,39,403,403,100.0,42039
42,40,129,129,100.0,42040
42,41,323,323,100.0,42041
42,42,455,455,100.0,42042
