ward,precinct,total,Lisa Ann Marino,Lisa Ann Marino Percent,precinct_id
29,1,397,397,100.0,29001
29,7,399,399,100.0,29007
29,9,355,355,100.0,29009
29,10,406,406,100.0,29010
29,12,427,427,100.0,29012
29,15,413,413,100.0,29015
29,17,393,393,100.0,29017
29,23,331,331,100.0,29023
29,24,244,244,100.0,29024
29,29,237,237,100.0,29029
29,30,335,335,100.0,29030
29,31,241,241,100.0,29031
29,32,272,272,100.0,29032
29,36,393,393,100.0,29036
29,38,297,297,100.0,29038
29,39,284,284,100.0,29039
29,43,424,424,100.0,29043
30,1,312,312,100.0,30001
30,2,247,247,100.0,30002
30,3,87,87,100.0,30003
30,4,244,244,100.0,30004
30,5,216,216,100.0,30005
30,6,219,219,100.0,30006
30,7,277,277,100.0,30007
30,8,269,269,100.0,30008
30,9,211,211,100.0,30009
30,10,240,240,100.0,30010
30,11,232,232,100.0,30011
30,12,226,226,100.0,30012
30,13,158,158,100.0,30013
30,14,64,64,100.0,30014
30,16,111,111,100.0,30016
30,17,262,262,100.0,30017
30,18,229,229,100.0,30018
30,20,204,204,100.0,30020
30,21,282,282,100.0,30021
30,22,284,284,100.0,30022
30,23,237,237,100.0,30023
30,24,226,226,100.0,30024
30,25,275,275,100.0,30025
30,26,189,189,100.0,30026
30,27,175,175,100.0,30027
30,28,292,292,100.0,30028
30,29,175,175,100.0,30029
30,30,112,112,100.0,30030
30,31,172,172,100.0,30031
31,3,178,178,100.0,31003
31,8,115,115,100.0,31008
31,9,204,204,100.0,31009
31,11,155,155,100.0,31011
31,12,169,169,100.0,31012
31,14,171,171,100.0,31014
31,15,151,151,100.0,31015
31,17,62,62,100.0,31017
31,19,156,156,100.0,31019
31,25,142,142,100.0,31025
31,31,161,161,100.0,31031
31,33,148,148,100.0,31033
31,34,158,158,100.0,31034
31,35,71,71,100.0,31035
36,1,272,272,100.0,36001
36,2,228,228,100.0,36002
36,3,256,256,100.0,36003
36,4,263,263,100.0,36004
36,5,255,255,100.0,36005
36,7,285,285,100.0,36007
36,10,268,268,100.0,36010
36,14,272,272,100.0,36014
36,15,266,266,100.0,36015
36,16,237,237,100.0,36016
36,17,315,315,100.0,36017
36,18,233,233,100.0,36018
36,19,244,244,100.0,36019
36,20,249,249,100.0,36020
36,21,41,41,100.0,36021
36,23,138,138,100.0,36023
36,24,268,268,100.0,36024
36,26,214,214,100.0,36026
36,27,217,217,100.0,36027
36,28,190,190,100.0,36028
36,29,286,286,100.0,36029
36,30,262,262,100.0,36030
37,16,297,297,100.0,37016
37,24,284,284,100.0,37024
37,26,406,406,100.0,37026
38,2,272,272,100.0,38002
38,3,218,218,100.0,38003
38,4,236,236,100.0,38004
38,5,260,260,100.0,38005
38,6,259,259,100.0,38006
38,7,260,260,100.0,38007
38,8,253,253,100.0,38008
38,9,295,295,100.0,38009
38,10,246,246,100.0,38010
38,11,232,232,100.0,38011
38,12,250,250,100.0,38012
38,13,249,249,100.0,38013
38,14,275,275,100.0,38014
38,15,231,231,100.0,38015
38,16,232,232,100.0,38016
38,17,317,317,100.0,38017
38,18,271,271,100.0,38018
38,19,300,300,100.0,38019
38,20,240,240,100.0,38020
38,21,233,233,100.0,38021
38,22,242,242,100.0,38022
38,23,278,278,100.0,38023
38,24,281,281,100.0,38024
38,25,202,202,100.0,38025
38,26,261,261,100.0,38026
38,27,271,271,100.0,38027
38,28,317,317,100.0,38028
38,29,250,250,100.0,38029
38,30,244,244,100.0,38030
38,33,233,233,100.0,38033
38,34,223,223,100.0,38034
38,35,256,256,100.0,38035
38,36,229,229,100.0,38036
38,37,253,253,100.0,38037
38,38,213,213,100.0,38038
38,39,286,286,100.0,38039
38,40,257,257,100.0,38040
41,23,138,138,100.0,41023
41,25,198,198,100.0,41025
41,27,205,205,100.0,41027
41,28,306,306,100.0,41028
41,29,81,81,100.0,41029
45,4,45,45,100.0,45004
45,5,249,249,100.0,45005
45,6,335,335,100.0,45006
45,7,41,41,100.0,45007
45,8,19,19,100.0,45008
45,9,199,199,100.0,45009
45,10,119,119,100.0,45010
