ward,precinct,total,Lou Lang,Lou Lang Percent,Vincent William Romano,Vincent William Romano Percent,precinct_id
40,4,212,178,83.96,34,16.04,40004
40,10,347,279,80.4,68,19.6,40010
40,35,45,41,91.11,4,8.89,40035
40,39,83,66,79.52,17,20.48,40039
50,1,430,300,69.77,130,30.23,50001
50,2,286,197,68.88,89,31.12,50002
50,3,405,271,66.91,134,33.09,50003
50,4,463,370,79.91,93,20.09,50004
50,5,378,235,62.17,143,37.83,50005
50,6,460,357,77.61,103,22.39,50006
50,7,496,344,69.35,152,30.65,50007
50,8,68,57,83.82,11,16.18,50008
50,9,335,251,74.93,84,25.07,50009
50,10,402,267,66.42,135,33.58,50010
50,11,334,211,63.17,123,36.83,50011
50,12,194,119,61.34,75,38.66,50012
50,13,440,376,85.45,64,14.55,50013
50,14,143,88,61.54,55,38.46,50014
50,15,474,355,74.89,119,25.11,50015
50,16,161,111,68.94,50,31.06,50016
50,17,385,289,75.06,96,24.94,50017
50,18,98,71,72.45,27,27.55,50018
50,19,265,205,77.36,60,22.64,50019
50,20,416,304,73.08,112,26.92,50020
50,21,371,262,70.62,109,29.38,50021
50,22,369,269,72.9,100,27.1,50022
50,23,301,218,72.43,83,27.57,50023
50,25,338,242,71.6,96,28.4,50025
50,26,405,316,78.02,89,21.98,50026
50,27,133,91,68.42,42,31.58,50027
50,28,494,404,81.78,90,18.22,50028
50,29,362,282,77.9,80,22.1,50029
50,30,297,226,76.09,71,23.91,50030
50,31,413,359,86.92,54,13.08,50031
50,32,459,388,84.53,71,15.47,50032
50,33,355,233,65.63,122,34.37,50033
50,34,511,374,73.19,137,26.81,50034
50,35,479,371,77.45,108,22.55,50035
50,36,383,279,72.85,104,27.15,50036
50,37,398,302,75.88,96,24.12,50037
50,38,199,140,70.35,59,29.65,50038
50,39,316,223,70.57,93,29.43,50039
50,40,450,269,59.78,181,40.22,50040
