ward,precinct,total,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,precinct_id
11,1,347,347,100.0,11001
11,3,391,391,100.0,11003
11,4,320,320,100.0,11004
11,5,319,319,100.0,11005
11,8,324,324,100.0,11008
11,9,338,338,100.0,11009
11,10,210,210,100.0,11010
11,11,378,378,100.0,11011
11,14,321,321,100.0,11014
11,15,253,253,100.0,11015
11,16,221,221,100.0,11016
11,17,380,380,100.0,11017
11,18,294,294,100.0,11018
11,19,457,457,100.0,11019
11,20,263,263,100.0,11020
11,22,311,311,100.0,11022
11,23,359,359,100.0,11023
11,25,344,344,100.0,11025
11,26,281,281,100.0,11026
11,27,231,231,100.0,11027
11,30,237,237,100.0,11030
11,33,164,164,100.0,11033
12,1,336,336,100.0,12001
12,3,398,398,100.0,12003
12,4,375,375,100.0,12004
12,5,286,286,100.0,12005
12,6,12,12,100.0,12006
12,8,359,359,100.0,12008
12,9,285,285,100.0,12009
12,13,296,296,100.0,12013
12,17,128,128,100.0,12017
12,19,302,302,100.0,12019
12,20,1,1,100.0,12020
12,21,363,363,100.0,12021
12,23,340,340,100.0,12023
14,1,352,352,100.0,14001
14,2,439,439,100.0,14002
14,4,326,326,100.0,14004
14,5,471,471,100.0,14005
14,6,118,118,100.0,14006
14,7,387,387,100.0,14007
14,8,332,332,100.0,14008
14,9,383,383,100.0,14009
14,10,244,244,100.0,14010
14,12,326,326,100.0,14012
14,13,240,240,100.0,14013
14,14,315,315,100.0,14014
14,16,266,266,100.0,14016
14,17,289,289,100.0,14017
14,18,36,36,100.0,14018
14,19,304,304,100.0,14019
14,20,220,220,100.0,14020
14,21,316,316,100.0,14021
14,22,97,97,100.0,14022
14,23,191,191,100.0,14023
14,24,393,393,100.0,14024
14,25,211,211,100.0,14025
14,26,232,232,100.0,14026
14,27,334,334,100.0,14027
14,28,247,247,100.0,14028
14,29,325,325,100.0,14029
14,30,183,183,100.0,14030
14,31,187,187,100.0,14031
15,3,53,53,100.0,15003
15,4,307,307,100.0,15004
15,5,263,263,100.0,15005
15,8,292,292,100.0,15008
15,9,347,347,100.0,15009
15,10,205,205,100.0,15010
15,11,214,214,100.0,15011
15,12,319,319,100.0,15012
15,13,239,239,100.0,15013
15,14,246,246,100.0,15014
15,15,293,293,100.0,15015
15,16,311,311,100.0,15016
15,19,314,314,100.0,15019
16,1,395,395,100.0,16001
16,2,83,83,100.0,16002
16,7,405,405,100.0,16007
16,11,425,425,100.0,16011
16,13,384,384,100.0,16013
16,17,289,289,100.0,16017
16,23,297,297,100.0,16023
16,32,370,370,100.0,16032
16,35,377,377,100.0,16035
17,1,199,199,100.0,17001
17,7,333,333,100.0,17007
17,12,476,476,100.0,17012
17,14,445,445,100.0,17014
17,16,355,355,100.0,17016
17,30,40,40,100.0,17030
20,20,0,0,0.0,20020
22,1,467,467,100.0,22001
22,2,391,391,100.0,22002
22,8,434,434,100.0,22008
22,12,322,322,100.0,22012
22,23,401,401,100.0,22023
23,3,279,279,100.0,23003
23,6,118,118,100.0,23006
23,12,33,33,100.0,23012
23,14,170,170,100.0,23014
23,17,156,156,100.0,23017
23,19,322,322,100.0,23019
23,20,19,19,100.0,23020
23,22,102,102,100.0,23022
23,24,149,149,100.0,23024
23,25,242,242,100.0,23025
23,26,97,97,100.0,23026
23,31,234,234,100.0,23031
23,37,89,89,100.0,23037
25,1,315,315,100.0,25001
25,2,350,350,100.0,25002
25,5,346,346,100.0,25005
25,6,117,117,100.0,25006
25,7,319,319,100.0,25007
25,8,371,371,100.0,25008
25,9,397,397,100.0,25009
25,11,378,378,100.0,25011
25,12,243,243,100.0,25012
25,13,406,406,100.0,25013
25,14,272,272,100.0,25014
25,15,337,337,100.0,25015
25,17,466,466,100.0,25017
25,18,193,193,100.0,25018
25,19,392,392,100.0,25019
25,22,323,323,100.0,25022
25,23,457,457,100.0,25023
25,24,321,321,100.0,25024
25,26,372,372,100.0,25026
25,27,34,34,100.0,25027
25,28,423,423,100.0,25028
25,30,356,356,100.0,25030
25,32,316,316,100.0,25032
28,19,4,4,100.0,28019
