ward,precinct,total,Bill Cunningham,Bill Cunningham Percent,Barbara Ruth Bellar,Barbara Ruth Bellar Percent,precinct_id
17,18,20,20,100.0,0,0.0,17018
18,9,256,238,92.97,18,7.03,18009
18,19,19,16,84.21,3,15.79,18019
18,26,133,129,96.99,4,3.01,18026
18,32,462,449,97.19,13,2.81,18032
18,34,498,472,94.78,26,5.22,18034
19,1,440,338,76.82,102,23.18,19001
19,2,480,426,88.75,54,11.25,19002
19,3,384,231,60.16,153,39.84,19003
19,4,532,354,66.54,178,33.46,19004
19,5,487,413,84.8,74,15.2,19005
19,6,392,263,67.09,129,32.91,19006
19,7,474,381,80.38,93,19.62,19007
19,8,522,342,65.52,180,34.48,19008
19,9,294,208,70.75,86,29.25,19009
19,10,563,462,82.06,101,17.94,19010
19,11,475,293,61.68,182,38.32,19011
19,12,412,278,67.48,134,32.52,19012
19,13,604,566,93.71,38,6.29,19013
19,15,398,257,64.57,141,35.43,19015
19,16,503,335,66.6,168,33.4,19016
19,17,436,310,71.1,126,28.9,19017
19,18,515,397,77.09,118,22.91,19018
19,19,512,405,79.1,107,20.9,19019
19,21,451,285,63.19,166,36.81,19021
19,22,506,401,79.25,105,20.75,19022
19,23,505,384,76.04,121,23.96,19023
19,24,358,228,63.69,130,36.31,19024
19,25,464,328,70.69,136,29.31,19025
19,26,494,361,73.08,133,26.92,19026
19,27,471,416,88.32,55,11.68,19027
19,28,630,598,94.92,32,5.08,19028
19,29,418,273,65.31,145,34.69,19029
19,30,476,314,65.97,162,34.03,19030
19,32,458,343,74.89,115,25.11,19032
19,33,489,325,66.46,164,33.54,19033
19,34,448,343,76.56,105,23.44,19034
19,35,415,324,78.07,91,21.93,19035
19,36,669,603,90.13,66,9.87,19036
19,37,475,421,88.63,54,11.37,19037
19,38,426,380,89.2,46,10.8,19038
19,39,231,222,96.1,9,3.9,19039
19,41,495,345,69.7,150,30.3,19041
19,44,551,389,70.6,162,29.4,19044
19,45,453,334,73.73,119,26.27,19045
19,46,529,368,69.57,161,30.43,19046
19,50,407,318,78.13,89,21.87,19050
19,51,528,414,78.41,114,21.59,19051
19,52,360,227,63.06,133,36.94,19052
19,53,427,334,78.22,93,21.78,19053
19,54,400,251,62.75,149,37.25,19054
19,55,480,320,66.67,160,33.33,19055
19,56,512,388,75.78,124,24.22,19056
19,57,539,428,79.41,111,20.59,19057
19,58,431,273,63.34,158,36.66,19058
21,1,504,490,97.22,14,2.78,21001
21,3,487,471,96.71,16,3.29,21003
21,7,492,480,97.56,12,2.44,21007
21,8,491,472,96.13,19,3.87,21008
21,9,510,495,97.06,15,2.94,21009
21,13,462,442,95.67,20,4.33,21013
21,14,568,544,95.77,24,4.23,21014
21,15,170,161,94.71,9,5.29,21015
21,16,516,503,97.48,13,2.52,21016
21,18,584,567,97.09,17,2.91,21018
21,22,120,117,97.5,3,2.5,21022
21,26,17,17,100.0,0,0.0,21026
21,29,504,494,98.02,10,1.98,21029
21,32,471,458,97.24,13,2.76,21032
21,36,127,123,96.85,4,3.15,21036
21,42,204,196,96.08,8,3.92,21042
21,48,192,186,96.88,6,3.13,21048
34,49,73,71,97.26,2,2.74,34049
