ward,precinct,total,"Larry Rogers, Jr.","Larry Rogers, Jr. Percent",precinct_id
2,10,202,202,100.0,02010
3,1,570,570,100.0,03001
3,2,543,543,100.0,03002
3,3,492,492,100.0,03003
3,4,561,561,100.0,03004
3,5,424,424,100.0,03005
3,6,467,467,100.0,03006
3,7,388,388,100.0,03007
3,8,412,412,100.0,03008
3,9,511,511,100.0,03009
3,10,348,348,100.0,03010
3,11,550,550,100.0,03011
3,12,516,516,100.0,03012
3,13,471,471,100.0,03013
3,14,429,429,100.0,03014
3,15,513,513,100.0,03015
3,16,505,505,100.0,03016
3,17,414,414,100.0,03017
3,18,678,678,100.0,03018
3,19,399,399,100.0,03019
3,20,457,457,100.0,03020
3,21,470,470,100.0,03021
3,22,450,450,100.0,03022
3,23,485,485,100.0,03023
3,24,531,531,100.0,03024
3,25,486,486,100.0,03025
3,26,464,464,100.0,03026
3,27,375,375,100.0,03027
3,28,356,356,100.0,03028
3,29,494,494,100.0,03029
3,30,496,496,100.0,03030
3,31,574,574,100.0,03031
3,32,470,470,100.0,03032
3,33,485,485,100.0,03033
3,34,500,500,100.0,03034
3,35,276,276,100.0,03035
3,36,353,353,100.0,03036
3,37,508,508,100.0,03037
3,38,454,454,100.0,03038
3,39,435,435,100.0,03039
3,40,507,507,100.0,03040
3,41,359,359,100.0,03041
4,1,619,619,100.0,04001
4,2,486,486,100.0,04002
4,3,467,467,100.0,04003
4,4,553,553,100.0,04004
4,5,509,509,100.0,04005
4,6,599,599,100.0,04006
4,7,544,544,100.0,04007
4,8,598,598,100.0,04008
4,9,593,593,100.0,04009
4,10,599,599,100.0,04010
4,11,580,580,100.0,04011
4,12,599,599,100.0,04012
4,13,370,370,100.0,04013
4,14,549,549,100.0,04014
4,15,562,562,100.0,04015
4,16,475,475,100.0,04016
4,17,488,488,100.0,04017
4,18,486,486,100.0,04018
4,19,597,597,100.0,04019
4,20,423,423,100.0,04020
4,21,549,549,100.0,04021
4,22,501,501,100.0,04022
4,23,640,640,100.0,04023
4,24,508,508,100.0,04024
4,25,427,427,100.0,04025
4,26,502,502,100.0,04026
4,27,533,533,100.0,04027
4,28,647,647,100.0,04028
4,29,487,487,100.0,04029
4,30,646,646,100.0,04030
4,31,520,520,100.0,04031
4,32,564,564,100.0,04032
4,33,566,566,100.0,04033
4,34,535,535,100.0,04034
4,35,727,727,100.0,04035
4,36,614,614,100.0,04036
4,37,419,419,100.0,04037
4,38,621,621,100.0,04038
5,1,465,465,100.0,05001
5,2,475,475,100.0,05002
5,3,427,427,100.0,05003
5,4,541,541,100.0,05004
5,5,531,531,100.0,05005
5,6,414,414,100.0,05006
5,7,463,463,100.0,05007
5,8,392,392,100.0,05008
5,9,525,525,100.0,05009
5,10,517,517,100.0,05010
5,11,455,455,100.0,05011
5,12,419,419,100.0,05012
5,13,491,491,100.0,05013
5,14,409,409,100.0,05014
5,15,456,456,100.0,05015
5,16,485,485,100.0,05016
5,17,491,491,100.0,05017
5,18,375,375,100.0,05018
5,19,392,392,100.0,05019
5,20,536,536,100.0,05020
5,21,415,415,100.0,05021
5,22,471,471,100.0,05022
5,23,564,564,100.0,05023
5,24,441,441,100.0,05024
5,25,469,469,100.0,05025
5,26,527,527,100.0,05026
5,27,371,371,100.0,05027
5,28,537,537,100.0,05028
5,29,610,610,100.0,05029
5,30,488,488,100.0,05030
5,31,467,467,100.0,05031
5,32,538,538,100.0,05032
5,33,516,516,100.0,05033
5,34,437,437,100.0,05034
5,35,450,450,100.0,05035
5,36,459,459,100.0,05036
5,37,673,673,100.0,05037
5,38,547,547,100.0,05038
5,39,348,348,100.0,05039
5,40,501,501,100.0,05040
6,1,506,506,100.0,06001
6,2,472,472,100.0,06002
6,3,483,483,100.0,06003
6,4,424,424,100.0,06004
6,5,416,416,100.0,06005
6,6,461,461,100.0,06006
6,7,452,452,100.0,06007
6,8,485,485,100.0,06008
6,9,492,492,100.0,06009
6,10,390,390,100.0,06010
6,11,509,509,100.0,06011
6,12,484,484,100.0,06012
6,13,369,369,100.0,06013
6,14,471,471,100.0,06014
6,15,505,505,100.0,06015
6,16,444,444,100.0,06016
6,17,410,410,100.0,06017
6,18,322,322,100.0,06018
6,19,462,462,100.0,06019
6,20,370,370,100.0,06020
6,21,361,361,100.0,06021
6,22,376,376,100.0,06022
6,23,359,359,100.0,06023
6,24,354,354,100.0,06024
6,25,333,333,100.0,06025
6,26,381,381,100.0,06026
6,27,335,335,100.0,06027
6,28,330,330,100.0,06028
6,29,493,493,100.0,06029
6,30,473,473,100.0,06030
6,31,453,453,100.0,06031
6,32,463,463,100.0,06032
6,33,454,454,100.0,06033
