ward,precinct,total,EBONY D. LUCAS,EBONY D. LUCAS Percent,"MARCELLUS H. MOORE, JR.","MARCELLUS H. MOORE, JR. Percent",SOPHIA KING,SOPHIA KING Percent,GREGORY SEAL LIVINGSTON,GREGORY SEAL LIVINGSTON Percent,GERALD SCOTT McCARTHY,GERALD SCOTT McCARTHY Percent,precinct_id
4,1,197,50,25.38,17,8.63,108,54.82,12,6.09,10,5.08,04001
4,2,138,12,8.7,7,5.07,95,68.84,7,5.07,17,12.32,04002
4,3,154,14,9.09,8,5.19,113,73.38,10,6.49,9,5.84,04003
4,4,210,33,15.71,10,4.76,136,64.76,18,8.57,13,6.19,04004
4,5,200,47,23.5,14,7.0,116,58.0,12,6.0,11,5.5,04005
4,6,228,38,16.67,0,0.0,177,77.63,4,1.75,9,3.95,04006
4,7,267,73,27.34,11,4.12,150,56.18,22,8.24,11,4.12,04007
4,8,193,52,26.94,10,5.18,110,56.99,13,6.74,8,4.15,04008
4,9,304,62,20.39,11,3.62,212,69.74,11,3.62,8,2.63,04009
4,10,207,31,14.98,18,8.7,115,55.56,12,5.8,31,14.98,04010
4,11,123,26,21.14,3,2.44,84,68.29,6,4.88,4,3.25,04011
4,12,129,28,21.71,21,16.28,64,49.61,9,6.98,7,5.43,04012
4,13,72,15,20.83,2,2.78,46,63.89,5,6.94,4,5.56,04013
4,14,156,25,16.03,7,4.49,103,66.03,12,7.69,9,5.77,04014
4,15,211,55,26.07,8,3.79,119,56.4,14,6.64,15,7.11,04015
4,16,130,16,12.31,11,8.46,79,60.77,2,1.54,22,16.92,04016
4,17,149,29,19.46,8,5.37,90,60.4,13,8.72,9,6.04,04017
4,18,204,37,18.14,10,4.9,123,60.29,27,13.24,7,3.43,04018
4,19,111,4,3.6,2,1.8,97,87.39,7,6.31,1,0.9,04019
4,20,145,23,15.86,19,13.1,67,46.21,7,4.83,29,20.0,04020
4,21,131,14,10.69,4,3.05,93,70.99,9,6.87,11,8.4,04021
4,22,213,24,11.27,29,13.62,145,68.08,9,4.23,6,2.82,04022
4,23,247,36,14.57,20,8.1,164,66.4,17,6.88,10,4.05,04023
4,24,180,17,9.44,22,12.22,127,70.56,8,4.44,6,3.33,04024
4,25,149,4,2.68,6,4.03,118,79.19,7,4.7,14,9.4,04025
4,26,197,39,19.8,6,3.05,137,69.54,15,7.61,0,0.0,04026
4,27,175,29,16.57,14,8.0,103,58.86,18,10.29,11,6.29,04027
4,28,137,19,13.87,8,5.84,100,72.99,6,4.38,4,2.92,04028
4,29,154,26,16.88,20,12.99,89,57.79,17,11.04,2,1.3,04029
4,30,180,43,23.89,7,3.89,117,65.0,10,5.56,3,1.67,04030
4,31,315,65,20.63,11,3.49,189,60.0,31,9.84,19,6.03,04031
4,32,162,26,16.05,13,8.02,95,58.64,20,12.35,8,4.94,04032
4,33,177,45,25.42,9,5.08,102,57.63,9,5.08,12,6.78,04033
4,34,170,23,13.53,15,8.82,103,60.59,13,7.65,16,9.41,04034
4,35,217,26,11.98,13,5.99,149,68.66,17,7.83,12,5.53,04035
4,36,159,44,27.67,3,1.89,87,54.72,9,5.66,16,10.06,04036
4,37,176,18,10.23,16,9.09,111,63.07,6,3.41,25,14.2,04037
4,38,180,40,22.22,5,2.78,124,68.89,8,4.44,3,1.67,04038
