ward,precinct,total,GEORGE E. DAVIS,GEORGE E. DAVIS Percent,ANDRE SMITH,ANDRE SMITH Percent,WILLIE B. COCHRAN,WILLIE B. COCHRAN Percent,CHE ''RHYMEFEST'' SMITH,CHE ''RHYMEFEST'' SMITH Percent,precinct_id
20,1,175,29,16.57,36,20.57,80,45.71,25,14.29,20001
20,2,165,33,20.0,25,15.15,77,46.67,24,14.55,20002
20,3,152,24,15.79,37,24.34,73,48.03,13,8.55,20003
20,4,158,47,29.75,20,12.66,62,39.24,24,15.19,20004
20,5,120,31,25.83,6,5.0,64,53.33,17,14.17,20005
20,6,203,46,22.66,20,9.85,87,42.86,41,20.2,20006
20,7,56,13,23.21,21,37.5,13,23.21,9,16.07,20007
20,8,72,18,25.0,13,18.06,23,31.94,15,20.83,20008
20,9,281,64,22.78,27,9.61,136,48.4,48,17.08,20009
20,10,156,12,7.69,12,7.69,88,56.41,30,19.23,20010
20,11,89,12,13.48,22,24.72,34,38.2,18,20.22,20011
20,12,107,13,12.15,6,5.61,62,57.94,24,22.43,20012
20,13,142,20,14.08,20,14.08,77,54.23,18,12.68,20013
20,14,227,38,16.74,38,16.74,102,44.93,45,19.82,20014
20,15,175,48,27.43,13,7.43,63,36.0,39,22.29,20015
20,16,251,53,21.12,17,6.77,126,50.2,52,20.72,20016
20,17,124,9,7.26,47,37.9,40,32.26,24,19.35,20017
20,18,136,27,19.85,14,10.29,54,39.71,31,22.79,20018
20,19,137,8,5.84,14,10.22,75,54.74,35,25.55,20019
20,20,72,9,12.5,10,13.89,34,47.22,14,19.44,20020
20,21,105,24,22.86,19,18.1,43,40.95,15,14.29,20021
20,22,281,62,22.06,21,7.47,141,50.18,54,19.22,20022
20,23,228,10,4.39,64,28.07,103,45.18,47,20.61,20023
20,24,213,33,15.49,38,17.84,89,41.78,49,23.0,20024
20,25,140,12,8.57,13,9.29,72,51.43,35,25.0,20025
20,26,201,33,16.42,20,9.95,104,51.74,33,16.42,20026
20,27,145,30,20.69,15,10.34,50,34.48,48,33.1,20027
20,28,165,18,10.91,40,24.24,60,36.36,40,24.24,20028
20,29,210,56,26.67,16,7.62,98,46.67,36,17.14,20029
20,30,147,12,8.16,59,40.14,45,30.61,22,14.97,20030
20,31,177,13,7.34,36,20.34,82,46.33,46,25.99,20031
20,32,115,18,15.65,24,20.87,51,44.35,17,14.78,20032
20,33,169,27,15.98,22,13.02,83,49.11,33,19.53,20033
20,34,300,42,14.0,32,10.67,158,52.67,65,21.67,20034
20,35,72,12,16.67,5,6.94,42,58.33,10,13.89,20035
20,36,138,25,18.12,20,14.49,66,47.83,23,16.67,20036
20,37,177,27,15.25,32,18.08,79,44.63,37,20.9,20037
20,38,39,6,15.38,1,2.56,23,58.97,6,15.38,20038
20,39,173,16,9.25,16,9.25,60,34.68,74,42.77,20039
20,40,129,17,13.18,17,13.18,68,52.71,24,18.6,20040
20,41,51,19,37.25,4,7.84,21,41.18,6,11.76,20041
20,42,139,10,7.19,33,23.74,52,37.41,44,31.65,20042
20,43,47,11,23.4,9,19.15,14,29.79,12,25.53,20043
20,44,235,35,14.89,21,8.94,150,63.83,24,10.21,20044
20,45,110,18,16.36,8,7.27,58,52.73,21,19.09,20045
20,46,158,21,13.29,12,7.59,64,40.51,55,34.81,20046
20,47,136,22,16.18,12,8.82,64,47.06,26,19.12,20047
20,48,69,10,14.49,18,26.09,28,40.58,10,14.49,20048
20,49,120,9,7.5,27,22.5,61,50.83,15,12.5,20049
20,50,80,11,13.75,18,22.5,34,42.5,10,12.5,20050
