ward,precinct,total,JOE MOORE,JOE MOORE Percent,BRIAN WHITE,BRIAN WHITE Percent,precinct_id
49,1,226,165,73.01,61,26.99,49001
49,2,342,240,70.18,102,29.82,49002
49,3,185,117,63.24,68,36.76,49003
49,4,128,80,62.5,48,37.5,49004
49,5,251,185,73.71,66,26.29,49005
49,6,213,155,72.77,58,27.23,49006
49,7,196,133,67.86,63,32.14,49007
49,8,274,166,60.58,108,39.42,49008
49,9,212,151,71.23,61,28.77,49009
49,10,221,160,72.4,61,27.6,49010
49,11,182,102,56.04,80,43.96,49011
49,12,243,185,76.13,58,23.87,49012
49,13,308,183,59.42,125,40.58,49013
49,14,249,190,76.31,59,23.69,49014
49,15,216,162,75.0,54,25.0,49015
49,16,196,147,75.0,49,25.0,49016
49,17,70,49,70.0,21,30.0,49017
49,18,193,98,50.78,95,49.22,49018
49,19,182,143,78.57,39,21.43,49019
49,20,291,219,75.26,72,24.74,49020
49,21,64,46,71.88,18,28.13,49021
49,22,240,161,67.08,79,32.92,49022
49,23,192,148,77.08,44,22.92,49023
49,24,260,209,80.38,51,19.62,49024
49,25,289,229,79.24,60,20.76,49025
49,26,300,237,79.0,63,21.0,49026
49,27,311,244,78.46,67,21.54,49027
49,28,152,107,70.39,45,29.61,49028
49,29,281,200,71.17,81,28.83,49029
49,30,247,175,70.85,72,29.15,49030
49,31,232,173,74.57,59,25.43,49031
49,32,172,122,70.93,50,29.07,49032
49,33,203,169,83.25,34,16.75,49033
49,34,232,173,74.57,59,25.43,49034
49,35,269,195,72.49,74,27.51,49035
49,36,351,242,68.95,109,31.05,49036
49,37,357,275,77.03,82,22.97,49037
49,38,200,147,73.5,53,26.5,49038
49,39,217,163,75.12,54,24.88,49039
49,40,187,135,72.19,52,27.81,49040
49,41,241,171,70.95,70,29.05,49041
49,42,242,178,73.55,64,26.45,49042
